G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2016-01-02,21-132,DEN,@,GSW,L (-3),0,4:47,0,5,.000,0,0,,3,4,.750,1,1,2,0,0,0,1,0,3,-0.9,-3,5.0
2,2016-01-03,21-133,DEN,,POR,L (-6),0,14:39,4,7,.571,0,0,,4,9,.444,2,6,8,0,0,1,0,2,12,9.8,+7,5.0
3,2016-01-06,21-136,DEN,@,MIN,W (+4),0,22:00,6,14,.429,0,0,,3,6,.500,3,7,10,2,0,5,1,5,15,12.5,+9,5.0
4,2016-01-08,21-138,DEN,@,MEM,L (-7),0,18:27,2,8,.250,0,0,,2,3,.667,2,4,6,0,0,1,0,5,6,2.1,-4,5.0
5,2016-01-10,21-140,DEN,,CHO,W (+3),0,13:54,3,9,.333,0,0,,1,2,.500,4,3,7,0,1,1,0,3,7,5.7,+9,5.0
6,2016-01-13,21-143,DEN,,GSW,W (+2),0,14:49,3,8,.375,0,0,,2,2,1.000,2,2,4,1,0,1,2,2,8,4.2,0,5.0
7,2016-01-21,21-151,DEN,,MEM,L (-1),0,3:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,-9,5.0
8,2016-01-25,21-155,DEN,,ATL,L (-14),0,6:39,1,4,.250,0,0,,2,2,1.000,1,0,1,0,0,0,1,2,4,0.5,-12,5.0
9,2016-01-27,21-157,DEN,@,BOS,L (-8),0,12:00,1,5,.200,0,0,,0,3,.000,2,3,5,1,0,1,1,2,2,-0.4,-13,5.0
10,2016-01-28,21-158,DEN,@,WAS,W (+4),0,15:38,3,7,.429,0,0,,2,2,1.000,1,4,5,2,0,1,0,2,8,7.5,-2,5.0
11,2016-01-30,21-160,DEN,@,IND,L (-4),0,16:51,2,6,.333,0,1,.000,3,4,.750,0,2,2,1,1,2,1,2,7,5.1,-12,5.0
12,2016-02-01,21-162,DEN,,TOR,W (+19),0,15:09,2,10,.200,0,0,,0,0,,3,4,7,1,1,0,1,3,4,0.6,+11,5.0
13,2016-02-03,21-164,DEN,@,UTA,L (-4),0,14:49,1,3,.333,0,0,,3,4,.750,1,4,5,1,0,0,2,1,5,3.1,+1,5.0
14,2016-02-05,21-166,DEN,,CHI,W (+5),0,12:11,0,4,.000,0,0,,2,2,1.000,1,5,6,1,0,2,2,3,2,0.3,-2,5.0
15,2016-02-07,21-168,DEN,@,NYK,W (+5),0,7:19,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,0,1,1,3,1.5,+7,5.0
16,2016-02-08,21-169,DEN,@,BRK,L (-1),0,17:23,3,9,.333,0,0,,2,2,1.000,2,4,6,1,2,0,1,2,8,6.4,+9,5.0
17,2016-02-10,21-171,DEN,@,DET,W (+11),0,24:14,8,12,.667,0,1,.000,0,0,,3,8,11,2,1,1,3,3,16,14.2,+2,5.0
18,2016-02-19,21-180,DEN,@,SAC,L (-6),0,14:06,2,6,.333,0,0,,0,0,,2,3,5,2,0,2,0,5,4,3.7,-4,5.0
19,2016-02-21,21-182,DEN,,BOS,L (-20),0,11:57,1,1,1.000,0,0,,2,2,1.000,2,0,2,0,1,1,4,3,4,1.6,-1,5.0
20,2016-03-10,21-200,DEN,,PHO,W (+18),0,4:27,1,2,.500,0,0,,0,0,,1,2,3,0,2,1,1,1,2,3.6,0,5.0
21,2016-03-12,21-202,DEN,,WAS,W (+16),0,17:58,5,8,.625,0,0,,7,9,.778,2,2,4,1,1,2,2,3,17,14.5,+21,5.0
22,2016-03-17,21-207,DEN,@,ATL,L (-18),0,25:54,5,10,.500,0,0,,0,0,,3,4,7,2,1,1,2,3,10,8.2,+7,5.0
23,2016-03-19,21-209,DEN,@,CHO,W (+8),0,17:57,3,10,.300,0,0,,4,5,.800,1,2,3,1,1,1,3,2,10,3.7,+6,5.0
24,2016-03-21,21-211,DEN,@,CLE,L (-33),0,25:40,5,7,.714,0,0,,1,4,.250,2,5,7,3,1,3,4,3,11,9.8,-13,5.0
25,2016-03-23,21-213,DEN,,PHI,W (+1),0,16:06,1,4,.250,0,0,,3,4,.750,0,5,5,0,2,4,2,5,5,4.5,+6,5.0
26,2016-03-25,21-215,DEN,@,LAL,W (+11),0,26:18,7,11,.636,0,1,.000,4,6,.667,2,2,4,5,1,2,3,3,18,16.0,+13,5.0
27,2016-03-27,21-217,DEN,@,LAC,L (-15),0,24:12,9,13,.692,0,0,,1,2,.500,4,3,7,3,0,1,3,3,19,15.4,+4,5.0
28,2016-04-02,21-223,DEN,,SAC,L (-9),0,16:20,4,10,.400,0,0,,1,4,.250,5,4,9,2,0,1,1,4,9,6.6,-16,5.0
29,2016-04-05,21-226,DEN,,OKC,L (-22),0,16:32,1,5,.200,0,0,,4,5,.800,2,3,5,2,0,2,1,3,6,5.4,-7,5.0
30,2016-04-08,21-229,DEN,,SAS,W (+4),1,34:41,10,18,.556,0,0,,1,2,.500,3,7,10,1,2,2,2,4,21,16.7,+9,5.0
31,2016-04-10,21-231,DEN,,UTA,L (-16),1,21:54,2,11,.182,0,0,,2,5,.400,2,2,4,1,0,2,1,3,6,-0.2,-12,5.0
32,2016-04-13,21-234,DEN,@,POR,L (-8),1,38:50,5,13,.385,0,0,,1,4,.250,6,8,14,4,5,3,8,5,11,9.2,-18,5.0
