G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,19-317,PHI,@,BOS,L (-17),1,38:05,10,16,.625,0,0,,6,6,1.000,4,3,7,1,1,2,8,4,26,16.0,-9,5.0
2,2015-10-30,19-319,PHI,,UTA,L (-28),1,36:04,4,12,.333,0,0,,2,4,.500,1,5,6,1,1,0,2,3,10,3.1,-35,5.0
3,2015-11-02,19-322,PHI,,CLE,L (-7),1,26:54,11,21,.524,0,0,,2,3,.667,2,1,3,0,0,0,1,4,24,12.4,-15,5.0
4,2015-11-04,19-324,PHI,@,MIL,L (-4),1,34:43,9,13,.692,0,0,,3,3,1.000,1,5,6,0,0,2,2,3,21,15.9,-4,5.0
5,2015-11-06,19-326,PHI,@,CLE,L (-6),1,37:04,8,17,.471,0,0,,2,3,.667,1,5,6,3,0,0,2,3,18,10.0,-13,5.0
6,2015-11-07,19-327,PHI,,ORL,L (-8),1,32:52,7,14,.500,0,0,,5,10,.500,2,3,5,3,0,3,3,2,19,12.7,-5,5.0
7,2015-11-09,19-329,PHI,,CHI,L (-23),1,31:24,9,25,.360,0,0,,3,8,.375,6,9,15,1,0,2,1,2,21,12.3,-22,5.0
8,2015-11-11,19-331,PHI,,TOR,L (-16),1,32:39,13,22,.591,0,0,,0,2,.000,2,5,7,1,0,4,4,5,26,15.4,-20,5.0
9,2015-11-13,19-333,PHI,@,OKC,L (-17),1,29:39,3,18,.167,0,0,,0,0,,3,3,6,2,0,3,4,3,6,-4.1,-16,5.0
10,2015-11-14,19-334,PHI,@,SAS,L (-9),1,39:01,9,17,.529,0,0,,3,3,1.000,3,9,12,2,0,2,2,3,21,17.1,+2,5.0
11,2015-11-16,19-336,PHI,,DAL,L (-6),1,32:33,8,15,.533,0,0,,3,3,1.000,2,9,11,1,1,2,4,5,19,12.9,-13,5.0
12,2015-11-18,19-338,PHI,,IND,L (-27),1,31:22,6,11,.545,0,0,,2,4,.500,1,5,6,0,1,0,3,1,14,7.7,-30,5.0
13,2015-11-20,19-340,PHI,@,CHO,L (-25),1,29:53,4,12,.333,0,0,,2,3,.667,2,5,7,2,0,0,3,0,10,4.1,-9,5.0
14,2015-11-21,19-341,PHI,@,MIA,L (-5),1,34:18,8,20,.400,0,0,,0,0,,2,9,11,1,0,3,3,2,16,8.3,+2,5.0
15,2015-11-23,19-343,PHI,@,MIN,L (-5),1,32:57,10,15,.667,0,0,,5,7,.714,5,7,12,1,0,2,4,3,25,20.2,-10,5.0
