G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,24-194,BOS,,TOR,L (-10),0,16:36,4,10,.400,1,5,.200,2,3,.667,1,1,2,0,2,0,0,0,11,8.2,+1,5.0
2,2015-11-01,24-196,BOS,,SAS,L (-8),0,13:00,0,3,.000,0,3,.000,0,0,,1,6,7,1,1,1,2,0,0,0.8,+6,5.0
3,2015-11-04,24-199,BOS,@,IND,L (-2),0,10:32,0,5,.000,0,2,.000,0,0,,1,1,2,0,0,2,1,1,0,-2.5,-3,5.0
4,2015-11-06,24-201,BOS,,WAS,W (+20),0,26:55,7,11,.636,3,5,.600,2,3,.667,2,5,7,4,4,1,3,0,19,21.1,+29,5.0
5,2015-11-10,24-205,BOS,@,MIL,W (+16),0,22:03,5,8,.625,0,1,.000,1,1,1.000,1,0,1,2,0,0,2,3,11,6.3,+24,5.0
6,2015-11-11,24-206,BOS,,IND,L (-11),0,14:40,1,5,.200,0,2,.000,2,2,1.000,0,0,0,1,1,0,2,2,4,-0.2,-3,5.0
7,2015-11-13,24-208,BOS,,ATL,W (+13),0,16:39,6,13,.462,3,6,.500,0,0,,1,2,3,1,0,2,0,1,15,11.3,-2,5.0
8,2015-11-15,24-210,BOS,@,OKC,W (+15),0,16:36,3,5,.600,1,1,1.000,0,0,,2,5,7,1,3,1,2,6,7,7.6,+11,5.0
9,2015-11-16,24-211,BOS,@,HOU,W (+16),0,22:34,3,11,.273,1,6,.167,1,2,.500,3,3,6,2,1,1,3,2,8,3.4,-4,5.0
10,2015-11-18,24-213,BOS,,DAL,L (-4),0,13:04,2,6,.333,1,2,.500,0,0,,1,2,3,0,1,1,0,6,5,2.2,+13,5.0
11,2015-11-20,24-215,BOS,,BRK,W (+25),0,20:49,2,5,.400,0,2,.000,0,0,,2,8,10,5,0,0,3,6,4,3.2,+5,5.0
12,2015-11-22,24-217,BOS,@,BRK,L (-10),0,18:50,2,6,.333,2,3,.667,2,2,1.000,1,1,2,1,1,0,0,3,8,6.1,-1,5.0
13,2015-11-24,24-219,BOS,@,ATL,L (-24),0,15:50,1,3,.333,0,1,.000,0,0,,0,2,2,0,2,0,1,2,2,1.1,-12,5.0
14,2015-11-25,24-220,BOS,,PHI,W (+4),0,14:24,0,5,.000,0,1,.000,3,4,.750,2,1,3,1,0,1,0,0,3,2.2,-8,5.0
15,2015-11-27,24-222,BOS,,WAS,W (+33),0,20:55,4,7,.571,4,5,.800,0,0,,1,3,4,2,2,1,0,1,12,14.0,+17,5.0
16,2015-11-29,24-224,BOS,@,ORL,L (-19),0,17:14,1,5,.200,1,3,.333,0,0,,1,3,4,0,0,0,0,1,3,1.1,-13,5.0
17,2015-11-30,24-225,BOS,@,MIA,W (+10),0,9:31,1,4,.250,0,2,.000,2,2,1.000,0,2,2,2,1,0,2,1,4,2.2,-14,5.0
18,2015-12-03,24-228,BOS,@,SAC,W (+17),0,24:33,9,12,.750,3,5,.600,0,0,,1,3,4,4,1,0,3,3,21,17.4,+6,5.0
19,2015-12-05,24-230,BOS,@,SAS,L (-3),0,12:10,3,6,.500,0,1,.000,0,2,.000,0,2,2,1,0,1,1,5,6,1.2,-12,5.0
20,2015-12-07,24-232,BOS,@,NOP,W (+18),0,27:01,8,13,.615,2,5,.400,3,3,1.000,1,2,3,3,2,2,2,2,21,19.1,-3,5.0
21,2015-12-09,24-234,BOS,,CHI,W (+5),0,19:54,5,11,.455,2,5,.400,3,4,.750,1,3,4,2,1,1,1,5,15,10.6,+14,5.0
22,2015-12-11,24-236,BOS,,GSW,L (-5),0,37:07,11,21,.524,3,6,.500,3,4,.750,1,5,6,3,3,1,0,3,28,24.1,-2,5.0
23,2015-12-12,24-237,BOS,@,CHO,W (+5),0,23:03,4,13,.308,0,1,.000,0,0,,0,4,4,0,0,0,1,1,8,0.3,-3,5.0
24,2015-12-15,24-240,BOS,,CLE,L (-12),0,21:39,2,7,.286,1,3,.333,0,0,,1,1,2,0,1,0,0,0,5,2.9,-6,5.0
25,2015-12-16,24-241,BOS,@,DET,L (-3),0,16:23,0,2,.000,0,2,.000,0,0,,0,2,2,2,0,1,0,1,0,0.9,-4,5.0
26,2015-12-18,24-243,BOS,,ATL,L (-8),0,15:07,3,5,.600,1,1,1.000,1,2,.500,0,2,2,1,0,0,4,4,8,1.0,0,5.0
27,2015-12-21,24-246,BOS,,MIN,W (+14),1,28:47,7,10,.700,3,3,1.000,2,4,.500,2,3,5,1,0,1,1,3,19,15.5,+5,5.0
