G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-216,NYK,@,MIL,W (+25),0,23:29,4,10,.400,0,1,.000,0,0,,7,4,11,3,1,2,1,4,8,10.6,+23,4.0
2,2015-10-29,25-217,NYK,,ATL,L (-11),0,22:03,5,9,.556,0,0,,0,0,,6,4,10,3,1,1,3,1,10,11.5,+9,4.0
3,2015-10-31,25-219,NYK,@,WAS,W (+7),0,14:48,3,5,.600,0,0,,4,5,.800,0,2,2,1,0,1,2,4,10,5.7,-10,4.0
4,2015-11-02,25-221,NYK,,SAS,L (-10),0,19:12,3,6,.500,0,0,,0,0,,2,3,5,1,1,0,0,3,6,5.8,+7,4.0
5,2015-11-04,25-223,NYK,@,CLE,L (-10),0,19:01,4,6,.667,0,1,.000,0,0,,1,4,5,1,1,2,2,3,8,7.2,-4,4.0
6,2015-11-06,25-225,NYK,,MIL,L (-7),0,16:52,3,5,.600,0,0,,0,0,,2,3,5,0,0,3,2,1,6,5.7,-5,4.0
7,2015-11-08,25-227,NYK,,LAL,W (+4),0,11:10,0,1,.000,0,1,.000,1,2,.500,1,1,2,1,0,0,0,0,1,1.6,-10,4.0
8,2015-11-10,25-229,NYK,@,TOR,W (+2),0,11:58,2,7,.286,0,0,,2,3,.667,0,6,6,1,0,2,0,1,6,5.0,+1,4.0
9,2015-11-11,25-230,NYK,@,CHO,L (-2),0,11:35,2,3,.667,0,0,,2,2,1.000,1,5,6,1,0,1,0,3,6,7.1,+3,4.0
10,2015-11-13,25-232,NYK,,CLE,L (-6),0,3:13,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-6,4.0
11,2015-11-15,25-234,NYK,,NOP,W (+8),0,8:43,0,2,.000,0,0,,0,0,,1,0,1,1,1,1,1,3,0,-0.5,-3,4.0
12,2015-11-20,25-239,NYK,@,OKC,W (+3),0,3:55,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+1,4.0
13,2015-11-23,25-242,NYK,@,MIA,L (-17),0,4:15,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,2,1,0,-1.8,-9,4.0
14,2015-11-25,25-244,NYK,@,ORL,L (-9),0,12:03,2,6,.333,0,1,.000,0,0,,1,3,4,0,0,1,0,1,4,2.5,-12,4.0
15,2015-11-27,25-246,NYK,,MIA,L (-19),0,19:28,1,5,.200,0,2,.000,3,4,.750,3,5,8,3,3,0,2,2,5,7.4,-6,4.0
16,2015-11-29,25-248,NYK,,HOU,L (-5),0,3:44,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,-3,4.0
17,2015-12-02,25-251,NYK,,PHI,W (+12),0,2:56,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-0.5,-5,4.0
18,2015-12-09,25-258,NYK,@,UTA,L (-21),0,16:11,2,4,.500,0,1,.000,5,6,.833,2,4,6,2,2,1,0,4,9,11.7,+7,4.0
19,2015-12-10,25-259,NYK,@,SAC,L (-2),0,12:30,2,3,.667,0,0,,2,2,1.000,1,5,6,3,0,1,0,0,6,9.7,+5,4.0
20,2015-12-12,25-261,NYK,@,POR,W (+2),0,18:53,7,8,.875,0,1,.000,0,1,.000,1,6,7,2,0,1,1,2,14,13.6,+10,4.0
21,2015-12-16,25-265,NYK,,MIN,W (+5),0,17:19,2,2,1.000,0,0,,0,0,,2,2,4,1,0,0,0,5,4,4.1,0,4.0
22,2015-12-18,25-267,NYK,@,PHI,W (+10),0,21:00,3,5,.600,0,0,,4,5,.800,2,5,7,5,1,0,3,3,10,10.5,+4,4.0
23,2015-12-19,25-268,NYK,,CHI,W (+16),0,20:25,2,4,.500,0,0,,0,0,,3,7,10,0,1,1,3,3,4,3.7,+2,4.0
24,2015-12-26,25-275,NYK,@,ATL,L (-19),0,22:01,3,7,.429,0,0,,1,1,1.000,2,2,4,4,1,0,5,3,7,2.9,-18,4.0
25,2015-12-27,25-276,NYK,@,BOS,L (-9),0,10:45,2,6,.333,0,2,.000,0,0,,1,2,3,2,0,0,3,1,4,-0.1,-7,4.0
26,2015-12-29,25-278,NYK,,DET,W (+12),0,11:13,6,8,.750,0,0,,0,0,,1,1,2,1,1,0,0,1,12,11.1,+8,4.0
27,2016-01-01,25-281,NYK,@,CHI,L (-27),0,11:41,1,3,.333,0,0,,0,0,,0,5,5,1,0,2,1,3,2,1.7,-1,4.0
28,2016-01-03,25-283,NYK,,ATL,W (+14),0,2:54,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,2,1,0,-0.4,-2,4.0
29,2016-01-06,25-286,NYK,@,MIA,W (+8),0,4:41,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-6,4.0
