G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-260,DAL,@,PHO,W (+16),1,25:00,2,10,.200,0,0,,6,6,1.000,3,7,10,3,2,1,1,2,10,11.0,+26,5.0
2,2015-10-29,31-261,DAL,@,LAC,L (-16),1,18:22,2,8,.250,0,0,,0,0,,5,3,8,1,0,0,1,3,4,2.1,-6,5.0
3,2015-11-01,31-264,DAL,@,LAL,W (+10),1,29:17,4,8,.500,0,0,,8,10,.800,3,9,12,1,0,1,3,4,16,12.8,+7,5.0
4,2015-11-03,31-266,DAL,,TOR,L (-11),1,28:07,1,4,.250,0,0,,2,2,1.000,5,2,7,0,0,0,3,5,4,0.7,-21,5.0
5,2015-11-05,31-268,DAL,,CHO,L (-14),1,25:40,4,6,.667,0,0,,6,6,1.000,2,8,10,2,2,1,2,1,14,16.9,-12,5.0
6,2015-11-07,31-270,DAL,,NOP,W (+9),1,27:37,3,7,.429,0,0,,3,4,.750,3,11,14,1,1,0,0,1,9,11.6,0,5.0
7,2015-11-10,31-273,DAL,@,NOP,L (-15),1,20:40,3,6,.500,0,0,,6,6,1.000,2,3,5,1,2,0,0,1,12,13.6,-7,5.0
8,2015-11-11,31-274,DAL,,LAC,W (+10),1,30:49,2,6,.333,0,0,,6,8,.750,3,7,10,3,0,2,2,4,10,9.9,+12,5.0
9,2015-11-13,31-276,DAL,,LAL,W (+8),1,31:02,5,7,.714,0,0,,8,11,.727,3,13,16,2,0,0,2,3,18,18.1,+2,5.0
10,2015-11-14,31-277,DAL,@,HOU,W (+12),1,30:01,4,6,.667,0,0,,2,6,.333,2,6,8,3,1,0,0,1,10,11.7,-3,5.0
11,2015-11-16,31-279,DAL,@,PHI,W (+6),1,29:12,0,1,.000,0,0,,2,4,.500,1,5,6,2,1,0,2,3,2,1.9,+2,5.0
12,2015-11-18,31-281,DAL,@,BOS,W (+4),1,31:50,5,7,.714,0,0,,4,4,1.000,3,9,12,3,0,1,4,3,14,13.5,+13,5.0
13,2015-11-20,31-283,DAL,,UTA,W (+9),1,38:50,6,11,.545,0,0,,3,4,.750,4,8,12,4,2,0,1,2,15,17.5,+11,5.0
14,2015-11-22,31-285,DAL,@,OKC,L (-3),1,33:36,4,8,.500,0,0,,4,7,.571,3,7,10,6,1,3,5,5,12,11.3,+11,5.0
15,2015-11-24,31-287,DAL,@,MEM,L (-14),1,28:22,2,6,.333,0,1,.000,9,10,.900,2,8,10,3,1,0,3,3,13,11.9,-10,5.0
16,2015-11-25,31-288,DAL,@,SAS,L (-5),1,20:47,1,4,.250,0,0,,2,2,1.000,0,0,0,0,0,0,1,4,4,-1.0,-9,5.0
17,2015-11-28,31-291,DAL,,DEN,W (+11),1,30:36,5,8,.625,0,0,,6,9,.667,4,8,12,2,3,1,5,2,16,15.7,+20,5.0
18,2015-11-30,31-293,DAL,@,SAC,L (-14),1,28:31,4,6,.667,0,0,,5,6,.833,3,7,10,1,0,0,2,3,13,11.7,-17,5.0
19,2015-12-01,31-294,DAL,@,POR,W (+3),1,38:03,6,10,.600,0,0,,2,3,.667,5,16,21,1,1,1,2,4,14,16.1,+4,5.0
20,2015-12-04,31-297,DAL,,HOU,L (-4),1,29:21,3,7,.429,0,0,,1,2,.500,7,4,11,2,0,0,1,0,7,9.4,-6,5.0
21,2015-12-06,31-299,DAL,@,WAS,W (+12),1,24:29,3,6,.500,0,0,,4,5,.800,2,5,7,1,1,0,4,1,10,6.8,+3,5.0
22,2015-12-07,31-300,DAL,@,NYK,W (+7),1,31:31,3,8,.375,0,0,,2,2,1.000,3,5,8,2,1,0,0,2,8,8.8,+9,5.0
23,2015-12-09,31-302,DAL,,ATL,L (-3),1,37:50,4,5,.800,0,0,,3,4,.750,7,10,17,1,1,0,2,1,11,15.9,+3,5.0
24,2015-12-12,31-305,DAL,,WAS,L (-3),1,23:04,5,8,.625,0,0,,0,0,,6,6,12,3,0,0,2,1,10,12.1,-11,5.0
25,2015-12-14,31-307,DAL,,PHO,W (+10),1,28:25,2,3,.667,0,0,,0,0,,4,8,12,0,3,0,5,2,4,5.1,+12,5.0
26,2015-12-16,31-309,DAL,@,IND,L (-26),1,25:59,2,8,.250,0,0,,1,3,.333,6,8,14,0,1,0,1,2,5,5.2,-7,5.0
27,2015-12-18,31-311,DAL,,MEM,W (+9),1,28:45,4,12,.333,0,0,,2,2,1.000,6,12,18,1,1,0,2,3,10,9.5,-10,5.0
28,2015-12-22,31-315,DAL,@,TOR,L (-4),1,18:24,3,6,.500,0,0,,1,1,1.000,0,3,3,2,1,1,0,3,7,6.8,-4,5.0
29,2015-12-23,31-316,DAL,@,BRK,W (+1),1,26:36,2,3,.667,0,0,,4,4,1.000,2,4,6,1,0,0,0,2,8,9.2,-6,5.0
30,2015-12-26,31-319,DAL,,CHI,W (+7),1,29:26,6,13,.462,0,0,,5,5,1.000,6,6,12,1,0,0,1,5,17,14.0,+16,5.0
31,2015-12-28,31-321,DAL,,MIL,W (+10),1,35:46,6,12,.500,0,0,,5,8,.625,2,6,8,2,2,0,0,2,17,15.6,+17,5.0
