G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-05,25-097,DEN,,UTA,L (-12),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,3.0
2,2015-11-06,25-098,DEN,@,GSW,L (-15),0,1:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,3.0
3,2015-11-09,25-101,DEN,,POR,W (+4),0,12:35,2,2,1.000,1,1,1.000,0,0,,1,2,3,1,1,0,0,1,5,7.0,+1,3.0
4,2015-11-11,25-103,DEN,,MIL,W (+1),0,10:26,1,2,.500,1,2,.500,0,0,,1,2,3,0,0,0,1,1,3,1.9,+9,3.0
5,2015-11-13,25-105,DEN,,HOU,W (+9),0,3:51,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-4,3.0
6,2015-11-14,25-106,DEN,@,PHO,L (-24),0,19:58,4,7,.571,0,2,.000,1,2,.500,0,1,1,1,1,0,0,2,9,6.5,+7,3.0
7,2015-11-17,25-109,DEN,@,NOP,W (+17),0,13:08,2,4,.500,0,1,.000,0,0,,1,2,3,0,0,1,1,1,4,2.6,-12,3.0
8,2015-11-18,25-110,DEN,@,SAS,L (-11),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,3.0
9,2015-11-20,25-112,DEN,,PHO,L (-7),0,5:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8,3.0
10,2015-11-22,25-114,DEN,,GSW,L (-13),0,2:10,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+1,3.0
11,2015-11-24,25-116,DEN,,LAC,L (-17),0,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+1,3.0
12,2015-11-27,25-119,DEN,,SAS,L (-11),0,3:32,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+6,3.0
13,2015-11-28,25-120,DEN,@,DAL,L (-11),0,2:26,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+6,3.0
14,2015-11-30,25-122,DEN,@,MIL,L (-18),0,9:35,0,4,.000,0,1,.000,0,0,,1,1,2,1,0,0,1,2,0,-2.9,+1,3.0
15,2015-12-14,25-136,DEN,,HOU,W (+6),0,13:48,2,4,.500,1,2,.500,0,0,,1,0,1,0,1,1,2,3,5,2.2,-1,3.0
16,2015-12-15,25-137,DEN,@,MIN,W (+12),0,19:49,3,6,.500,0,1,.000,2,2,1.000,0,2,2,2,0,0,1,3,8,4.8,+12,3.0
17,2015-12-18,25-140,DEN,@,UTA,L (-9),0,11:28,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,1,0,2,0,1,-0.5,0,3.0
18,2015-12-20,25-142,DEN,,NOP,L (-5),0,20:22,0,3,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,2,0,-0.9,0,3.0
19,2015-12-22,25-144,DEN,,LAL,L (-4),1,11:14,3,5,.600,3,4,.750,0,0,,0,0,0,0,1,0,0,2,9,6.9,-7,3.0
20,2015-12-23,25-145,DEN,@,PHO,W (+8),1,32:37,2,6,.333,2,3,.667,3,6,.500,1,4,5,3,2,2,1,2,9,10.0,+9,3.0
21,2015-12-26,25-148,DEN,@,SAS,L (-15),1,25:24,1,5,.200,0,1,.000,0,0,,1,3,4,2,3,1,3,1,2,2.2,-10,3.0
22,2015-12-27,25-149,DEN,@,OKC,L (-10),1,13:20,1,2,.500,1,2,.500,0,0,,0,0,0,3,2,0,2,0,3,4.1,-7,3.0
23,2015-12-29,25-151,DEN,,CLE,L (-6),1,21:55,0,3,.000,0,2,.000,0,0,,1,4,5,1,0,0,2,2,0,-2.3,-8,3.0
24,2015-12-30,25-152,DEN,@,POR,L (-7),1,11:55,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,2,0,0,-2.8,-6,3.0
25,2016-01-03,25-156,DEN,,POR,L (-6),0,12:06,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,0.5,-9,3.0
26,2016-01-06,25-159,DEN,@,MIN,W (+4),0,10:56,2,4,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,0,4,1.6,+5,3.0
