G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2016-01-06,30-003,MIN,,DEN,L (-4),0,15:53,3,4,.750,0,0,,6,6,1.000,0,2,2,0,0,0,2,3,12,7.8,-5,5.0
2,2016-01-08,30-005,MIN,,CLE,L (-26),0,15:27,1,4,.250,0,0,,0,0,,0,2,2,3,0,0,2,3,2,-0.9,-19,5.0
3,2016-01-10,30-007,MIN,,DAL,L (-6),0,15:19,2,5,.400,0,0,,0,0,,0,1,1,0,0,0,1,4,4,-1.0,-8,5.0
4,2016-01-13,30-010,MIN,@,HOU,L (-3),1,15:52,4,9,.444,0,0,,0,0,,4,1,5,1,0,0,1,3,8,4.9,+4,5.0
5,2016-01-15,30-012,MIN,@,OKC,L (-20),0,17:33,2,3,.667,0,0,,6,6,1.000,1,2,3,1,0,0,0,2,10,9.9,-5,5.0
6,2016-01-17,30-014,MIN,,PHO,W (+30),0,6:56,1,2,.500,0,0,,2,4,.500,0,0,0,0,0,0,0,0,4,2.2,0,5.0
7,2016-01-20,30-017,MIN,@,DAL,L (-12),1,14:19,2,5,.400,0,0,,0,0,,0,1,1,1,0,0,1,2,4,0.5,-5,5.0
8,2016-01-23,30-020,MIN,,MEM,W (+5),0,13:29,2,5,.400,0,0,,1,2,.500,0,0,0,1,0,0,0,1,5,2.2,-1,5.0
9,2016-01-25,30-022,MIN,@,CLE,L (-7),1,12:34,2,6,.333,0,0,,0,0,,0,2,2,0,0,0,1,2,4,-0.6,-5,5.0
10,2016-01-27,30-024,MIN,,OKC,L (-3),0,12:01,0,5,.000,0,0,,1,2,.500,1,0,1,3,0,0,0,1,1,-0.5,-1,5.0
11,2016-01-29,30-026,MIN,@,UTA,L (-13),0,10:31,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,0,0,0.3,-13,5.0
12,2016-01-31,30-028,MIN,@,POR,L (-3),0,6:25,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,1,0,0.2,-5,5.0
