G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,38-015,LAC,@,SAC,W (+7),0,24:00,4,8,.500,1,4,.250,3,4,.750,1,6,7,0,0,0,1,0,12,9.1,-4,3.0
2,2015-10-29,38-016,LAC,,DAL,W (+16),0,19:31,1,6,.167,0,3,.000,4,4,1.000,0,4,4,2,2,0,0,2,6,6.0,+17,3.0
3,2015-10-31,38-018,LAC,,SAC,W (+5),0,13:46,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,2,1,3,0.9,-18,3.0
4,2015-11-02,38-020,LAC,,PHO,W (+6),0,23:10,3,6,.500,1,4,.250,0,0,,0,6,6,2,0,0,1,1,7,5.8,+7,3.0
5,2015-11-04,38-022,LAC,@,GSW,L (-4),0,17:56,0,3,.000,0,3,.000,4,6,.667,0,2,2,0,1,0,0,0,4,2.7,-18,3.0
6,2015-11-07,38-025,LAC,,HOU,L (-4),0,24:01,2,7,.286,2,6,.333,0,0,,0,8,8,5,1,0,1,4,6,6.2,+6,3.0
7,2015-11-09,38-027,LAC,,MEM,W (+2),0,24:34,0,5,.000,0,4,.000,0,0,,0,2,2,1,0,0,1,1,0,-3.6,+8,3.0
8,2015-11-11,38-029,LAC,@,DAL,L (-10),0,21:33,3,5,.600,2,4,.500,2,2,1.000,1,6,7,2,0,0,0,2,10,10.8,+8,3.0
9,2015-11-12,38-030,LAC,@,PHO,L (-14),0,19:30,2,4,.500,1,3,.333,0,0,,0,1,1,2,2,0,0,1,5,6.3,-8,3.0
10,2015-11-14,38-032,LAC,,DET,W (+5),1,30:16,1,6,.167,1,2,.500,0,0,,1,2,3,3,0,0,1,1,3,1.2,-1,3.0
11,2015-11-19,38-037,LAC,,GSW,L (-7),1,31:53,2,6,.333,2,5,.400,0,0,,1,2,3,1,1,0,0,4,6,4.0,-5,3.0
12,2015-11-22,38-040,LAC,,TOR,L (-11),1,18:50,0,2,.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,2,2,2,-1.9,-14,3.0
13,2015-11-24,38-042,LAC,@,DEN,W (+17),0,18:07,2,5,.400,0,3,.000,0,0,,0,1,1,0,1,0,1,2,4,0.8,+1,3.0
14,2015-11-25,38-043,LAC,,UTA,L (-11),0,8:54,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-8,3.0
