G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,27-057,MIL,,NYK,L (-25),0,3:23,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-1.4,-9,5.0
2,2015-10-30,27-059,MIL,,WAS,L (-5),0,13:04,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,1,2,4,1.5,-8,5.0
3,2015-11-01,27-061,MIL,@,TOR,L (-19),0,14:47,3,5,.600,0,0,,2,2,1.000,3,0,3,0,1,4,1,3,8,9.4,-2,5.0
4,2015-11-02,27-062,MIL,@,BRK,W (+7),0,6:19,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,3,4,2,-1.2,-5,5.0
5,2015-11-04,27-064,MIL,,PHI,W (+4),0,11:44,1,1,1.000,0,0,,0,0,,0,4,4,1,0,2,1,2,2,3.2,-2,5.0
6,2015-11-06,27-066,MIL,@,NYK,W (+7),0,1:47,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-2,5.0
7,2015-11-07,27-067,MIL,,BRK,W (+8),0,4:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-8,5.0
8,2015-11-10,27-070,MIL,,BOS,L (-16),0,3:22,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,5.0
9,2015-11-14,27-074,MIL,,CLE,W (+3),0,1:34,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,5.0
10,2015-11-17,27-077,MIL,@,WAS,L (-29),0,6:23,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-5,5.0
11,2015-11-21,27-081,MIL,@,IND,L (-37),0,12:00,2,6,.333,0,0,,0,0,,2,2,4,1,0,0,0,0,4,3.3,-14,5.0
12,2015-11-23,27-083,MIL,,DET,W (+21),0,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,5.0
13,2015-11-27,27-087,MIL,@,ORL,L (-24),0,2:58,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0,5.0
14,2015-11-30,27-090,MIL,,DEN,W (+18),0,3:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,5.0
15,2015-12-02,27-092,MIL,@,SAS,L (-25),0,7:05,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-0.1,-1,5.0
16,2015-12-15,27-105,MIL,@,LAL,L (-18),0,24:15,5,7,.714,0,0,,0,2,.000,2,6,8,0,0,1,1,3,10,8.0,-3,5.0
17,2015-12-16,27-106,MIL,@,LAC,L (-13),1,21:34,1,4,.250,0,0,,0,0,,2,1,3,0,0,1,0,2,2,1.2,-15,5.0
18,2015-12-18,27-108,MIL,@,GSW,L (-9),0,19:14,3,3,1.000,0,0,,7,8,.875,3,4,7,0,0,3,0,1,13,16.7,+10,5.0
19,2015-12-23,27-113,MIL,,PHI,W (+13),0,2:01,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-3,5.0
