G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,22-147,WAS,@,ORL,W (+1),1,36:55,3,10,.300,1,5,.200,0,0,,2,6,8,5,2,0,1,1,7,8.5,+19,3.0
2,2015-10-30,22-149,WAS,@,MIL,W (+5),1,30:59,2,5,.400,1,3,.333,1,2,.500,0,4,4,3,1,1,3,3,6,3.7,-17,3.0
3,2015-10-31,22-150,WAS,,NYK,L (-7),1,35:00,7,13,.538,0,4,.000,2,2,1.000,2,7,9,1,2,0,1,3,16,13.7,-10,3.0
4,2015-11-04,22-154,WAS,,SAS,W (+3),1,37:30,8,10,.800,1,1,1.000,2,2,1.000,1,1,2,2,0,1,1,1,19,16.9,+12,3.0
5,2015-11-06,22-156,WAS,@,BOS,L (-20),1,23:51,4,8,.500,0,3,.000,1,1,1.000,0,1,1,3,1,0,1,4,9,5.8,-7,3.0
6,2015-11-07,22-157,WAS,@,ATL,L (-15),1,39:23,8,12,.667,3,5,.600,4,4,1.000,1,2,3,1,1,0,1,2,23,19.0,-12,3.0
7,2015-11-10,22-160,WAS,,OKC,L (-24),1,27:56,4,9,.444,0,3,.000,6,7,.857,1,4,5,0,2,0,1,2,14,11.0,-21,3.0
8,2015-11-14,22-164,WAS,,ORL,W (+9),1,36:09,4,13,.308,1,5,.200,0,0,,0,10,10,4,4,1,1,3,9,9.8,+20,3.0
9,2015-11-17,22-167,WAS,,MIL,W (+29),1,30:21,7,11,.636,1,3,.333,4,5,.800,1,1,2,4,3,1,2,4,19,17.6,+32,3.0
10,2015-11-21,22-171,WAS,@,DET,W (+2),1,31:15,6,12,.500,2,3,.667,3,4,.750,2,3,5,1,2,0,1,2,17,13.8,-4,3.0
11,2015-11-24,22-174,WAS,,IND,L (-17),1,24:59,2,8,.250,1,4,.250,2,2,1.000,2,1,3,3,2,0,0,4,7,6.4,-15,3.0
12,2015-11-25,22-175,WAS,@,CHO,L (-14),1,27:00,1,6,.167,1,5,.200,0,0,,1,0,1,3,0,0,2,2,3,-0.8,-9,3.0
