G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,24-100,DAL,@,PHO,W (+16),0,17:19,4,7,.571,0,0,,4,8,.500,0,6,6,1,0,0,1,4,12,7.0,+1,4.0
2,2015-10-29,24-101,DAL,@,LAC,L (-16),0,19:04,4,8,.500,0,0,,1,2,.500,2,6,8,0,0,0,1,3,9,5.6,-14,4.0
3,2015-11-01,24-104,DAL,@,LAL,W (+10),0,24:50,4,7,.571,0,0,,0,1,.000,2,6,8,2,0,2,1,4,8,7.7,-3,4.0
4,2015-11-03,24-106,DAL,,TOR,L (-11),0,25:46,4,14,.286,0,0,,2,2,1.000,1,9,10,3,2,0,0,2,10,8.5,+13,4.0
5,2015-11-05,24-108,DAL,,CHO,L (-14),0,23:28,6,12,.500,0,0,,2,4,.500,2,7,9,1,1,1,0,2,14,12.3,+3,4.0
6,2015-11-07,24-110,DAL,,NOP,W (+9),0,25:45,7,9,.778,0,0,,1,1,1.000,2,5,7,1,0,1,0,4,15,14.2,+20,4.0
7,2015-11-10,24-113,DAL,@,NOP,L (-15),0,16:43,4,5,.800,0,0,,2,4,.500,3,3,6,1,0,1,1,4,10,9.1,-12,4.0
8,2015-11-11,24-114,DAL,,LAC,W (+10),0,16:18,4,5,.800,0,0,,0,0,,3,3,6,1,0,0,1,4,8,7.2,-6,4.0
9,2015-11-13,24-116,DAL,,LAL,W (+8),0,21:53,3,6,.500,0,0,,4,4,1.000,1,11,12,2,1,0,0,0,10,13.4,+18,4.0
10,2015-11-14,24-117,DAL,@,HOU,W (+12),0,26:09,5,8,.625,0,0,,3,4,.750,1,8,9,3,0,2,1,0,13,14.6,+13,4.0
11,2015-11-16,24-119,DAL,@,PHI,W (+6),0,25:58,3,5,.600,0,0,,1,3,.333,2,6,8,0,2,0,3,3,7,4.9,-3,4.0
12,2015-11-18,24-121,DAL,@,BOS,W (+4),0,22:33,1,4,.250,0,0,,4,6,.667,2,4,6,1,0,2,2,3,6,4.3,-18,4.0
13,2015-11-20,24-123,DAL,,UTA,W (+9),0,21:58,3,6,.500,0,0,,5,5,1.000,2,2,4,1,2,1,0,4,11,11.8,-9,4.0
14,2015-11-22,24-125,DAL,@,OKC,L (-3),0,13:28,5,7,.714,0,0,,3,4,.750,0,1,1,0,2,0,0,2,13,11.2,+3,4.0
15,2015-11-24,24-127,DAL,@,MEM,L (-14),0,20:39,1,6,.167,0,1,.000,0,0,,2,6,8,3,0,2,2,0,2,2.9,-4,4.0
16,2015-11-25,24-128,DAL,@,SAS,L (-5),0,12:03,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,2,1,4,1.6,0,4.0
17,2015-11-28,24-131,DAL,,DEN,W (+11),0,20:49,3,6,.500,0,1,.000,0,0,,2,2,4,1,3,1,1,2,6,7.6,0,4.0
18,2015-11-30,24-133,DAL,@,SAC,L (-14),0,12:14,0,2,.000,0,2,.000,2,2,1.000,1,5,6,0,0,1,1,2,2,1.7,+4,4.0
19,2015-12-01,24-134,DAL,@,POR,W (+3),0,13:07,2,6,.333,0,0,,0,0,,2,1,3,1,1,1,0,2,4,3.9,-19,4.0
20,2015-12-04,24-137,DAL,,HOU,L (-4),0,16:00,4,5,.800,0,0,,3,5,.600,1,5,6,1,0,1,1,0,11,10.9,+20,4.0
21,2015-12-07,24-140,DAL,@,NYK,W (+7),0,19:01,2,3,.667,0,0,,4,4,1.000,2,4,6,0,0,0,1,2,8,7.5,-14,4.0
22,2015-12-09,24-142,DAL,,ATL,L (-3),0,22:31,4,10,.400,0,1,.000,6,7,.857,3,3,6,0,1,0,1,4,14,9.6,-5,4.0
23,2015-12-12,24-145,DAL,,WAS,L (-3),0,20:42,3,6,.500,0,0,,3,4,.750,2,2,4,0,0,0,0,0,9,7.6,-3,4.0
24,2015-12-14,24-147,DAL,,PHO,W (+10),0,16:17,2,2,1.000,0,0,,4,5,.800,0,6,6,0,0,0,0,3,8,7.6,+4,4.0
25,2015-12-16,24-149,DAL,@,IND,L (-26),0,7:28,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,3,2,0.8,-8,4.0
26,2015-12-18,24-151,DAL,,MEM,W (+9),0,9:27,0,2,.000,0,0,,0,0,,1,0,1,0,1,0,0,3,0,-0.9,0,4.0
27,2015-12-22,24-155,DAL,@,TOR,L (-4),0,14:35,1,3,.333,0,0,,1,2,.500,2,2,4,0,0,0,1,3,3,0.7,-8,4.0
28,2015-12-23,24-156,DAL,@,BRK,W (+1),0,8:13,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,1.9,+3,4.0
29,2015-12-26,24-159,DAL,,CHI,W (+7),0,20:50,4,6,.667,0,0,,1,3,.333,2,4,6,0,2,0,1,6,9,6.8,-12,4.0
30,2015-12-28,24-161,DAL,,MIL,W (+10),0,15:30,3,7,.429,0,0,,2,2,1.000,1,1,2,1,1,0,0,1,8,6.6,-3,4.0
31,2015-12-30,24-163,DAL,,GSW,W (+23),0,25:26,5,9,.556,0,0,,0,0,,1,3,4,1,0,0,1,4,10,5.4,+7,4.0
32,2016-01-01,24-165,DAL,@,MIA,L (-24),0,13:48,0,5,.000,0,0,,1,2,.500,5,0,5,0,1,0,0,2,1,0.8,-15,4.0
33,2016-01-02,24-166,DAL,,NOP,L (-7),0,8:47,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-2,4.0
34,2016-01-06,24-170,DAL,@,NOP,W (+9),0,29:50,4,9,.444,0,0,,5,6,.833,3,7,10,2,2,2,1,3,13,14.7,+14,4.0
35,2016-01-08,24-172,DAL,@,MIL,L (-1),0,8:14,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,2,1,4,1.3,-9,4.0
36,2016-01-10,24-174,DAL,@,MIN,W (+6),0,13:33,0,0,,0,0,,0,0,,0,4,4,1,1,1,1,1,0,2.2,-7,4.0
37,2016-01-12,24-176,DAL,,CLE,L (-3),0,3:54,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-2,4.0
38,2016-01-13,24-177,DAL,@,OKC,L (-19),0,32:00,2,12,.167,0,2,.000,4,5,.800,3,6,9,2,2,0,2,2,8,4.5,-16,4.0
39,2016-01-15,24-179,DAL,@,CHI,W (+6),0,14:24,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-0.1,+3,4.0
40,2016-01-17,24-181,DAL,@,SAS,L (-29),0,15:32,4,8,.500,2,3,.667,5,5,1.000,0,2,2,0,0,1,1,2,15,10.5,-9,4.0
41,2016-01-18,24-182,DAL,,BOS,W (+5),0,17:01,2,4,.500,0,0,,0,0,,0,4,4,1,1,1,1,1,4,4.2,-12,4.0
42,2016-01-20,24-184,DAL,,MIN,W (+12),0,2:58,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-7,4.0
43,2016-01-22,24-186,DAL,,OKC,L (-3),0,6:35,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,0.2,-12,4.0
44,2016-01-24,24-188,DAL,@,HOU,L (-11),0,13:48,2,4,.500,0,0,,2,3,.667,1,0,1,1,0,0,0,0,6,5.0,+10,4.0
45,2016-01-26,24-190,DAL,@,LAL,W (+2),0,10:17,1,3,.333,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,4,2.9,-3,4.0
46,2016-01-27,24-191,DAL,@,GSW,L (-20),0,25:07,4,5,.800,0,0,,3,5,.600,1,4,5,3,0,0,2,2,11,9.5,-8,4.0
47,2016-01-29,24-193,DAL,,BRK,W (+12),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
48,2016-01-31,24-195,DAL,,PHO,W (+13),0,11:33,2,2,1.000,0,0,,2,2,1.000,1,3,4,0,0,0,0,1,6,6.6,+12,4.0
49,2016-02-01,24-196,DAL,@,ATL,L (-15),0,7:02,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,1,2,2,0.1,-1,4.0
50,2016-02-05,24-200,DAL,,SAS,L (-26),0,13:09,1,3,.333,0,2,.000,6,8,.750,1,3,4,1,1,0,0,1,8,8.4,+9,4.0
51,2016-02-06,24-201,DAL,@,MEM,W (+4),0,14:17,3,3,1.000,0,0,,4,4,1.000,3,2,5,0,1,0,1,2,10,11.0,+8,4.0
52,2016-02-09,24-204,DAL,,UTA,L (-2),0,11:35,3,3,1.000,0,0,,1,1,1.000,0,2,2,0,0,0,1,0,7,5.7,-2,4.0
