G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-04,24-260,PHI,@,MIL,L (-4),0,2:32,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+6,1.0
2,2015-11-06,24-262,PHI,@,CLE,L (-6),0,7:31,1,4,.250,1,2,.500,0,0,,0,1,1,1,1,0,2,0,3,0.6,+6,1.0
3,2015-11-07,24-263,PHI,,ORL,L (-8),0,10:40,1,3,.333,0,2,.000,1,3,.333,0,3,3,3,0,0,1,1,3,2.1,-7,1.0
4,2015-11-09,24-265,PHI,,CHI,L (-23),0,13:08,4,6,.667,2,2,1.000,1,2,.500,0,0,0,5,0,0,3,1,11,8.1,+4,1.0
5,2015-11-11,24-267,PHI,,TOR,L (-16),0,16:34,1,3,.333,0,2,.000,3,4,.750,0,2,2,7,1,0,1,2,5,7.6,+4,1.0
6,2015-11-13,24-269,PHI,@,OKC,L (-17),0,9:33,0,3,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,0,0,-1.4,0,1.0
7,2015-11-14,24-270,PHI,@,SAS,L (-9),0,15:36,4,7,.571,0,0,,0,0,,0,3,3,6,1,0,0,1,8,10.4,+11,1.0
8,2015-11-18,24-274,PHI,,IND,L (-27),0,18:38,4,6,.667,1,1,1.000,0,0,,0,3,3,5,1,0,3,2,9,8.0,-8,1.0
9,2015-11-20,24-276,PHI,@,CHO,L (-25),0,9:33,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,-15,1.0
10,2015-11-25,24-281,PHI,@,BOS,L (-4),0,17:58,3,8,.375,0,1,.000,0,0,,0,3,3,4,2,0,2,1,6,4.9,+3,1.0
11,2015-11-27,24-283,PHI,@,HOU,L (-2),0,16:25,2,6,.333,0,0,,0,1,.000,0,0,0,5,2,1,1,0,4,5.4,-5,1.0
12,2015-11-29,24-285,PHI,@,MEM,L (-8),0,15:40,0,4,.000,0,2,.000,3,4,.750,0,2,2,3,1,0,3,2,3,-0.3,-3,1.0
13,2015-12-01,24-287,PHI,,LAL,W (+12),0,5:51,0,0,,0,0,,1,2,.500,0,0,0,2,0,0,0,2,1,1.2,0,1.0
14,2015-12-02,24-288,PHI,@,NYK,L (-12),0,10:22,1,4,.250,0,0,,0,2,.000,0,5,5,1,1,0,2,2,2,-0.8,-1,1.0
15,2016-02-21,25-004,PHO,,SAS,L (-7),0,28:00,2,6,.333,0,2,.000,2,5,.400,1,1,2,6,1,3,4,5,6,3.7,-2,1.0
16,2016-02-22,25-005,PHO,@,LAC,L (-40),0,28:22,2,7,.286,0,2,.000,0,0,,0,1,1,10,1,0,3,2,4,4.4,-13,1.0
17,2016-02-25,25-008,PHO,,BRK,L (-10),0,19:42,4,6,.667,0,0,,2,2,1.000,0,0,0,4,2,0,4,3,10,7.0,+2,1.0
18,2016-02-27,25-010,PHO,,MEM,W (+5),0,11:37,0,0,,0,0,,0,0,,1,1,2,4,0,0,2,2,0,1.0,-1,1.0
19,2016-03-01,25-013,PHO,@,CHO,L (-34),0,12:32,1,4,.250,0,1,.000,0,0,,0,2,2,3,1,0,1,0,2,2.3,-18,1.0
20,2016-03-03,25-015,PHO,@,MIA,L (-16),0,2:07,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-1,1.0
21,2016-03-06,25-018,PHO,@,MEM,W (+9),0,4:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+2,1.0
22,2016-03-09,25-021,PHO,,NYK,L (-31),0,6:16,0,0,,0,0,,0,0,,1,0,1,1,1,0,0,0,0,2.4,-2,1.0
23,2016-03-10,25-022,PHO,@,DEN,L (-18),0,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,1.0
