G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,35-242,MIN,@,LAL,W (+1),1,14:37,0,0,,0,0,,2,4,.500,1,1,2,1,0,0,0,2,2,2.1,+4,3.0
2,2015-10-30,35-244,MIN,@,DEN,W (+17),1,29:20,1,3,.333,0,2,.000,0,0,,0,3,3,2,2,0,0,2,2,3.8,+22,3.0
3,2015-11-02,35-247,MIN,,POR,L (-5),1,20:12,0,3,.000,0,0,,2,2,1.000,0,0,0,0,2,0,0,0,2,1.9,+2,3.0
4,2015-11-05,35-250,MIN,,MIA,L (-12),1,12:58,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,-1,3.0
5,2015-11-07,35-252,MIN,@,CHI,W (+9),1,38:34,4,9,.444,0,1,.000,0,1,.000,1,4,5,0,0,1,2,0,8,3.5,+2,3.0
6,2015-11-09,35-254,MIN,@,ATL,W (+10),1,24:05,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,1,0,4,2.0,+3,3.0
7,2015-11-10,35-255,MIN,,CHO,L (-9),1,30:30,2,3,.667,1,1,1.000,0,0,,1,5,6,2,0,0,0,2,5,6.5,+13,3.0
8,2015-11-12,35-257,MIN,,GSW,L (-13),1,14:05,3,3,1.000,0,0,,0,0,,1,2,3,0,0,0,1,1,6,5.0,-11,3.0
9,2015-11-13,35-258,MIN,@,IND,L (-4),1,18:34,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,0,0,4,3.7,-12,3.0
10,2015-11-15,35-260,MIN,,MEM,L (-8),1,21:39,1,3,.333,0,0,,0,0,,0,0,0,1,1,0,0,2,2,1.2,-2,3.0
11,2015-11-17,35-262,MIN,@,MIA,W (+12),1,12:45,0,1,.000,0,0,,0,0,,2,2,4,2,0,0,1,2,0,0.9,+2,3.0
12,2015-11-18,35-263,MIN,@,ORL,L (-3),1,29:54,2,3,.667,0,0,,0,0,,0,3,3,1,0,0,0,1,4,3.9,-3,3.0
