G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,20-333,LAL,,MIN,L (-1),1,30:04,5,13,.385,0,0,,5,6,.833,2,9,11,2,0,0,1,3,15,10.8,+2,4.0
2,2015-10-30,20-335,LAL,@,SAC,L (-18),1,16:13,1,4,.250,0,0,,1,4,.250,0,2,2,1,0,0,5,5,3,-6.3,-27,4.0
3,2015-11-01,20-337,LAL,,DAL,L (-10),1,33:37,9,17,.529,0,0,,4,8,.500,0,15,15,4,4,1,2,2,22,21.3,+2,4.0
4,2015-11-03,20-339,LAL,,DEN,L (-11),1,32:19,7,14,.500,0,0,,2,3,.667,0,5,5,2,1,1,2,2,16,10.4,-7,4.0
5,2015-11-06,20-342,LAL,@,BRK,W (+6),1,31:58,5,9,.556,0,0,,4,6,.667,0,7,7,3,1,1,3,2,14,11.0,-6,4.0
6,2015-11-08,20-344,LAL,@,NYK,L (-4),1,29:57,3,12,.250,0,1,.000,0,0,,5,6,11,3,0,0,0,4,6,4.6,-12,4.0
7,2015-11-10,20-346,LAL,@,MIA,L (-13),1,25:33,2,6,.333,0,1,.000,3,5,.600,0,7,7,4,0,0,2,3,7,4.5,-19,4.0
8,2015-11-11,20-347,LAL,@,ORL,L (-2),1,27:36,6,10,.600,0,1,.000,0,3,.000,0,8,8,4,0,1,0,2,12,11.3,-4,4.0
9,2015-11-13,20-349,LAL,@,DAL,L (-8),1,30:28,2,9,.222,0,0,,2,2,1.000,0,10,10,2,1,1,4,5,6,0.6,-5,4.0
10,2015-11-15,20-351,LAL,,DET,W (+12),1,30:39,3,8,.375,0,0,,2,3,.667,3,5,8,2,1,1,2,2,8,7.1,-3,4.0
11,2015-11-16,20-352,LAL,@,PHO,L (-19),1,25:09,2,6,.333,0,0,,2,2,1.000,1,4,5,2,0,0,4,5,6,-0.1,-1,4.0
12,2015-11-20,20-356,LAL,,TOR,L (-11),1,29:58,6,9,.667,0,0,,6,6,1.000,2,10,12,1,0,1,1,5,18,16.9,+15,4.0
13,2015-11-22,20-358,LAL,,POR,L (-14),1,31:36,5,15,.333,0,0,,3,3,1.000,7,6,13,1,0,0,0,0,13,11.9,-16,4.0
14,2015-11-24,20-360,LAL,@,GSW,L (-34),1,24:01,3,6,.500,0,0,,4,4,1.000,0,6,6,0,1,1,0,0,10,10.5,-18,4.0
15,2015-11-28,20-364,LAL,@,POR,L (-12),1,29:52,8,13,.615,0,0,,0,2,.000,1,5,6,4,3,1,1,3,16,15.8,-3,4.0
16,2015-11-29,21-000,LAL,,IND,L (-4),1,27:05,4,11,.364,0,0,,3,4,.750,1,11,12,1,0,1,4,5,11,3.9,+5,4.0
17,2015-12-01,21-002,LAL,@,PHI,L (-12),1,28:22,5,12,.417,0,1,.000,2,3,.667,3,8,11,2,1,0,0,4,12,10.5,-5,4.0
18,2015-12-02,21-003,LAL,@,WAS,W (+4),1,31:14,7,15,.467,0,1,.000,1,2,.500,7,12,19,1,2,0,2,2,15,15.3,-9,4.0
19,2015-12-04,21-005,LAL,@,ATL,L (-13),1,27:47,3,12,.250,0,0,,2,2,1.000,3,2,5,0,3,1,1,2,8,5.4,-27,4.0
20,2015-12-06,21-007,LAL,@,DET,L (-20),1,24:24,5,9,.556,0,0,,5,7,.714,2,9,11,0,0,0,0,2,15,13.2,-22,4.0
21,2015-12-07,21-008,LAL,@,TOR,L (-9),0,20:45,6,13,.462,0,0,,3,3,1.000,7,4,11,0,0,0,1,1,15,13.0,-4,4.0
22,2015-12-09,21-010,LAL,@,MIN,L (-1),0,33:00,7,13,.538,0,0,,6,11,.545,3,9,12,1,1,0,0,3,20,17.0,+8,4.0
23,2015-12-11,21-012,LAL,@,SAS,L (-22),0,20:26,2,9,.222,0,0,,0,0,,1,6,7,0,0,1,2,4,4,-1.9,-8,4.0
24,2015-12-12,21-013,LAL,@,HOU,L (-29),0,22:57,3,11,.273,0,1,.000,1,2,.500,3,7,10,2,1,0,3,5,7,1.7,-34,4.0
25,2015-12-15,21-016,LAL,,MIL,W (+18),0,24:48,6,12,.500,0,1,.000,2,2,1.000,6,8,14,1,0,0,4,4,14,9.7,-4,4.0
26,2015-12-17,21-018,LAL,,HOU,L (-20),0,23:24,6,15,.400,1,1,1.000,5,6,.833,3,7,10,2,1,0,1,5,18,13.1,-4,4.0
27,2015-12-19,21-020,LAL,@,OKC,L (-40),0,25:54,1,7,.143,0,1,.000,0,0,,3,4,7,0,0,0,5,3,2,-5.4,-28,4.0
28,2015-12-22,21-023,LAL,@,DEN,W (+4),0,28:11,3,7,.429,0,0,,2,3,.667,3,7,10,1,0,0,2,1,8,6.4,-1,4.0
29,2015-12-25,21-026,LAL,,LAC,L (-10),0,27:08,3,11,.273,1,3,.333,4,6,.667,2,6,8,2,3,0,3,2,11,7.5,-1,4.0
30,2015-12-27,21-028,LAL,@,MEM,L (-16),0,23:22,3,8,.375,1,1,1.000,2,6,.333,3,10,13,1,0,0,1,3,9,6.6,+2,4.0
31,2015-12-28,21-029,LAL,@,CHO,L (-10),0,19:05,4,8,.500,1,1,1.000,2,2,1.000,0,6,6,0,0,0,0,2,11,8.0,-1,4.0
32,2015-12-30,21-031,LAL,@,BOS,W (+8),0,26:31,6,16,.375,1,1,1.000,2,4,.500,3,9,12,4,0,0,1,3,15,10.8,-1,4.0
33,2016-01-01,21-033,LAL,,PHI,W (+9),0,23:33,6,10,.600,0,0,,3,4,.750,2,7,9,0,2,0,1,2,15,13.7,+9,4.0
34,2016-01-03,21-035,LAL,,PHO,W (+20),0,15:57,0,4,.000,0,1,.000,2,2,1.000,2,10,12,3,0,0,2,3,2,2.5,+4,4.0
35,2016-01-05,21-037,LAL,,GSW,L (-21),0,19:56,1,8,.125,0,0,,0,0,,3,6,9,4,0,1,2,1,2,1.8,-10,4.0
36,2016-01-07,21-039,LAL,@,SAC,L (-3),0,29:54,1,4,.250,0,0,,4,4,1.000,1,9,10,1,1,0,5,4,6,2.1,+17,4.0
37,2016-01-08,21-040,LAL,,OKC,L (-4),0,23:21,1,7,.143,0,1,.000,0,0,,2,6,8,2,0,0,3,6,2,-3.3,+6,4.0
38,2016-01-10,21-042,LAL,,UTA,L (-12),0,26:48,5,12,.417,0,1,.000,1,1,1.000,1,6,7,1,1,0,0,6,11,6.4,-13,4.0
39,2016-01-12,21-044,LAL,,NOP,W (+4),0,25:16,3,8,.375,0,0,,1,2,.500,2,9,11,0,1,0,1,2,7,5.5,+2,4.0
40,2016-01-14,21-046,LAL,@,GSW,L (-18),0,29:37,7,14,.500,0,0,,0,0,,3,6,9,3,0,1,4,4,14,8.1,-12,4.0
41,2016-01-16,21-048,LAL,@,UTA,L (-27),0,24:50,3,10,.300,0,0,,0,0,,2,4,6,1,1,2,0,2,6,5.1,-28,4.0
42,2016-01-17,21-049,LAL,,HOU,L (-17),1,26:19,5,10,.500,0,0,,2,3,.667,1,10,11,2,0,1,1,3,12,10.2,-10,4.0
43,2016-01-20,21-052,LAL,,SAC,L (-19),1,30:40,2,11,.182,0,0,,2,4,.500,4,8,12,2,0,1,1,1,6,4.2,-14,4.0
44,2016-01-22,21-054,LAL,,SAS,L (-13),1,33:36,6,14,.429,0,0,,0,0,,3,11,14,1,0,0,0,3,12,9.5,-6,4.0
45,2016-01-23,21-055,LAL,@,POR,L (-18),1,24:26,4,7,.571,0,0,,3,5,.600,2,7,9,0,0,1,1,3,11,8.9,-21,4.0
46,2016-01-26,21-058,LAL,,DAL,L (-2),1,30:54,6,14,.429,0,2,.000,4,5,.800,0,11,11,2,0,2,2,4,16,10.7,+2,4.0
47,2016-01-28,21-060,LAL,,CHI,L (-23),1,26:39,4,8,.500,0,0,,6,6,1.000,0,8,8,1,1,1,2,2,14,12.0,-18,4.0
48,2016-01-29,21-061,LAL,@,LAC,L (-12),1,34:49,9,16,.563,1,1,1.000,4,4,1.000,4,10,14,1,1,0,6,3,23,15.7,-1,4.0
49,2016-01-31,21-063,LAL,,CHO,L (-19),1,30:47,5,10,.500,0,0,,0,0,,1,10,11,2,0,0,2,4,10,6.5,-4,4.0
50,2016-02-02,21-065,LAL,,MIN,W (+4),1,32:23,7,14,.500,0,0,,1,2,.500,3,9,12,2,0,0,1,3,15,11.6,+9,4.0
51,2016-02-04,21-067,LAL,@,NOP,W (+3),1,31:56,5,10,.500,0,0,,1,2,.500,0,8,8,3,0,0,1,5,11,7.1,+3,4.0
52,2016-02-06,21-069,LAL,@,SAS,L (-4),1,30:56,5,12,.417,0,0,,5,6,.833,3,13,16,4,2,0,3,4,15,14.4,-4,4.0
53,2016-02-08,21-071,LAL,@,IND,L (-2),1,33:38,5,9,.556,1,2,.500,4,6,.667,4,15,19,3,0,0,5,3,15,13.1,-5,4.0
54,2016-02-10,21-073,LAL,@,CLE,L (-9),1,26:40,2,7,.286,0,0,,3,4,.750,1,7,8,0,0,0,1,3,7,3.1,-25,4.0
55,2016-02-19,21-082,LAL,,SAS,L (-6),1,31:16,5,10,.500,1,1,1.000,0,1,.000,5,10,15,0,0,0,1,3,11,9.9,-5,4.0
56,2016-02-21,21-084,LAL,@,CHI,L (-11),1,32:11,10,19,.526,0,1,.000,2,3,.667,4,8,12,0,0,0,1,4,22,14.9,-22,4.0
57,2016-02-22,21-085,LAL,@,MIL,L (-7),1,26:26,1,5,.200,0,0,,3,6,.500,0,7,7,1,0,1,2,3,5,1.0,-21,4.0
58,2016-02-24,21-087,LAL,@,MEM,L (-9),1,33:20,4,9,.444,0,0,,3,6,.500,4,10,14,0,0,0,2,2,11,8.1,-20,4.0
