G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,34-104,MEM,,CLE,L (-30),1,30:54,5,11,.455,0,1,.000,2,4,.500,3,5,8,0,1,0,2,1,12,7.7,-7,4.0
2,2015-10-29,34-105,MEM,@,IND,W (+9),1,29:32,3,11,.273,0,0,,5,6,.833,2,6,8,2,0,0,2,3,11,5.5,+17,4.0
3,2015-10-31,34-107,MEM,,BRK,W (+10),1,29:38,6,12,.500,0,0,,3,4,.750,3,10,13,1,0,0,3,2,15,10.6,+8,4.0
4,2015-11-02,34-109,MEM,@,GSW,L (-50),1,19:11,2,9,.222,0,0,,0,0,,1,2,3,0,0,0,0,1,4,-0.6,-30,4.0
5,2015-11-03,34-110,MEM,@,SAC,W (+14),1,29:08,9,14,.643,0,0,,2,2,1.000,3,8,11,2,0,0,4,2,20,14.9,+15,4.0
6,2015-11-05,34-112,MEM,@,POR,L (-19),1,32:32,8,12,.667,0,0,,0,0,,2,8,10,2,1,0,3,1,16,13.6,-14,4.0
7,2015-11-07,34-114,MEM,@,UTA,L (-10),1,38:01,5,12,.417,0,0,,0,0,,3,6,9,2,1,0,2,3,10,6.7,-1,4.0
8,2015-11-09,34-116,MEM,@,LAC,L (-2),1,39:31,12,19,.632,0,0,,2,2,1.000,2,7,9,4,3,0,0,3,26,25.6,+15,4.0
9,2015-11-11,34-118,MEM,,GSW,L (-16),1,30:28,6,13,.462,0,0,,7,7,1.000,1,6,7,2,1,0,6,5,19,9.2,-8,4.0
10,2015-11-13,34-120,MEM,,POR,W (+1),1,28:33,6,16,.375,0,0,,3,4,.750,4,4,8,3,2,0,3,2,15,10.1,-10,4.0
11,2015-11-15,34-122,MEM,@,MIN,W (+8),1,27:57,6,8,.750,0,0,,2,2,1.000,1,7,8,1,1,1,1,1,14,14.6,+2,4.0
12,2015-11-16,34-123,MEM,,OKC,W (+8),1,29:26,4,16,.250,0,0,,4,4,1.000,5,5,10,2,0,0,1,1,12,7.4,+4,4.0
13,2015-11-29,34-136,MEM,,PHI,W (+8),1,32:00,6,17,.353,0,0,,5,6,.833,7,4,11,0,1,0,2,1,17,11.8,+7,4.0
14,2015-12-01,34-138,MEM,@,NOP,W (+9),1,26:11,6,14,.429,0,0,,2,2,1.000,4,2,6,0,0,0,0,2,14,9.2,-1,4.0
15,2015-12-03,34-140,MEM,,SAS,L (-20),1,28:44,4,10,.400,0,0,,1,2,.500,3,3,6,1,0,0,1,2,9,5.1,-10,4.0
16,2015-12-06,34-143,MEM,,PHO,W (+2),1,36:43,5,16,.313,0,0,,0,0,,4,5,9,3,0,0,1,2,10,5.4,-1,4.0
17,2015-12-08,34-145,MEM,,OKC,L (-37),1,31:19,3,10,.300,0,0,,3,4,.750,3,7,10,0,0,0,1,3,9,4.8,-20,4.0
18,2015-12-09,34-146,MEM,@,DET,W (+1),1,35:07,10,18,.556,0,0,,1,4,.250,7,9,16,1,0,0,1,3,21,17.3,+5,4.0
19,2015-12-11,34-148,MEM,,CHO,L (-24),1,29:10,5,9,.556,0,1,.000,3,4,.750,4,3,7,1,1,0,0,0,13,13.7,-11,4.0
20,2015-12-13,34-150,MEM,@,MIA,L (-3),0,26:18,6,9,.667,0,0,,0,1,.000,0,6,6,4,0,0,0,1,12,11.9,-5,4.0
21,2015-12-14,34-151,MEM,,WAS,W (+17),0,20:45,4,7,.571,0,0,,0,0,,1,3,4,1,1,0,2,2,8,5.2,+8,4.0
22,2015-12-16,34-153,MEM,@,CHI,L (-13),0,29:51,4,9,.444,0,0,,2,2,1.000,0,11,11,5,0,0,1,3,10,9.9,-9,4.0
