G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-328,OKC,,SAS,W (+6),1,16:35,1,1,1.000,0,0,,0,0,,0,1,1,2,1,1,0,1,2,4.7,-4,2.0
2,2015-10-30,23-330,OKC,@,ORL,W (+3),1,18:48,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,0,0,-2.1,-13,2.0
3,2015-11-01,23-332,OKC,,DEN,W (+24),1,20:21,4,7,.571,1,3,.333,1,2,.500,1,6,7,1,1,0,1,3,10,8.3,+16,2.0
4,2015-11-02,23-333,OKC,@,HOU,L (-5),1,22:24,3,5,.600,1,1,1.000,0,0,,1,2,3,0,0,2,0,4,7,5.8,-1,2.0
5,2015-11-04,23-335,OKC,,TOR,L (-5),1,26:44,1,3,.333,1,3,.333,2,2,1.000,0,1,1,0,0,0,0,4,5,2.0,+1,2.0
6,2015-11-05,23-336,OKC,@,CHI,L (-6),1,14:49,1,3,.333,1,2,.500,0,0,,1,1,2,1,1,0,0,2,3,3.2,+11,2.0
7,2015-11-08,23-339,OKC,,PHO,W (+21),1,22:36,3,7,.429,0,1,.000,1,2,.500,2,4,6,0,0,1,0,2,7,5.4,+15,2.0
8,2015-11-10,23-341,OKC,@,WAS,W (+24),1,24:54,3,6,.500,1,3,.333,0,0,,0,1,1,1,1,1,0,2,7,5.9,+22,2.0
9,2015-11-13,23-344,OKC,,PHI,W (+17),1,18:46,2,6,.333,0,2,.000,1,2,.500,0,2,2,1,1,0,1,0,5,2.5,+6,2.0
10,2015-11-15,23-346,OKC,,BOS,L (-15),1,25:02,3,5,.600,1,2,.500,0,0,,0,2,2,1,2,0,0,0,7,8.0,0,2.0
11,2015-11-18,23-349,OKC,,NOP,W (+7),1,29:27,3,5,.600,1,2,.500,1,2,.500,4,4,8,1,1,0,1,2,8,9.2,-7,2.0
12,2015-11-20,23-351,OKC,,NYK,L (-3),1,26:17,1,4,.250,0,3,.000,0,0,,1,1,2,1,0,1,0,4,2,0.4,-16,2.0
13,2015-11-22,23-353,OKC,,DAL,W (+3),1,32:59,2,6,.333,2,5,.400,1,2,.500,2,2,4,2,1,2,0,3,7,7.8,+1,2.0
14,2015-11-23,23-354,OKC,@,UTA,W (+22),1,16:28,1,4,.250,0,2,.000,0,0,,0,3,3,0,0,0,0,2,2,-0.3,-3,2.0
