G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-329,CHO,@,MIA,L (-10),0,13:19,2,6,.333,0,0,,1,1,1.000,0,1,1,1,0,0,0,1,5,2.2,+4,1.0
2,2015-11-03,29-335,CHO,,CHI,W (+25),0,5:41,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-5,1.0
3,2015-11-05,29-337,CHO,@,DAL,W (+14),0,6:11,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-7,1.0
4,2015-11-07,29-339,CHO,@,SAS,L (-20),0,3:51,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,+4,1.0
5,2015-11-10,29-342,CHO,@,MIN,W (+9),0,6:04,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,4,2.7,+9,1.0
6,2015-11-15,29-347,CHO,,POR,W (+12),0,3:16,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,-7,1.0
7,2015-11-20,29-352,CHO,,PHI,W (+25),0,13:07,1,3,.333,0,0,,0,0,,0,0,0,3,0,0,0,1,2,2.0,+7,1.0
8,2015-12-02,29-364,CHO,,GSW,L (-17),0,19:52,2,7,.286,1,1,1.000,0,0,,0,6,6,5,2,0,0,1,5,7.8,+8,1.0
9,2015-12-07,30-004,CHO,,DET,W (+20),0,3:44,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,1.0
10,2015-12-09,30-006,CHO,,MIA,W (+18),0,7:49,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,3,1,2,-2.4,-8,1.0
11,2015-12-11,30-008,CHO,@,MEM,W (+24),0,3:31,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,1.0,-1,1.0
12,2015-12-16,30-013,CHO,@,ORL,L (-15),0,6:40,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.7,+5,1.0
13,2015-12-21,30-018,CHO,@,HOU,L (-7),0,5:47,1,2,.500,0,1,.000,0,0,,0,1,1,1,1,0,1,0,2,2.0,+2,1.0
14,2015-12-30,30-027,CHO,,LAC,L (-5),0,18:29,2,5,.400,0,3,.000,0,0,,0,0,0,2,2,0,1,3,4,2.5,-3,1.0
