G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-04,21-300,IND,,BOS,W (+2),0,19:12,3,4,.750,0,0,,4,5,.800,1,1,2,0,1,0,1,0,10,9.0,-4,3.0
2,2015-11-06,21-302,IND,,MIA,W (+3),0,15:41,3,5,.600,0,1,.000,1,2,.500,1,1,2,1,0,0,0,0,7,6.0,+2,3.0
3,2015-11-08,21-304,IND,@,CLE,L (-4),0,13:05,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,1,0,2,-0.1,-5,3.0
4,2015-11-09,21-305,IND,,ORL,W (+13),0,4:10,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1,3.0
5,2015-11-11,21-307,IND,@,BOS,W (+11),0,13:45,0,1,.000,0,0,,0,0,,1,2,3,0,1,1,0,0,0,2.3,-6,3.0
6,2015-11-13,21-309,IND,,MIN,W (+4),0,21:20,4,8,.500,1,3,.333,2,3,.667,0,5,5,1,0,1,1,0,11,8.5,+6,3.0
7,2015-11-16,21-312,IND,@,CHI,L (-1),0,15:57,1,7,.143,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,3,4,-1.4,-6,3.0
8,2015-11-18,21-314,IND,@,PHI,W (+27),0,20:30,3,5,.600,1,1,1.000,2,3,.667,0,3,3,0,2,0,1,0,9,8.2,0,3.0
9,2015-11-21,21-317,IND,,MIL,W (+37),0,20:38,6,7,.857,4,4,1.000,1,2,.500,0,0,0,0,2,0,1,0,17,15.1,+18,3.0
10,2015-11-24,21-320,IND,@,WAS,W (+17),0,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,3.0
11,2015-11-27,21-323,IND,,CHI,W (+12),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,3.0
12,2015-12-03,21-329,IND,@,POR,L (-12),0,8:30,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-0.7,+3,3.0
13,2015-12-12,21-338,IND,@,DET,L (-22),0,11:49,3,4,.750,0,1,.000,1,2,.500,0,2,2,0,0,0,0,1,7,5.2,-3,3.0
14,2015-12-14,21-340,IND,,TOR,W (+16),0,3:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-9,3.0
15,2015-12-16,21-342,IND,,DAL,W (+26),0,3:26,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,0,0,2,2.4,+5,3.0
16,2015-12-19,21-345,IND,@,MEM,L (-12),0,1:49,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0,3.0
17,2015-12-21,21-347,IND,@,SAS,L (-14),0,1:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,3.0
18,2015-12-26,21-352,IND,@,MIN,W (+14),0,4:29,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+1,3.0
19,2016-01-04,21-361,IND,@,MIA,L (-3),0,10:50,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+9,3.0
20,2016-01-06,21-363,IND,@,ORL,W (+9),0,12:19,2,5,.400,0,1,.000,1,3,.333,0,1,1,0,0,0,1,1,5,0.4,-8,3.0
21,2016-01-08,22-000,IND,@,NOP,W (+5),0,14:40,2,6,.333,0,1,.000,1,2,.500,1,3,4,1,0,0,2,0,5,1.5,0,3.0
22,2016-01-10,22-002,IND,@,HOU,L (-4),0,12:33,2,3,.667,0,1,.000,0,0,,0,3,3,2,0,0,0,1,4,4.6,-3,3.0
23,2016-01-12,22-004,IND,,PHO,W (+19),0,18:37,1,4,.250,0,0,,0,0,,2,2,4,1,0,1,2,1,2,0.6,-6,3.0
24,2016-01-13,22-005,IND,@,BOS,L (-9),0,13:20,2,4,.500,1,2,.500,0,0,,0,3,3,2,2,0,0,1,5,6.9,+2,3.0
25,2016-01-15,22-007,IND,,WAS,L (-14),0,10:44,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-7,3.0
26,2016-01-17,22-009,IND,@,DEN,L (-3),1,16:31,2,8,.250,1,3,.333,3,4,.750,0,0,0,0,1,1,0,1,8,4.1,-9,3.0
27,2016-01-19,22-011,IND,@,PHO,W (+3),1,18:11,3,4,.750,1,1,1.000,3,4,.750,0,1,1,2,1,0,0,2,10,9.9,+5,3.0
28,2016-01-22,22-014,IND,@,GSW,L (-12),1,30:43,1,8,.125,0,2,.000,2,2,1.000,1,3,4,2,2,0,1,0,4,2.8,-17,3.0
29,2016-01-23,22-015,IND,@,SAC,L (-11),1,9:56,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,1,0,0,-0.8,-9,3.0
30,2016-01-26,22-018,IND,,LAC,L (-2),0,7:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,+1,3.0
