G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-248,SAC,,LAC,L (-7),1,25:15,2,8,.250,0,1,.000,0,0,,1,6,7,4,1,0,2,3,4,2.3,-8,1.0
2,2015-10-30,29-250,SAC,,LAL,W (+18),1,23:47,9,13,.692,1,2,.500,2,2,1.000,0,3,3,8,1,0,4,1,21,18.6,+13,1.0
3,2015-10-31,29-251,SAC,@,LAC,L (-5),1,33:00,9,17,.529,1,4,.250,2,6,.333,1,4,5,8,2,0,1,5,21,17.6,-3,1.0
4,2015-11-03,29-254,SAC,,MEM,L (-14),1,26:59,2,10,.200,0,1,.000,1,4,.250,1,5,6,4,1,0,2,1,5,1.2,-17,1.0
5,2015-11-04,29-255,SAC,@,PHO,L (-21),1,29:26,4,10,.400,1,2,.500,0,2,.000,0,3,3,6,1,0,2,2,9,6.1,-18,1.0
6,2015-11-06,29-257,SAC,,HOU,L (-6),1,24:24,6,14,.429,0,2,.000,0,0,,3,5,8,5,3,0,4,1,12,10.3,-17,1.0
7,2015-11-07,29-258,SAC,,GSW,L (-9),1,44:27,7,20,.350,0,3,.000,0,0,,2,10,12,15,4,0,3,3,14,17.5,0,1.0
8,2015-11-09,29-260,SAC,,SAS,L (-18),1,48:00,4,10,.400,0,1,.000,0,0,,0,6,6,12,3,0,9,3,8,5.6,-18,1.0
9,2015-11-11,29-262,SAC,,DET,W (+9),1,48:00,6,16,.375,1,2,.500,1,2,.500,2,9,11,15,3,0,5,1,14,17.0,+9,1.0
10,2015-11-13,29-264,SAC,,BRK,W (+2),1,43:49,10,19,.526,2,4,.500,1,4,.250,2,8,10,14,2,0,4,2,23,23.3,+8,1.0
11,2015-11-15,29-266,SAC,,TOR,W (+6),1,43:16,3,10,.300,1,4,.250,0,0,,2,5,7,14,2,0,7,3,7,7.7,+6,1.0
12,2015-11-18,29-269,SAC,@,ATL,L (-6),1,31:09,6,9,.667,0,0,,0,0,,3,9,12,10,1,0,7,1,12,13.5,-4,1.0
13,2015-11-19,29-270,SAC,@,MIA,L (-7),1,40:18,6,13,.462,2,3,.667,0,0,,2,7,9,18,1,0,3,5,14,19.4,+3,1.0
14,2015-11-21,29-272,SAC,@,ORL,W (+6),1,42:04,5,9,.556,3,4,.750,0,0,,1,6,7,9,3,0,1,2,13,18.7,+3,1.0
15,2015-11-23,29-274,SAC,@,CHO,L (-5),1,46:22,6,12,.500,1,4,.250,1,2,.500,3,5,8,20,4,1,6,3,14,22.7,-11,1.0
16,2015-11-25,29-276,SAC,@,MIL,W (+11),1,38:32,5,10,.500,0,1,.000,0,0,,0,9,9,13,0,1,4,2,10,12.7,+12,1.0
17,2015-11-27,29-278,SAC,,MIN,L (-10),1,36:02,7,16,.438,1,2,.500,1,2,.500,1,3,4,16,0,0,0,3,16,18.8,-5,1.0
18,2015-11-28,29-279,SAC,@,GSW,L (-19),1,24:47,3,10,.300,1,2,.500,0,0,,1,3,4,7,0,0,3,4,7,3.1,-13,1.0
19,2015-11-30,29-281,SAC,,DAL,W (+14),1,29:45,6,14,.429,2,6,.333,7,14,.500,1,2,3,5,0,0,2,0,21,13.6,+6,1.0
20,2015-12-03,29-284,SAC,,BOS,L (-17),1,23:58,2,6,.333,1,1,1.000,0,0,,0,3,3,8,2,0,4,1,5,5.7,-9,1.0
21,2015-12-05,29-286,SAC,@,HOU,L (-7),1,36:03,6,12,.500,1,2,.500,0,0,,2,1,3,19,4,0,4,0,13,22.0,-11,1.0
22,2015-12-06,29-287,SAC,@,OKC,L (-3),1,35:45,3,9,.333,0,1,.000,1,2,.500,2,7,9,10,3,0,1,3,7,12.8,0,1.0
23,2015-12-08,29-289,SAC,,UTA,W (+8),1,37:28,5,8,.625,1,2,.500,6,7,.857,1,6,7,13,2,0,5,0,17,21.6,+6,1.0
24,2015-12-10,29-291,SAC,,NYK,W (+2),1,40:15,7,10,.700,1,2,.500,1,1,1.000,2,7,9,12,2,0,3,3,16,21.5,+2,1.0
25,2015-12-18,29-299,SAC,@,MIN,L (-4),1,35:57,4,8,.500,0,1,.000,3,4,.750,1,3,4,13,3,0,2,5,11,16.3,-13,1.0
26,2015-12-20,29-301,SAC,@,TOR,W (+10),1,38:44,8,13,.615,1,4,.250,2,2,1.000,0,2,2,13,1,1,5,1,19,19.1,+12,1.0
27,2015-12-21,29-302,SAC,@,WAS,L (-14),1,34:20,1,7,.143,0,0,,0,0,,1,7,8,9,1,0,4,3,2,2.4,-12,1.0
28,2015-12-23,29-304,SAC,@,IND,W (+2),1,37:06,6,10,.600,0,1,.000,1,2,.500,1,7,8,17,1,0,9,3,13,13.5,-7,1.0
29,2015-12-27,29-308,SAC,,POR,L (-4),1,38:44,3,6,.500,2,3,.667,1,2,.500,0,5,5,15,3,0,8,2,9,11.8,+1,1.0
30,2015-12-28,29-309,SAC,@,GSW,L (-19),1,17:36,2,6,.333,0,1,.000,0,2,.000,0,3,3,2,1,0,1,3,4,0.9,-23,1.0
31,2015-12-30,29-311,SAC,,PHI,L (-5),1,39:18,4,9,.444,0,2,.000,0,2,.000,1,4,5,14,2,0,7,5,8,7.2,-6,1.0
