G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-007,MIN,@,LAL,W (+1),1,32:29,10,17,.588,2,4,.500,6,7,.857,0,2,2,14,1,0,1,3,28,28.9,+12,1.0
2,2015-10-30,25-009,MIN,@,DEN,W (+17),1,30:24,2,8,.250,0,2,.000,8,9,.889,1,4,5,8,1,0,2,3,12,12.1,+21,1.0
3,2015-11-02,25-012,MIN,,POR,L (-5),1,31:57,4,10,.400,0,2,.000,4,4,1.000,0,9,9,9,3,0,1,4,12,16.0,+3,1.0
4,2015-11-05,25-015,MIN,,MIA,L (-12),1,23:50,2,6,.333,0,0,,5,5,1.000,0,1,1,5,3,0,3,0,9,9.4,-17,1.0
5,2015-11-07,25-017,MIN,@,CHI,W (+9),1,38:50,2,10,.200,0,1,.000,3,4,.750,1,7,8,10,3,0,3,3,7,9.0,+15,1.0
6,2015-11-09,25-019,MIN,@,ATL,W (+10),1,27:29,4,10,.400,0,1,.000,2,2,1.000,0,1,1,8,3,0,2,3,10,10.3,+4,1.0
7,2015-11-17,25-027,MIN,@,MIA,W (+12),1,26:33,1,7,.143,0,2,.000,5,8,.625,1,3,4,3,2,1,1,5,7,4.7,-1,1.0
8,2015-11-18,25-028,MIN,@,ORL,L (-3),1,34:56,3,11,.273,0,1,.000,2,2,1.000,2,10,12,12,1,0,3,3,8,11.1,0,1.0
9,2015-11-20,25-030,MIN,,DET,L (-10),1,30:26,5,12,.417,1,4,.250,1,2,.500,1,0,1,7,0,0,3,4,12,6.2,-10,1.0
10,2015-11-23,25-033,MIN,,PHI,W (+5),1,32:41,2,5,.400,0,1,.000,4,4,1.000,1,5,6,11,1,0,4,5,8,10.2,+21,1.0
11,2015-11-25,25-035,MIN,,ATL,W (+4),1,21:07,2,7,.286,0,1,.000,1,2,.500,1,2,3,6,1,0,1,1,5,5.6,+3,1.0
12,2015-12-01,25-041,MIN,,ORL,L (-3),1,26:39,0,5,.000,0,3,.000,3,4,.750,1,4,5,3,3,0,2,2,3,3.3,-3,1.0
13,2015-12-05,25-045,MIN,,POR,L (-6),1,33:47,1,5,.200,1,2,.500,6,6,1.000,3,3,6,15,0,0,3,3,9,15.2,-8,1.0
14,2015-12-07,25-047,MIN,,LAC,L (-4),1,28:38,4,8,.500,0,1,.000,8,8,1.000,1,4,5,7,4,0,6,2,16,16.0,-15,1.0
