G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-133,MIN,@,LAL,W (+1),0,4:32,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-7,3.0
2,2015-11-05,29-141,MIN,,MIA,L (-12),0,2:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,+5,3.0
3,2015-11-10,29-146,MIN,,CHO,L (-9),0,7:35,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,3.0,-10,3.0
4,2015-11-12,29-148,MIN,,GSW,L (-13),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,3.0
5,2015-11-13,29-149,MIN,@,IND,L (-4),0,6:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+6,3.0
6,2015-11-20,29-156,MIN,,DET,L (-10),0,6:28,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+1,3.0
7,2015-11-25,29-161,MIN,,ATL,W (+4),0,16:59,4,5,.800,3,4,.750,2,2,1.000,0,1,1,0,0,0,0,2,13,10.6,+6,3.0
8,2015-11-27,29-163,MIN,@,SAC,W (+10),0,17:41,1,4,.250,1,4,.250,0,0,,0,1,1,3,0,0,2,3,3,-0.2,+8,3.0
9,2015-12-11,29-177,MIN,@,DEN,L (-3),0,6:28,1,2,.500,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,5,4.0,-2,3.0
10,2015-12-13,29-179,MIN,@,PHO,L (-7),0,21:51,4,6,.667,3,5,.600,0,0,,0,0,0,1,0,0,3,2,11,5.3,+3,3.0
11,2015-12-15,29-181,MIN,,DEN,L (-12),0,10:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,3.0
12,2015-12-16,29-182,MIN,@,NYK,L (-5),0,6:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8,3.0
13,2015-12-20,29-186,MIN,@,BRK,W (+15),0,1:35,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0,3.0
14,2015-12-21,29-187,MIN,@,BOS,L (-14),0,9:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+14,3.0
15,2015-12-31,29-197,MIN,@,DET,L (-25),0,9:19,1,5,.200,1,3,.333,0,0,,0,0,0,1,0,0,1,3,3,-1.6,-8,3.0
16,2016-01-15,29-212,MIN,@,OKC,L (-20),0,2:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+5,3.0
17,2016-01-20,29-217,MIN,@,DAL,L (-12),0,8:34,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-2,3.0
18,2016-02-02,29-230,MIN,@,LAL,L (-4),0,14:22,2,4,.500,0,2,.000,2,2,1.000,2,0,2,0,0,0,0,1,6,5.0,+6,3.0
19,2016-02-03,29-231,MIN,@,LAC,W (+6),0,18:25,3,3,1.000,2,2,1.000,0,0,,0,0,0,1,0,0,1,2,8,6.0,-3,3.0
20,2016-02-06,29-234,MIN,,CHI,W (+7),0,13:39,0,2,.000,0,2,.000,0,0,,0,2,2,0,1,0,1,2,0,-1.6,-1,3.0
21,2016-02-08,29-236,MIN,,NOP,L (-14),0,8:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-20,3.0
22,2016-02-19,29-247,MIN,@,MEM,L (-5),0,6:35,1,3,.333,1,3,.333,0,0,,0,1,1,2,0,1,0,2,3,2.9,0,3.0
23,2016-02-20,29-248,MIN,,NYK,L (-8),0,3:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-6,3.0
24,2016-02-28,29-256,MIN,@,DAL,L (-27),0,13:40,1,4,.250,1,4,.250,0,0,,0,2,2,0,1,0,1,3,3,0.0,-1,3.0
25,2016-03-04,29-261,MIN,@,MIL,L (-15),0,16:29,1,7,.143,1,6,.167,0,0,,2,0,2,1,1,0,1,2,3,-0.2,+8,3.0
26,2016-03-05,29-262,MIN,,BRK,W (+14),0,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,3.0
27,2016-03-07,29-264,MIN,@,CHO,L (-5),0,7:09,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,1.2,-3,3.0
28,2016-03-08,29-265,MIN,,SAS,L (-25),0,6:46,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0,3.0
29,2016-03-30,29-287,MIN,,LAC,L (-20),0,6:19,3,4,.750,2,3,.667,0,0,,0,0,0,0,0,0,0,0,8,6.4,+11,3.0
30,2016-04-01,29-289,MIN,@,UTA,L (-13),0,1:27,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+2,3.0
31,2016-04-07,29-295,MIN,@,SAC,W (+8),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7,3.0
32,2016-04-11,29-299,MIN,,HOU,L (-24),0,7:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1,3.0
33,2016-04-13,29-301,MIN,,NOP,W (+35),0,8:47,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,-3,3.0
