G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-11-14,26-061,SAS,,PHI,W (+9),0,8:31,0,0,,0,0,,2,2,1.000,1,1,2,2,1,0,0,0,2,5.4,-8,2.0
2,2015-11-20,26-067,SAS,@,NOP,L (-14),0,2:59,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2,2.0
3,2015-11-23,26-070,SAS,,PHO,W (+14),0,6:43,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,3,2,0.5,-1,2.0
4,2015-11-27,26-074,SAS,@,DEN,W (+11),0,26:34,4,8,.500,1,4,.250,3,3,1.000,0,2,2,1,2,0,5,2,12,5.5,+12,2.0
5,2015-11-28,26-075,SAS,,ATL,W (+20),0,8:16,2,5,.400,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,1,5,2.6,-6,2.0
6,2015-12-02,26-079,SAS,,MIL,W (+25),0,20:09,4,6,.667,0,1,.000,0,1,.000,0,1,1,2,0,0,1,0,8,5.7,+12,2.0
7,2015-12-03,26-080,SAS,@,MEM,W (+20),0,7:58,1,1,1.000,0,0,,1,2,.500,0,3,3,2,0,0,1,2,3,2.8,-3,2.0
8,2015-12-07,26-084,SAS,@,PHI,W (+51),0,24:16,4,13,.308,0,0,,6,8,.750,2,2,4,2,0,0,1,4,14,6.5,+25,2.0
9,2015-12-09,26-086,SAS,@,TOR,L (-3),0,14:39,2,2,1.000,1,1,1.000,3,3,1.000,0,0,0,2,0,0,2,4,8,5.2,+10,2.0
10,2015-12-11,26-088,SAS,,LAL,W (+22),0,18:56,2,3,.667,0,0,,5,5,1.000,1,1,2,1,0,0,2,3,9,6.2,+17,2.0
11,2015-12-12,26-089,SAS,@,ATL,W (+25),0,19:00,2,5,.400,1,1,1.000,4,4,1.000,1,6,7,2,0,0,2,2,9,7.4,+6,2.0
12,2015-12-14,26-091,SAS,,UTA,W (+37),0,22:54,3,12,.250,1,4,.250,0,0,,0,4,4,4,2,0,1,1,7,4.4,+2,2.0
13,2015-12-16,26-093,SAS,,WAS,W (+19),0,4:07,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,2,3,1.6,0,2.0
