G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2016-03-19,25-358,BRK,@,DET,L (-12),0,20:17,5,9,.556,0,0,,0,0,,3,5,8,0,1,1,1,5,10,8.0,-9,5.0
2,2016-03-22,25-361,BRK,,CHO,L (-5),0,7:43,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1.9,-2,5.0
3,2016-03-24,25-363,BRK,,CLE,W (+9),0,16:26,1,5,.200,0,0,,2,3,.667,0,2,2,1,0,3,1,1,4,2.5,+1,5.0
4,2016-03-26,25-365,BRK,,IND,W (+10),0,9:00,2,3,.667,0,0,,1,1,1.000,1,1,2,0,1,0,0,1,5,5.3,-4,5.0
5,2016-03-28,26-001,BRK,@,MIA,L (-11),0,13:14,2,3,.667,0,0,,0,0,,3,3,6,1,0,0,1,2,4,4.6,-11,5.0
6,2016-03-29,26-002,BRK,@,ORL,L (-34),0,21:01,2,6,.333,0,0,,4,4,1.000,2,2,4,0,0,2,1,1,8,6.6,-29,5.0
7,2016-03-31,26-004,BRK,@,CLE,L (-20),1,18:32,0,3,.000,0,0,,4,6,.667,2,3,5,1,2,0,0,4,4,4.5,-14,5.0
8,2016-04-01,26-005,BRK,@,NYK,L (-14),0,17:56,1,3,.333,0,0,,5,6,.833,1,3,4,0,0,1,0,3,7,6.0,-2,5.0
9,2016-04-03,26-007,BRK,,NOP,L (-19),1,30:04,5,11,.455,0,0,,2,2,1.000,2,5,7,1,1,0,2,2,12,8.1,+2,5.0
10,2016-04-06,26-010,BRK,@,WAS,L (-18),0,20:12,4,6,.667,0,0,,0,0,,0,7,7,1,1,1,1,3,8,7.7,-6,5.0
11,2016-04-08,26-012,BRK,@,CHO,L (-14),0,16:37,3,7,.429,0,0,,1,2,.500,1,6,7,1,0,1,2,2,7,4.0,0,5.0
12,2016-04-10,26-014,BRK,@,IND,L (-24),0,18:53,1,4,.250,0,0,,2,2,1.000,2,1,3,1,2,0,1,4,4,3.4,-14,5.0
13,2016-04-11,26-015,BRK,,WAS,L (-9),1,29:44,2,9,.222,0,0,,4,4,1.000,2,6,8,1,1,2,1,4,8,6.2,-4,5.0
14,2016-04-13,26-017,BRK,,TOR,L (-7),1,23:14,5,7,.714,0,0,,0,0,,2,5,7,1,0,3,0,3,10,11.6,-2,5.0
