G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,27-286,BRK,,CHI,L (-15),0,15:28,0,4,.000,0,0,,2,2,1.000,1,1,2,0,1,0,0,1,2,0.8,-9,1.0
2,2015-10-30,27-288,BRK,@,SAS,L (-27),0,4:37,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-0.7,-4,1.0
3,2015-12-04,27-323,BRK,@,NYK,L (-17),0,3:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+3,1.0
4,2015-12-06,27-325,BRK,,GSW,L (-16),0,4:09,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,3.1,+4,1.0
5,2015-12-12,27-331,BRK,,LAC,L (-5),0,6:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,+4,1.0
6,2015-12-14,27-333,BRK,,ORL,L (-23),0,4:05,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-1.3,0,1.0
7,2015-12-16,27-335,BRK,,MIA,L (-6),0,12:21,2,2,1.000,0,0,,1,1,1.000,1,0,1,3,0,0,0,0,5,7.2,-6,1.0
8,2015-12-18,27-337,BRK,@,IND,L (-7),0,23:59,3,7,.429,0,0,,0,0,,0,6,6,3,0,0,2,2,6,3.4,+1,1.0
9,2015-12-20,27-339,BRK,,MIN,L (-15),0,19:45,3,7,.429,0,1,.000,0,0,,0,3,3,4,1,0,0,1,6,6.6,-2,1.0
10,2015-12-21,27-340,BRK,@,CHI,W (+3),0,17:26,3,7,.429,0,1,.000,0,0,,1,3,4,6,0,0,2,1,6,5.7,+1,1.0
11,2015-12-23,27-342,BRK,,DAL,L (-1),0,10:13,1,3,.333,0,0,,0,0,,1,2,3,6,1,0,0,1,2,6.4,-2,1.0
12,2015-12-26,27-345,BRK,,WAS,L (-15),0,6:13,0,0,,0,0,,1,2,.500,0,1,1,3,0,0,1,1,1,1.6,+4,1.0
13,2016-01-02,27-352,BRK,@,BOS,W (+3),0,7:53,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,1.3,-11,1.0
14,2016-01-04,27-354,BRK,,BOS,L (-9),0,21:29,2,5,.400,1,2,.500,0,0,,1,3,4,3,1,0,2,1,5,4.6,-3,1.0
