G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,21-236,BOS,,PHI,W (+17),1,32:23,3,8,.375,3,6,.500,4,4,1.000,0,2,2,5,2,1,1,3,13,13.2,+22,1.0
2,2015-10-30,21-238,BOS,,TOR,L (-10),1,28:26,2,11,.182,1,5,.200,1,2,.500,0,3,3,2,1,0,0,3,6,0.8,-6,1.0
3,2015-11-01,21-240,BOS,,SAS,L (-8),1,38:30,7,12,.583,1,5,.200,2,4,.500,1,1,2,3,4,1,1,3,17,16.2,-1,1.0
4,2015-11-11,21-250,BOS,,IND,L (-11),0,21:28,1,6,.167,0,4,.000,6,8,.750,1,0,1,2,1,0,1,4,8,3.9,-20,1.0
5,2015-11-13,21-252,BOS,,ATL,W (+13),1,29:32,2,10,.200,1,5,.200,0,0,,0,3,3,3,0,0,3,1,5,-1.6,0,1.0
6,2015-11-15,21-254,BOS,@,OKC,W (+15),1,33:59,9,14,.643,3,5,.600,5,8,.625,2,6,8,3,1,1,1,3,26,23.4,+7,1.0
7,2015-11-16,21-255,BOS,@,HOU,W (+16),1,30:16,1,11,.091,0,6,.000,2,4,.500,1,8,9,6,5,0,5,3,4,2.0,+30,1.0
8,2015-11-18,21-257,BOS,,DAL,L (-4),1,25:57,1,7,.143,0,2,.000,0,0,,3,1,4,1,1,0,1,3,2,-0.6,-10,1.0
9,2015-11-20,21-259,BOS,,BRK,W (+25),1,21:04,2,5,.400,1,4,.250,2,2,1.000,0,2,2,4,1,0,2,5,7,4.7,+3,1.0
10,2015-12-27,21-296,BOS,,NYK,W (+9),0,13:04,2,6,.333,1,2,.500,1,1,1.000,1,2,3,1,0,0,0,2,6,3.8,-5,1.0
11,2015-12-30,21-299,BOS,,LAL,L (-8),0,10:54,2,6,.333,0,2,.000,0,0,,1,1,2,1,1,1,0,0,4,4.0,+5,1.0
12,2016-01-02,21-302,BOS,,BRK,L (-3),0,24:28,3,7,.429,0,3,.000,5,7,.714,3,0,3,1,3,0,0,3,11,11.1,0,1.0
13,2016-01-04,21-304,BOS,@,BRK,W (+9),0,23:46,3,7,.429,0,1,.000,1,2,.500,4,0,4,3,1,0,0,3,7,7.6,+4,1.0
14,2016-01-06,21-306,BOS,,DET,L (-5),0,25:58,1,10,.100,0,4,.000,0,1,.000,1,0,1,4,0,0,1,4,2,-4.1,-1,1.0
15,2016-01-07,21-307,BOS,@,CHI,L (-9),0,29:36,3,11,.273,2,6,.333,2,2,1.000,2,3,5,2,2,0,0,3,10,8.0,+7,1.0
16,2016-01-10,21-310,BOS,@,MEM,L (-3),0,23:44,2,9,.222,0,2,.000,0,0,,4,2,6,3,5,0,2,4,4,5.4,-1,1.0
17,2016-01-12,21-312,BOS,@,NYK,L (-6),0,24:39,2,7,.286,1,2,.500,1,2,.500,0,6,6,4,0,0,0,5,6,4.1,+2,1.0
18,2016-01-13,21-313,BOS,,IND,W (+9),0,30:53,2,9,.222,0,4,.000,1,1,1.000,1,6,7,1,1,1,3,2,5,0.6,+5,1.0
19,2016-01-15,21-315,BOS,,PHO,W (+14),0,32:31,4,12,.333,1,5,.200,1,2,.500,3,8,11,11,2,2,3,2,10,14.6,+9,1.0
20,2016-01-16,21-316,BOS,@,WAS,W (+2),0,23:58,4,9,.444,0,3,.000,5,5,1.000,1,3,4,3,1,0,3,5,13,8.0,-10,1.0
21,2016-01-18,21-318,BOS,@,DAL,L (-5),0,38:36,8,13,.615,2,4,.500,2,4,.500,1,7,8,3,2,0,1,4,20,17.6,-3,1.0
22,2016-01-20,21-320,BOS,@,TOR,L (-6),0,24:10,2,5,.400,0,2,.000,2,2,1.000,0,4,4,4,1,0,1,4,6,5.7,+5,1.0
23,2016-01-22,21-322,BOS,,CHI,W (+9),0,28:36,3,12,.250,0,5,.000,2,2,1.000,4,1,5,2,1,1,1,0,8,6.0,+1,1.0
24,2016-01-24,21-324,BOS,@,PHI,W (+20),0,28:31,6,11,.545,3,6,.500,1,2,.500,0,3,3,2,4,1,1,3,16,15.1,+2,1.0
25,2016-01-25,21-325,BOS,@,WAS,W (+25),0,32:08,5,11,.455,2,5,.400,1,2,.500,1,5,6,5,2,0,1,4,13,12.0,+20,1.0
26,2016-01-27,21-327,BOS,,DEN,W (+8),0,27:40,0,5,.000,0,2,.000,4,4,1.000,0,2,2,3,3,0,0,2,4,5.4,+11,1.0
27,2016-01-29,21-329,BOS,,ORL,W (+19),0,28:24,5,9,.556,3,5,.600,3,5,.600,1,1,2,4,3,1,2,3,16,15.2,+24,1.0
28,2016-01-31,21-331,BOS,@,ORL,L (-5),0,28:15,8,16,.500,5,9,.556,5,5,1.000,2,3,5,0,2,0,0,1,26,21.9,-2,1.0
