G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,27-114,NOP,@,GSW,L (-16),0,38:01,7,13,.538,1,2,.500,2,4,.500,1,1,2,9,3,0,2,5,17,16.2,+5,1.0
2,2015-10-28,27-115,NOP,@,POR,L (-18),0,28:35,3,14,.214,1,3,.333,0,2,.000,0,4,4,8,2,0,3,5,7,1.4,+1,1.0
3,2015-10-31,27-118,NOP,,GSW,L (-14),0,10:59,2,6,.333,0,1,.000,0,0,,1,1,2,3,0,0,3,1,4,0.3,-2,1.0
4,2015-11-03,27-121,NOP,,ORL,L (-9),0,16:36,1,3,.333,1,1,1.000,0,0,,1,2,3,7,1,0,1,0,3,7.5,-7,1.0
5,2015-11-06,27-124,NOP,,ATL,L (-6),0,34:07,4,11,.364,0,3,.000,0,0,,1,3,4,11,2,0,0,2,8,12.4,+3,1.0
6,2015-11-07,27-125,NOP,@,DAL,L (-9),1,32:43,3,14,.214,1,3,.333,0,0,,0,7,7,7,2,1,2,2,7,5.3,+8,1.0
7,2015-11-10,27-128,NOP,,DAL,W (+15),0,27:07,6,11,.545,0,0,,5,5,1.000,0,3,3,12,1,1,2,2,17,19.9,-6,1.0
8,2015-11-11,27-129,NOP,@,ATL,L (-8),1,38:44,8,17,.471,2,4,.500,0,0,,0,5,5,10,1,0,3,0,18,15.8,-1,1.0
9,2015-11-13,27-131,NOP,@,TOR,L (-19),0,23:05,1,9,.111,0,2,.000,4,4,1.000,2,2,4,4,0,2,3,3,6,2.1,-4,1.0
10,2015-11-15,27-133,NOP,@,NYK,L (-8),0,21:54,1,2,.500,0,0,,0,0,,1,2,3,5,0,0,3,0,2,2.8,+1,1.0
11,2015-11-17,27-135,NOP,,DEN,L (-17),0,37:30,6,9,.667,1,1,1.000,0,0,,0,3,3,8,1,1,3,1,13,13.9,-6,1.0
12,2015-11-18,27-136,NOP,@,OKC,L (-7),1,33:55,8,20,.400,0,2,.000,2,2,1.000,0,3,3,6,0,0,1,1,18,10.9,0,1.0
13,2015-11-20,27-138,NOP,,SAS,W (+14),0,30:54,7,10,.700,1,2,.500,2,2,1.000,0,4,4,13,0,0,2,3,17,19.9,+13,1.0
14,2015-11-22,27-140,NOP,,PHO,W (+6),0,30:29,6,15,.400,0,2,.000,5,6,.833,2,7,9,8,3,1,2,2,17,18.5,+9,1.0
15,2015-11-25,27-143,NOP,@,PHO,W (+6),0,35:32,9,16,.563,2,2,1.000,0,0,,0,5,5,11,1,0,2,4,20,19.0,-2,1.0
16,2015-11-27,27-145,NOP,@,LAC,L (-21),0,37:59,7,20,.350,0,1,.000,1,3,.333,1,3,4,10,2,0,1,1,15,12.2,-20,1.0
17,2015-11-28,27-146,NOP,@,UTA,L (-14),0,36:32,5,14,.357,0,2,.000,3,5,.600,1,5,6,6,2,0,2,1,13,10.4,-12,1.0
18,2015-12-01,27-149,NOP,,MEM,L (-9),0,14:14,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,2,1,4,1.6,-10,1.0
19,2015-12-02,27-150,NOP,@,HOU,L (-7),0,13:27,2,3,.667,0,0,,0,0,,2,6,8,2,1,0,1,1,4,6.9,-2,1.0
20,2015-12-07,27-155,NOP,,BOS,L (-18),0,15:55,3,4,.750,0,0,,1,2,.500,0,4,4,4,0,0,3,0,7,6.0,0,1.0
