G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-240,ORL,,WAS,L (-1),0,4:41,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,1,2,2.3,-5,5.0
2,2015-11-01,29-244,ORL,@,CHI,L (-5),0,14:12,3,7,.429,1,2,.500,1,2,.500,0,2,2,1,0,2,0,1,8,6.2,+7,5.0
3,2015-11-03,29-246,ORL,@,NOP,W (+9),0,16:16,2,8,.250,0,0,,2,2,1.000,0,3,3,0,0,0,1,2,6,0.3,+12,5.0
4,2015-11-04,29-247,ORL,@,HOU,L (-5),0,9:52,4,5,.800,0,0,,0,0,,0,0,0,0,0,1,1,1,8,5.4,-2,5.0
5,2015-11-06,29-249,ORL,,TOR,W (+5),0,7:31,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,3,0,-1.0,+3,5.0
6,2015-11-07,29-250,ORL,@,PHI,W (+8),0,17:56,4,8,.500,0,0,,2,2,1.000,1,4,5,1,0,2,2,4,10,6.4,+3,5.0
7,2015-11-18,29-261,ORL,,MIN,W (+3),0,26:56,1,5,.200,0,0,,3,3,1.000,3,7,10,1,0,1,2,4,5,3.9,+16,5.0
8,2015-11-21,29-264,ORL,,SAC,L (-6),0,9:11,1,3,.333,0,0,,0,0,,0,1,1,0,0,1,0,3,2,0.1,-6,5.0
9,2015-11-23,29-266,ORL,@,CLE,L (-14),0,15:27,2,4,.500,0,0,,0,0,,0,3,3,1,1,1,0,2,4,4.5,+12,5.0
10,2015-11-25,29-268,ORL,,NYK,W (+9),0,15:28,3,3,1.000,0,0,,2,2,1.000,0,3,3,0,1,1,1,3,8,7.5,+10,5.0
11,2015-11-27,29-270,ORL,,MIL,W (+24),0,19:57,4,4,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,8,5.7,+13,5.0
12,2015-11-29,29-272,ORL,,BOS,W (+19),0,15:29,3,5,.600,0,0,,0,0,,2,1,3,1,0,0,2,2,6,3.3,+1,5.0
13,2015-12-01,29-274,ORL,@,MIN,W (+3),0,10:34,1,1,1.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,5,4,2.4,-4,5.0
14,2015-12-03,29-276,ORL,@,UTA,W (+9),0,15:48,2,5,.400,0,0,,0,0,,0,1,1,0,0,1,0,2,4,1.5,+2,5.0
15,2015-12-05,29-278,ORL,@,LAC,L (-2),0,22:47,4,6,.667,0,0,,0,0,,2,3,5,2,1,2,0,3,8,10.3,+3,5.0
16,2015-12-08,29-281,ORL,@,DEN,W (+11),0,14:06,0,5,.000,0,0,,2,2,1.000,0,3,3,1,0,0,1,1,2,-1.3,-5,5.0
17,2015-12-09,29-282,ORL,@,PHO,L (-3),0,6:48,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.1,+1,5.0
18,2015-12-11,29-284,ORL,,CLE,L (-35),0,18:56,4,8,.500,1,2,.500,0,0,,1,1,2,1,1,1,0,0,9,8.4,-3,5.0
19,2015-12-14,29-287,ORL,@,BRK,W (+23),0,16:09,2,7,.286,0,0,,0,0,,0,3,3,0,0,0,2,2,4,-2.0,+9,5.0
20,2015-12-16,29-289,ORL,,CHO,W (+15),0,16:50,5,6,.833,0,0,,0,0,,0,2,2,1,1,2,1,2,10,9.7,+13,5.0
21,2015-12-18,29-291,ORL,,POR,W (+8),0,13:17,2,5,.400,0,0,,0,0,,0,1,1,0,0,1,0,1,4,1.9,+3,5.0
22,2015-12-20,29-293,ORL,,ATL,L (-3),0,14:13,5,5,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,10,8.1,-8,5.0
23,2015-12-21,29-294,ORL,@,NYK,W (+8),0,27:14,1,3,.333,0,1,.000,0,0,,3,3,6,0,0,0,2,1,2,0.9,0,5.0
24,2015-12-23,29-296,ORL,,HOU,W (+3),0,15:26,3,8,.375,0,1,.000,0,0,,0,1,1,0,0,1,2,2,6,-0.2,-11,5.0
25,2015-12-26,29-299,ORL,,MIA,L (-7),0,11:45,5,6,.833,0,0,,0,0,,1,1,2,0,0,0,1,3,10,6.6,-7,5.0
26,2015-12-28,29-301,ORL,,NOP,W (+15),0,12:51,2,3,.667,0,0,,0,0,,1,1,2,1,1,0,0,3,4,4.2,-5,5.0
27,2015-12-30,29-303,ORL,,BRK,W (+7),0,6:33,2,3,.667,0,0,,2,2,1.000,0,3,3,0,0,1,0,4,6,4.7,-1,5.0
28,2016-01-01,29-305,ORL,@,WAS,L (-12),0,15:09,5,8,.625,0,0,,0,0,,0,3,3,2,0,2,3,1,10,6.7,0,5.0
29,2016-01-02,29-306,ORL,@,CLE,L (-25),0,13:20,3,3,1.000,0,0,,2,2,1.000,0,3,3,0,0,0,2,4,8,4.4,-16,5.0
30,2016-01-04,29-308,ORL,@,DET,L (-26),0,14:49,5,13,.385,0,1,.000,2,2,1.000,1,0,1,0,0,2,0,2,12,6.2,-10,5.0
31,2016-01-06,29-310,ORL,,IND,L (-9),0,8:21,3,5,.600,0,1,.000,0,0,,1,2,3,0,1,0,1,1,6,4.6,+8,5.0
32,2016-01-08,29-312,ORL,@,BRK,W (+6),0,11:53,1,6,.167,0,0,,0,0,,0,2,2,2,0,0,0,3,2,-1.0,-5,5.0
33,2016-01-09,29-313,ORL,,WAS,L (-6),0,12:44,3,7,.429,0,0,,2,2,1.000,0,1,1,0,2,0,0,1,8,6.2,-1,5.0
34,2016-01-14,29-318,ORL,,TOR,L (-3),0,36:33,8,15,.533,0,2,.000,0,0,,1,4,5,4,0,1,0,3,16,12.9,0,5.0
35,2016-01-18,29-322,ORL,@,ATL,L (-17),0,17:34,1,5,.200,0,0,,0,0,,0,3,3,0,1,0,0,1,2,0.4,-5,5.0
36,2016-01-20,29-324,ORL,,PHI,L (-9),0,11:14,2,4,.500,0,0,,0,0,,1,0,1,1,1,1,0,0,4,5.1,-6,5.0
37,2016-01-22,29-326,ORL,,CHO,L (-4),0,13:59,2,5,.400,0,0,,0,1,.000,0,1,1,1,1,0,1,1,4,1.5,+5,5.0
38,2016-01-25,29-329,ORL,@,MEM,L (-6),0,13:25,4,7,.571,0,0,,0,0,,1,2,3,3,0,1,2,4,8,5.2,+10,5.0
39,2016-01-26,29-330,ORL,@,MIL,L (-7),0,10:42,2,3,.667,0,0,,0,0,,0,3,3,2,0,0,0,0,4,5.0,-2,5.0
40,2016-01-29,29-333,ORL,@,BOS,L (-19),0,11:00,3,6,.500,0,0,,0,0,,1,0,1,0,1,0,2,3,6,1.5,-11,5.0
41,2016-01-31,29-335,ORL,,BOS,W (+5),0,20:19,2,4,.500,0,0,,0,0,,1,0,1,4,0,0,0,2,4,4.7,-9,5.0
42,2016-02-01,29-336,ORL,@,SAS,L (-15),0,11:10,1,4,.250,0,0,,1,2,.500,2,1,3,0,0,2,0,0,3,3.3,-8,5.0
43,2016-02-03,29-338,ORL,@,OKC,L (-3),0,17:54,6,7,.857,1,1,1.000,0,0,,2,1,3,0,2,2,1,2,13,13.8,+1,5.0
44,2016-02-05,29-340,ORL,,LAC,L (-14),0,16:44,4,7,.571,0,0,,0,0,,1,2,3,1,1,0,3,0,8,4.7,+1,5.0
45,2016-02-07,29-342,ORL,,ATL,W (+2),0,13:12,2,6,.333,0,1,.000,2,2,1.000,0,2,2,0,0,2,0,1,6,4.2,-12,5.0
46,2016-02-08,29-343,ORL,@,ATL,W (+7),0,22:20,7,11,.636,0,0,,0,0,,0,0,0,1,2,4,1,0,14,13.6,+13,5.0
47,2016-02-19,29-354,ORL,,DAL,W (+6),0,18:08,5,10,.500,1,1,1.000,0,0,,1,2,3,0,0,1,0,1,11,7.6,-4,5.0
48,2016-02-21,29-356,ORL,,IND,L (-3),0,12:31,4,8,.500,0,0,,0,1,.000,0,4,4,1,0,1,0,1,8,5.8,-4,5.0
49,2016-02-23,29-358,ORL,@,PHI,W (+9),0,10:25,4,8,.500,0,0,,0,0,,1,0,1,0,0,0,1,3,8,2.5,0,5.0
50,2016-02-25,29-360,ORL,,GSW,L (-16),0,10:38,2,5,.400,0,0,,1,2,.500,0,1,1,1,0,0,2,2,5,0.1,-12,5.0
51,2016-02-26,29-361,ORL,@,NYK,L (-13),0,6:40,1,4,.250,0,0,,1,2,.500,1,1,2,1,0,0,0,2,3,1.1,-9,5.0
52,2016-02-28,29-363,ORL,,PHI,W (+14),0,20:27,5,12,.417,0,0,,2,2,1.000,1,4,5,0,0,1,0,2,12,7.4,+8,5.0
53,2016-03-01,29-365,ORL,@,DAL,L (-13),0,6:21,1,5,.200,0,0,,0,0,,0,0,0,1,2,0,2,1,2,-0.8,-7,5.0
54,2016-03-02,30-000,ORL,,CHI,W (+13),0,12:44,4,7,.571,0,0,,0,0,,2,5,7,0,0,1,1,0,8,7.3,+1,5.0
55,2016-03-04,30-002,ORL,,PHO,L (-18),0,11:56,3,7,.429,0,0,,0,0,,0,0,0,1,0,0,1,5,6,0.0,0,5.0
56,2016-03-07,30-005,ORL,@,GSW,L (-6),1,23:23,6,12,.500,0,0,,1,2,.500,0,2,2,0,2,1,1,3,13,7.7,-10,5.0
57,2016-03-08,30-006,ORL,@,LAL,L (-9),1,23:55,5,10,.500,0,0,,0,1,.000,0,2,2,0,0,1,1,6,10,2.5,-2,5.0
58,2016-03-11,30-009,ORL,@,SAC,W (+7),0,23:27,6,9,.667,0,0,,4,6,.667,0,7,7,1,2,3,4,5,16,12.2,+1,5.0
59,2016-03-12,30-010,ORL,@,POR,L (-37),0,11:20,2,8,.250,0,0,,2,4,.500,1,0,1,0,0,0,1,3,6,-1.1,-10,5.0
60,2016-03-15,30-013,ORL,,DEN,W (+6),0,27:59,10,15,.667,0,0,,5,6,.833,4,9,13,1,0,0,1,5,25,21.3,-11,5.0
