G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-327,LAC,@,SAC,W (+7),0,16:18,0,2,.000,0,0,,1,2,.500,0,6,6,0,0,4,5,4,1,-2.8,-14,4.0
2,2015-10-29,29-328,LAC,,DAL,W (+16),0,14:10,1,5,.200,0,1,.000,3,6,.500,3,3,6,1,0,2,1,4,5,3.2,+9,4.0
3,2015-10-31,29-330,LAC,,SAC,W (+5),0,12:15,1,4,.250,0,1,.000,0,0,,2,0,2,1,0,1,2,0,2,0.4,-17,4.0
4,2015-11-02,29-332,LAC,,PHO,W (+6),0,15:39,2,5,.400,2,4,.500,1,2,.500,0,4,4,3,0,1,1,2,7,6.1,-7,4.0
5,2015-11-04,29-334,LAC,@,GSW,L (-4),0,12:53,2,4,.500,1,2,.500,0,0,,1,1,2,1,1,0,2,2,5,2.9,-12,4.0
6,2015-11-07,29-337,LAC,,HOU,L (-4),0,11:12,5,9,.556,0,1,.000,0,0,,1,1,2,3,0,0,0,0,10,8.8,-9,4.0
7,2015-11-09,29-339,LAC,,MEM,W (+2),0,13:59,0,2,.000,0,0,,2,2,1.000,0,6,6,2,0,3,0,1,2,5.5,+7,4.0
8,2015-11-11,29-341,LAC,@,DAL,L (-10),0,12:54,2,6,.333,2,4,.500,1,2,.500,1,2,3,0,0,0,1,2,7,2.7,+7,4.0
9,2015-11-12,29-342,LAC,@,PHO,L (-14),0,19:21,3,8,.375,0,3,.000,0,0,,2,1,3,1,0,1,0,0,6,4.7,-7,4.0
10,2015-11-14,29-344,LAC,,DET,W (+5),0,12:53,1,3,.333,0,2,.000,2,2,1.000,0,1,1,0,0,1,2,1,4,0.9,-4,4.0
11,2015-11-19,29-349,LAC,,GSW,L (-7),0,18:20,3,6,.500,2,3,.667,0,0,,0,2,2,2,2,1,1,5,8,6.7,-2,4.0
12,2015-11-20,29-350,LAC,@,POR,L (-11),0,17:03,1,5,.200,0,2,.000,0,0,,1,7,8,2,1,2,2,4,2,1.9,+2,4.0
13,2015-11-22,29-352,LAC,,TOR,L (-11),0,14:46,1,4,.250,0,3,.000,0,0,,2,6,8,2,1,2,2,3,2,3.4,+8,4.0
14,2015-11-24,29-354,LAC,@,DEN,W (+17),0,18:26,3,7,.429,0,2,.000,2,4,.500,3,3,6,2,1,1,3,2,8,5.8,-2,4.0
15,2015-11-25,29-355,LAC,,UTA,L (-11),0,16:40,4,7,.571,1,1,1.000,1,2,.500,0,0,0,1,1,1,0,2,10,7.9,-3,4.0
16,2015-11-27,29-357,LAC,,NOP,W (+21),0,21:54,2,5,.400,0,1,.000,1,2,.500,2,10,12,4,0,1,4,2,5,5.0,+2,4.0
17,2015-11-29,29-359,LAC,,MIN,W (+8),0,16:19,2,3,.667,0,0,,0,0,,0,5,5,0,0,1,1,2,4,3.1,+1,4.0
18,2015-11-30,29-360,LAC,,POR,W (+15),0,13:33,3,5,.600,2,2,1.000,0,2,.000,2,1,3,2,0,1,0,3,8,7.5,-6,4.0
19,2015-12-02,29-362,LAC,,IND,L (-12),0,17:04,2,7,.286,0,4,.000,5,6,.833,1,4,5,4,1,2,1,2,9,9.8,-7,4.0
