G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,30-048,CLE,@,CHI,L (-2),1,30:27,3,10,.300,0,2,.000,2,4,.500,1,4,5,3,1,0,0,4,8,4.8,0,2.0
2,2015-10-28,30-049,CLE,@,MEM,W (+30),1,33:51,4,10,.400,1,2,.500,0,0,,2,5,7,7,1,0,1,2,9,10.6,+16,2.0
3,2015-10-30,30-051,CLE,,MIA,W (+10),1,22:15,1,8,.125,0,3,.000,0,0,,0,2,2,0,0,1,2,4,2,-5.5,-3,2.0
4,2015-11-02,30-054,CLE,@,PHI,W (+7),1,4:57,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,2,0,-3.5,-1,2.0
5,2015-11-10,30-062,CLE,,UTA,W (+4),1,22:09,3,7,.429,1,2,.500,0,0,,1,0,1,3,0,0,2,4,7,2.5,+1,2.0
6,2015-11-13,30-065,CLE,@,NYK,W (+6),1,26:46,3,10,.300,2,7,.286,0,2,.000,1,4,5,0,0,0,1,0,8,2.3,-11,2.0
7,2015-11-14,30-066,CLE,@,MIL,L (-3),1,50:30,4,14,.286,2,8,.250,0,0,,2,7,9,2,1,2,3,3,10,4.9,0,2.0
8,2015-11-17,30-069,CLE,@,DET,L (-5),1,36:15,6,10,.600,3,6,.500,0,2,.000,1,0,1,0,2,1,0,5,15,11.0,-15,2.0
9,2015-11-19,30-071,CLE,,MIL,W (+15),1,39:25,7,12,.583,4,8,.500,0,0,,0,2,2,1,0,0,0,3,18,12.5,+15,2.0
10,2015-11-21,30-073,CLE,,ATL,W (+12),1,37:41,5,18,.278,4,12,.333,1,1,1.000,1,1,2,5,0,1,2,3,15,6.4,+5,2.0
11,2015-11-23,30-075,CLE,,ORL,W (+14),1,37:46,10,16,.625,6,10,.600,0,0,,0,0,0,2,1,1,1,1,26,20.5,+17,2.0
12,2015-11-25,30-077,CLE,@,TOR,L (-4),1,35:33,6,13,.462,3,5,.600,0,0,,1,1,2,4,2,0,0,4,15,12.5,+2,2.0
13,2015-11-27,30-079,CLE,@,CHO,W (+5),1,31:03,4,10,.400,1,5,.200,2,2,1.000,1,2,3,1,1,0,1,4,11,6.0,+2,2.0
14,2015-11-28,30-080,CLE,,BRK,W (+2),1,38:48,3,12,.250,0,4,.000,0,2,.000,0,5,5,1,3,4,2,5,6,2.0,0,2.0
15,2015-12-01,30-083,CLE,,WAS,L (-12),1,36:12,3,15,.200,3,11,.273,4,5,.800,0,4,4,3,2,1,1,4,13,6.7,-2,2.0
16,2015-12-04,30-086,CLE,@,NOP,L (-6),1,36:55,6,14,.429,6,13,.462,0,0,,0,4,4,0,0,0,1,5,18,8.8,+1,2.0
17,2015-12-05,30-087,CLE,@,MIA,L (-15),1,26:44,4,12,.333,1,5,.200,3,4,.750,2,0,2,2,0,0,2,4,12,4.0,-19,2.0
18,2015-12-08,30-090,CLE,,POR,W (+5),1,25:07,3,9,.333,2,4,.500,0,0,,1,1,2,2,2,0,0,2,8,6.5,+7,2.0
19,2015-12-15,30-097,CLE,@,BOS,W (+12),1,35:46,4,9,.444,1,3,.333,0,0,,3,3,6,0,1,0,0,4,9,6.7,+8,2.0
20,2015-12-17,30-099,CLE,,OKC,W (+4),1,24:47,5,12,.417,1,5,.200,0,0,,0,3,3,0,1,0,0,4,11,4.9,-8,2.0
21,2015-12-20,30-102,CLE,,PHI,W (+22),1,21:51,3,5,.600,1,1,1.000,1,1,1.000,0,2,2,4,1,0,0,1,8,9.7,+29,2.0
22,2015-12-23,30-105,CLE,,NYK,W (+7),1,24:56,2,7,.286,0,2,.000,0,0,,0,0,0,3,3,0,1,3,4,2.8,+1,2.0
23,2015-12-25,30-107,CLE,@,GSW,L (-6),1,28:38,4,9,.444,4,8,.500,2,3,.667,0,1,1,0,1,0,2,3,14,7.0,-11,2.0
24,2015-12-26,30-108,CLE,@,POR,L (-29),1,20:53,1,6,.167,1,5,.200,0,0,,0,0,0,1,1,0,0,2,3,0.1,-25,2.0
25,2015-12-28,30-110,CLE,@,PHO,W (+4),1,30:21,5,11,.455,5,11,.455,2,2,1.000,2,1,3,1,1,0,2,1,17,12.3,+15,2.0
26,2015-12-29,30-111,CLE,@,DEN,W (+6),1,25:40,4,11,.364,1,6,.167,2,2,1.000,0,2,2,3,2,0,0,1,11,9.2,+5,2.0
27,2016-01-02,30-115,CLE,,ORL,W (+25),1,19:42,1,7,.143,1,5,.200,0,0,,1,1,2,1,1,1,0,2,3,1.1,+8,2.0
28,2016-01-04,30-117,CLE,,TOR,W (+22),1,29:51,8,17,.471,8,14,.571,0,0,,0,3,3,1,0,0,0,2,24,16.1,+13,2.0
29,2016-01-06,30-119,CLE,@,WAS,W (+6),1,34:41,10,16,.625,5,10,.500,0,0,,0,3,3,1,3,0,0,4,25,20.8,+9,2.0
30,2016-01-08,30-121,CLE,@,MIN,W (+26),1,19:06,10,12,.833,5,6,.833,2,2,1.000,0,0,0,0,2,0,0,4,27,23.0,+14,2.0
31,2016-01-10,30-123,CLE,@,PHI,W (+10),1,33:53,5,18,.278,4,12,.333,0,0,,0,3,3,0,1,0,0,0,14,5.3,+17,2.0
32,2016-01-12,30-125,CLE,@,DAL,W (+3),1,39:40,4,7,.571,2,5,.400,0,0,,0,1,1,3,3,0,0,1,10,11.7,+3,2.0
33,2016-01-14,30-127,CLE,@,SAS,L (-4),1,32:34,7,13,.538,3,7,.429,0,0,,0,1,1,0,0,1,1,4,17,9.1,+4,2.0
34,2016-01-15,30-128,CLE,@,HOU,W (+14),1,25:58,5,15,.333,2,12,.167,1,2,.500,1,4,5,0,1,0,1,3,13,4.8,+9,2.0
35,2016-01-18,30-131,CLE,,GSW,L (-34),1,20:54,6,9,.667,0,0,,2,6,.333,1,1,2,1,1,0,1,1,14,9.8,-29,2.0
36,2016-01-20,30-133,CLE,@,BRK,W (+13),1,24:58,2,9,.222,0,2,.000,0,0,,0,3,3,0,0,0,1,1,4,-2.0,-1,2.0
37,2016-01-21,30-134,CLE,,LAC,W (+13),1,32:58,8,12,.667,6,7,.857,0,0,,1,1,2,2,0,0,0,5,22,17.2,+30,2.0
38,2016-01-23,30-136,CLE,,CHI,L (-13),1,38:36,7,17,.412,2,7,.286,2,4,.500,1,10,11,1,0,1,0,2,18,12.4,-5,2.0
39,2016-01-25,30-138,CLE,,MIN,W (+7),1,35:21,3,14,.214,2,8,.250,3,4,.750,0,2,2,2,3,1,1,2,11,5.9,+5,2.0
40,2016-01-27,30-140,CLE,,PHO,W (+22),1,23:07,7,11,.636,4,6,.667,0,0,,1,2,3,4,4,0,1,4,18,18.6,+20,2.0
41,2016-01-29,30-142,CLE,@,DET,W (+8),1,32:39,2,10,.200,2,6,.333,0,0,,0,2,2,2,0,0,1,2,6,0.0,+14,2.0
42,2016-01-30,30-143,CLE,,SAS,W (+14),1,25:45,4,9,.444,2,4,.500,0,0,,1,2,3,1,0,0,1,3,10,5.1,+10,2.0
43,2016-02-01,30-145,CLE,@,IND,W (+5),1,42:06,7,14,.500,4,7,.571,1,2,.500,0,3,3,0,2,0,2,2,19,11.7,+7,2.0
44,2016-02-03,30-147,CLE,@,CHO,L (-9),1,37:10,5,14,.357,4,9,.444,0,0,,0,3,3,0,4,1,0,5,14,9.8,-8,2.0
45,2016-02-05,30-149,CLE,,BOS,L (-1),1,33:15,7,15,.467,5,10,.500,1,2,.500,1,2,3,1,0,1,3,6,20,9.2,+6,2.0
46,2016-02-06,30-150,CLE,,NOP,W (+15),1,33:04,7,18,.389,6,16,.375,0,0,,0,4,4,3,1,0,0,1,20,14.1,+20,2.0
47,2016-02-08,30-152,CLE,,SAC,W (+20),1,30:49,8,18,.444,6,13,.462,0,0,,1,3,4,2,1,0,0,2,22,15.8,+23,2.0
48,2016-02-10,30-154,CLE,,LAL,W (+9),1,32:48,3,9,.333,3,7,.429,0,0,,0,1,1,1,0,0,0,1,9,4.5,+14,2.0
49,2016-02-18,30-162,CLE,,CHI,W (+11),1,28:52,1,9,.111,1,5,.200,0,0,,0,2,2,4,0,0,1,1,3,-0.9,+10,2.0
50,2016-02-21,30-165,CLE,@,OKC,W (+23),1,39:02,5,12,.417,5,8,.625,0,0,,0,3,3,1,0,0,1,3,15,8.0,+14,2.0
51,2016-02-22,30-166,CLE,,DET,L (-8),1,36:13,3,7,.429,1,3,.333,0,0,,1,3,4,0,0,0,2,2,7,2.1,-14,2.0
52,2016-02-24,30-168,CLE,,CHO,W (+11),1,34:02,6,11,.545,2,3,.667,2,2,1.000,0,5,5,2,3,0,0,1,16,16.2,+12,2.0
53,2016-02-26,30-170,CLE,@,TOR,L (-2),1,32:08,5,8,.625,3,6,.500,0,0,,0,3,3,0,0,0,0,3,13,9.1,+4,2.0
54,2016-02-28,30-172,CLE,@,WAS,L (-14),1,18:13,4,8,.500,0,0,,0,0,,0,4,4,1,2,0,1,4,8,5.3,-9,2.0
55,2016-02-29,30-173,CLE,,IND,W (+4),1,33:47,4,14,.286,3,10,.300,0,0,,1,2,3,0,1,0,0,1,11,4.7,+10,2.0
56,2016-03-04,30-177,CLE,,WAS,W (+25),1,30:41,3,5,.600,2,4,.500,2,2,1.000,0,1,1,3,2,0,0,3,10,10.9,+13,2.0
57,2016-03-05,30-178,CLE,,BOS,W (+17),1,34:13,5,15,.333,4,10,.400,0,0,,0,3,3,3,0,0,0,1,14,8.1,+3,2.0
58,2016-03-07,30-180,CLE,,MEM,L (-3),1,34:34,2,11,.182,1,8,.125,1,2,.500,1,4,5,1,0,1,1,3,6,-0.2,-6,2.0
59,2016-03-09,30-182,CLE,@,SAC,W (+9),1,28:01,6,13,.462,3,9,.333,0,0,,2,3,5,0,1,0,0,5,15,9.6,-2,2.0
60,2016-03-10,30-183,CLE,@,LAL,W (+12),1,33:33,5,10,.500,4,7,.571,3,4,.750,0,2,2,2,2,1,0,4,17,14.7,+7,2.0
61,2016-03-13,30-186,CLE,@,LAC,W (+24),1,23:19,6,9,.667,5,8,.625,0,0,,0,1,1,1,0,0,0,3,17,12.9,+11,2.0
62,2016-03-14,30-187,CLE,@,UTA,L (-9),1,29:28,2,12,.167,1,8,.125,0,0,,0,1,1,1,1,0,1,2,5,-2.4,-9,2.0
63,2016-03-16,30-189,CLE,,DAL,W (+1),1,39:51,6,17,.353,1,8,.125,0,0,,1,3,4,4,3,0,1,3,13,8.7,-16,2.0
64,2016-03-18,30-191,CLE,@,ORL,W (+6),1,23:32,3,7,.429,2,5,.400,0,0,,0,0,0,2,0,0,1,2,8,3.9,-3,2.0
65,2016-03-19,30-192,CLE,@,MIA,L (-21),1,19:11,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,1,2,1.6,-18,2.0
66,2016-03-21,30-194,CLE,,DEN,W (+33),1,28:47,6,12,.500,3,6,.500,0,0,,1,3,4,5,4,0,1,3,15,15.9,+21,2.0
67,2016-03-23,30-196,CLE,,MIL,W (+9),1,36:42,5,10,.500,3,7,.429,0,0,,3,0,3,4,1,0,1,3,13,11.7,+2,2.0
68,2016-03-24,30-197,CLE,@,BRK,L (-9),1,31:35,3,10,.300,2,8,.250,0,0,,0,2,2,2,1,0,2,2,8,2.4,-1,2.0
69,2016-03-26,30-199,CLE,@,NYK,W (+14),1,30:50,5,11,.455,3,8,.375,0,0,,1,2,3,2,0,0,1,3,13,7.8,+18,2.0
70,2016-03-29,30-202,CLE,,HOU,L (-6),1,34:31,1,6,.167,0,3,.000,2,2,1.000,0,3,3,2,0,1,1,5,4,0.2,-9,2.0
71,2016-03-31,30-204,CLE,,BRK,W (+20),1,24:53,3,8,.375,2,7,.286,0,0,,0,3,3,3,2,0,1,2,8,6.8,+20,2.0
72,2016-04-01,30-205,CLE,@,ATL,W (+2),1,39:02,4,12,.333,4,9,.444,0,0,,1,1,2,3,0,0,0,1,12,7.9,+9,2.0
73,2016-04-03,30-207,CLE,,CHO,W (+9),1,33:07,10,16,.625,6,9,.667,1,2,.500,2,3,5,3,1,0,1,1,27,23.4,+3,2.0
