G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,24-192,MEM,,CLE,L (-30),0,5:59,1,4,.250,0,0,,1,1,1.000,0,2,2,0,1,0,1,1,3,0.8,-1,1.0
2,2015-11-02,24-197,MEM,@,GSW,L (-50),0,6:26,2,5,.400,1,2,.500,0,2,.000,1,0,1,0,0,0,1,1,5,0.8,-10,1.0
3,2015-11-03,24-198,MEM,@,SAC,W (+14),0,2:57,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,-3,1.0
4,2015-11-05,24-200,MEM,@,POR,L (-19),0,3:34,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,-0.3,+5,1.0
5,2015-11-11,24-206,MEM,,GSW,L (-16),0,13:00,1,2,.500,0,0,,3,4,.750,0,1,1,0,1,0,1,1,5,3.5,-13,1.0
6,2015-11-16,24-211,MEM,,OKC,W (+8),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,1.0
7,2015-11-20,24-215,MEM,,HOU,W (+12),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,1.0
8,2015-11-24,24-219,MEM,,DAL,W (+14),0,1:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1,1.0
9,2015-11-27,24-222,MEM,,ATL,L (-15),0,1:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,1.0
10,2015-12-03,24-228,MEM,,SAS,L (-20),0,4:24,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,0,2,0.7,-1,1.0
11,2015-12-08,24-233,MEM,,OKC,L (-37),0,8:59,1,1,1.000,0,0,,2,2,1.000,0,3,3,3,0,0,0,0,4,6.7,-4,1.0
12,2015-12-11,24-236,MEM,,CHO,L (-24),0,7:24,1,2,.500,0,0,,0,0,,0,0,0,3,1,0,0,2,2,3.3,-6,1.0
13,2015-12-14,24-239,MEM,,WAS,W (+17),0,1:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3,1.0
14,2015-12-18,24-243,MEM,@,DAL,L (-9),0,1:12,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+4,1.0
15,2015-12-27,24-252,MEM,,LAL,W (+16),0,6:51,0,1,.000,0,0,,0,2,.000,0,2,2,0,2,1,2,0,0,-0.2,-9,1.0
