G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,30-299,ATL,,DET,L (-12),0,16:18,2,5,.400,0,0,,0,0,,3,1,4,0,0,1,0,4,4,2.8,-3,5.0
2,2015-10-29,30-301,ATL,@,NYK,W (+11),0,23:16,4,6,.667,0,0,,2,2,1.000,0,2,2,2,0,1,2,4,10,6.5,+8,5.0
3,2015-10-30,30-302,ATL,,CHO,W (+3),0,15:48,2,7,.286,0,0,,3,3,1.000,1,2,3,0,1,0,1,1,7,3.8,+7,5.0
4,2015-11-01,30-304,ATL,@,CHO,W (+2),0,17:30,3,4,.750,0,0,,1,2,.500,3,4,7,1,2,0,1,2,7,9.2,+11,5.0
5,2015-11-03,30-306,ATL,@,MIA,W (+6),0,20:30,2,6,.333,0,0,,2,2,1.000,2,5,7,1,1,0,0,2,6,6.4,-2,5.0
6,2015-11-04,30-307,ATL,,BRK,W (+14),0,19:48,4,7,.571,0,0,,0,0,,1,2,3,2,1,0,2,4,8,4.8,+21,5.0
7,2015-11-06,30-309,ATL,@,NOP,W (+6),0,20:25,1,5,.200,0,0,,4,4,1.000,2,3,5,0,0,0,0,1,6,4.8,-4,5.0
8,2015-11-09,30-312,ATL,,MIN,L (-10),0,16:25,2,3,.667,0,1,.000,0,0,,0,3,3,2,0,0,1,0,4,4.0,+10,5.0
9,2015-11-11,30-314,ATL,,NOP,W (+8),0,18:33,4,5,.800,0,0,,0,0,,1,2,3,1,1,1,0,3,8,8.6,-2,5.0
10,2015-11-13,30-316,ATL,@,BOS,L (-13),0,13:58,1,3,.333,0,0,,1,2,.500,1,2,3,0,0,0,0,0,3,2.2,-8,5.0
11,2015-11-15,30-318,ATL,,UTA,L (-1),0,18:15,1,4,.250,0,0,,0,0,,1,1,2,0,1,0,2,2,2,-1.2,+4,5.0
12,2015-11-17,30-320,ATL,@,BRK,L (-2),1,12:07,1,4,.250,0,0,,0,0,,0,3,3,0,0,1,2,2,2,-1.6,+7,5.0
13,2015-11-18,30-321,ATL,,SAC,W (+6),0,19:38,3,5,.600,0,0,,1,2,.500,3,3,6,1,0,0,1,2,7,6.2,-2,5.0
14,2015-11-21,30-324,ATL,@,CLE,L (-12),0,9:28,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,3.0,-8,5.0
15,2015-12-09,30-342,ATL,@,DAL,W (+3),0,11:57,2,3,.667,0,0,,0,0,,1,2,3,2,1,0,0,2,4,5.6,+7,5.0
16,2015-12-12,30-345,ATL,,SAS,L (-25),0,14:07,2,3,.667,0,0,,0,0,,1,3,4,0,3,0,3,0,4,4.3,-3,5.0
17,2015-12-14,30-347,ATL,,MIA,L (-12),0,12:36,1,2,.500,0,0,,0,0,,1,1,2,1,0,1,1,2,2,1.6,-4,5.0
18,2015-12-16,30-349,ATL,,PHI,W (+21),0,13:38,4,5,.800,0,0,,2,2,1.000,1,0,1,2,1,1,0,1,10,11.5,+17,5.0
19,2015-12-18,30-351,ATL,@,BOS,W (+8),0,17:48,1,3,.333,0,0,,1,2,.500,1,2,3,1,1,1,0,4,3,3.0,+1,5.0
20,2015-12-20,30-353,ATL,@,ORL,W (+3),0,14:05,3,6,.500,0,0,,0,0,,2,1,3,0,0,1,1,1,6,4.0,+7,5.0
21,2015-12-21,30-354,ATL,,POR,W (+9),0,19:18,3,4,.750,0,0,,2,2,1.000,1,2,3,2,2,0,0,1,8,10.7,+19,5.0
22,2015-12-23,30-356,ATL,,DET,W (+7),0,19:28,4,7,.571,0,0,,3,4,.750,2,2,4,1,0,1,1,5,11,7.7,+5,5.0
23,2015-12-26,30-359,ATL,,NYK,W (+19),0,4:10,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,1,2,1.3,+6,5.0
24,2016-01-07,31-006,ATL,@,PHI,W (+28),0,14:18,1,4,.250,0,0,,2,2,1.000,4,0,4,0,1,0,0,4,4,3.8,-1,5.0
25,2016-01-09,31-008,ATL,,CHI,W (+15),0,15:22,1,6,.167,0,1,.000,2,2,1.000,1,1,2,2,1,0,0,2,4,2.8,-8,5.0
26,2016-01-13,31-012,ATL,@,CHO,L (-23),0,17:59,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,2,1,4,2.0,-8,5.0
27,2016-01-15,31-014,ATL,@,MIL,L (-7),0,12:35,2,5,.400,0,0,,0,0,,2,2,4,0,0,0,0,1,4,2.9,+3,5.0
28,2016-01-16,31-015,ATL,,BRK,W (+28),0,16:27,4,5,.800,0,0,,2,2,1.000,1,4,5,0,0,0,0,3,10,8.8,+18,5.0
29,2016-01-18,31-017,ATL,,ORL,W (+17),0,16:44,5,7,.714,0,0,,0,0,,1,3,4,1,0,1,1,2,10,8.3,+8,5.0
30,2016-01-20,31-019,ATL,@,POR,W (+6),0,17:57,2,6,.333,0,0,,2,3,.667,1,1,2,1,0,1,0,4,6,3.0,+11,5.0
31,2016-01-21,31-020,ATL,@,SAC,L (-3),0,15:08,1,1,1.000,0,0,,2,4,.500,0,3,3,0,0,1,0,0,4,4.5,-6,5.0
32,2016-01-23,31-022,ATL,@,PHO,L (-3),1,17:14,1,3,.333,0,0,,0,0,,1,2,3,3,0,0,1,2,2,1.9,-13,5.0
