G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-30,22-023,PHI,,UTA,L (-28),0,21:17,3,6,.500,2,3,.667,4,5,.800,0,3,3,2,0,0,1,0,12,9.9,-6,2.0
2,2015-11-02,22-026,PHI,,CLE,L (-7),1,28:31,4,10,.400,3,9,.333,4,4,1.000,0,4,4,1,1,0,2,3,15,9.3,-16,2.0
3,2015-11-04,22-028,PHI,@,MIL,L (-4),1,34:44,5,19,.263,3,14,.214,1,1,1.000,1,6,7,4,0,0,4,1,14,3.6,+17,2.0
4,2015-11-06,22-030,PHI,@,CLE,L (-6),1,37:39,6,10,.600,2,6,.333,0,0,,0,3,3,2,1,0,3,2,14,8.9,-15,2.0
5,2015-11-07,22-031,PHI,,ORL,L (-8),1,36:24,6,15,.400,3,10,.300,3,4,.750,0,3,3,5,0,1,0,2,18,13.8,-2,2.0
6,2015-11-09,22-033,PHI,,CHI,L (-23),1,33:10,2,13,.154,1,7,.143,0,0,,0,5,5,2,3,0,1,0,5,1.6,-23,2.0
7,2015-11-11,22-035,PHI,,TOR,L (-16),1,29:58,3,11,.273,2,7,.286,0,0,,0,1,1,3,0,0,1,1,8,2.5,-20,2.0
8,2015-11-13,22-037,PHI,@,OKC,L (-17),1,29:04,4,10,.400,2,5,.400,1,4,.250,1,3,4,3,2,0,1,1,11,8.7,-11,2.0
9,2015-11-14,22-038,PHI,@,SAS,L (-9),1,18:12,0,6,.000,0,3,.000,0,0,,0,0,0,0,0,0,2,0,0,-6.2,-7,2.0
10,2015-11-16,22-040,PHI,,DAL,L (-6),1,16:01,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,1,2,0,-3.3,-14,2.0
11,2015-11-18,22-042,PHI,,IND,L (-27),1,21:06,3,8,.375,1,4,.250,0,0,,1,0,1,1,1,1,2,2,7,2.9,-7,2.0
12,2015-11-20,22-044,PHI,@,CHO,L (-25),1,31:42,5,12,.417,3,8,.375,2,2,1.000,1,1,2,3,0,1,0,0,15,12.4,-2,2.0
