G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-053,LAC,@,SAC,W (+7),1,19:08,3,5,.600,1,2,.500,0,0,,1,1,2,2,1,0,1,0,7,7.1,+11,2.0
2,2015-10-29,25-054,LAC,,DAL,W (+16),1,20:52,1,5,.200,1,4,.250,0,0,,0,2,2,2,0,0,1,3,3,-0.3,+7,2.0
3,2015-10-31,25-056,LAC,,SAC,W (+5),1,24:17,3,6,.500,0,1,.000,1,2,.500,0,2,2,4,0,0,2,3,7,3.8,+20,2.0
4,2015-11-02,25-058,LAC,,PHO,W (+6),1,18:20,2,6,.333,0,0,,1,1,1.000,1,5,6,2,0,0,1,3,5,3.0,0,2.0
5,2015-11-04,25-060,LAC,@,GSW,L (-4),1,22:56,2,5,.400,2,2,1.000,1,2,.500,0,5,5,3,0,0,1,3,7,5.3,+15,2.0
6,2015-11-07,25-063,LAC,,HOU,L (-4),1,21:55,2,6,.333,1,2,.500,2,2,1.000,1,2,3,3,2,0,0,2,7,8.2,-7,2.0
7,2015-11-09,25-065,LAC,,MEM,W (+2),1,20:56,1,4,.250,1,2,.500,0,0,,1,2,3,1,0,0,4,0,3,-1.4,-4,2.0
8,2015-11-11,25-067,LAC,@,DAL,L (-10),1,20:30,3,9,.333,0,2,.000,0,0,,2,0,2,0,0,0,1,1,6,0.9,-19,2.0
9,2015-11-12,25-068,LAC,@,PHO,L (-14),1,30:01,5,13,.385,0,3,.000,1,2,.500,2,3,5,2,2,1,4,2,11,5.1,-9,2.0
10,2015-11-14,25-070,LAC,,DET,W (+5),0,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-8,2.0
11,2015-11-20,25-076,LAC,@,POR,L (-11),1,18:45,1,2,.500,0,0,,0,2,.000,0,0,0,1,0,1,0,1,2,1.2,-6,2.0
12,2015-11-22,25-078,LAC,,TOR,L (-11),0,5:25,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,-0.2,-11,2.0
13,2015-11-24,25-080,LAC,@,DEN,W (+17),0,14:52,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,1,0,1,1,4,4.3,+5,2.0
14,2015-11-25,25-081,LAC,,UTA,L (-11),0,11:31,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,1,0,-0.1,-8,2.0
15,2015-11-27,25-083,LAC,,NOP,W (+21),0,26:09,3,7,.429,1,2,.500,3,4,.750,0,5,5,4,0,0,2,1,10,7.8,+11,2.0
16,2015-11-29,25-085,LAC,,MIN,W (+8),0,19:43,3,6,.500,1,1,1.000,2,2,1.000,2,4,6,3,1,0,0,2,9,10.9,+7,2.0
17,2015-11-30,25-086,LAC,,POR,W (+15),0,17:22,1,2,.500,0,1,.000,0,0,,0,10,10,3,0,0,2,0,2,4.1,-6,2.0
18,2015-12-02,25-088,LAC,,IND,L (-12),0,28:09,8,11,.727,3,4,.750,0,0,,1,2,3,3,1,0,2,5,19,14.9,-8,2.0
19,2015-12-05,25-091,LAC,,ORL,W (+2),0,18:10,0,2,.000,0,1,.000,0,0,,0,2,2,1,2,0,0,2,0,1.1,-7,2.0
20,2015-12-07,25-093,LAC,@,MIN,W (+4),0,13:07,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,1,3,3,1.1,-4,2.0
21,2015-12-09,25-095,LAC,@,MIL,W (+14),0,7:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-12,2.0
22,2015-12-10,25-096,LAC,@,CHI,L (-3),0,18:26,2,4,.500,1,2,.500,0,0,,0,3,3,4,1,0,1,2,5,5.9,+8,2.0
23,2015-12-12,25-098,LAC,@,BRK,W (+5),0,11:33,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,2,0,-1.5,+1,2.0
24,2015-12-16,25-102,LAC,,MIL,W (+13),0,18:28,2,2,1.000,0,0,,0,0,,1,1,2,4,1,0,0,3,4,7.0,-1,2.0
25,2015-12-18,25-104,LAC,@,SAS,L (-8),0,10:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-8,2.0
26,2015-12-19,25-105,LAC,@,HOU,L (-10),0,20:06,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,3,6,0,-5.5,-4,2.0
27,2015-12-21,25-107,LAC,,OKC,L (-1),0,19:36,5,7,.714,0,2,.000,0,0,,0,4,4,1,1,0,4,3,10,4.8,-2,2.0
28,2015-12-25,25-111,LAC,@,LAL,W (+10),0,14:53,1,5,.200,1,2,.500,0,0,,0,1,1,1,0,0,0,1,3,0.5,-2,2.0
29,2015-12-26,25-112,LAC,@,UTA,W (+5),0,9:01,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,2,0,-1.2,-6,2.0
30,2015-12-28,25-114,LAC,@,WAS,W (+17),0,3:56,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-9,2.0
31,2015-12-30,25-116,LAC,@,CHO,W (+5),0,2:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,2.0
32,2016-01-02,25-119,LAC,,PHI,W (+31),0,21:14,2,3,.667,0,1,.000,3,4,.750,0,4,4,3,1,0,2,0,7,7.6,+12,2.0
33,2016-01-13,25-130,LAC,,MIA,W (+14),0,6:08,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-4,2.0
34,2016-01-21,25-138,LAC,@,CLE,L (-13),0,8:29,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,0,3,2,1.1,+5,2.0
35,2016-01-22,25-139,LAC,@,NYK,W (+28),0,6:10,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.8,0,2.0
36,2016-01-24,25-141,LAC,@,TOR,L (-18),0,7:31,4,4,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,8,6.0,-1,2.0
37,2016-01-29,25-146,LAC,,LAL,W (+12),0,22:29,6,7,.857,2,2,1.000,2,2,1.000,0,5,5,2,1,1,1,2,16,16.3,+7,2.0
38,2016-01-31,25-148,LAC,,CHI,W (+27),0,9:03,1,3,.333,0,1,.000,0,0,,1,5,6,1,1,0,1,2,2,2.4,+11,2.0
39,2016-02-03,25-151,LAC,,MIN,L (-6),0,12:12,2,3,.667,0,1,.000,0,0,,0,2,2,0,0,0,1,1,4,1.9,-6,2.0
40,2016-02-05,25-153,LAC,@,ORL,W (+14),0,19:24,6,6,1.000,0,0,,1,1,1.000,0,1,1,3,1,0,1,3,13,12.4,+6,2.0
41,2016-02-07,25-155,LAC,@,MIA,W (+7),0,17:34,4,5,.800,1,1,1.000,0,0,,0,1,1,1,1,0,1,4,9,6.5,-4,2.0
42,2016-02-08,25-156,LAC,@,PHI,W (+6),0,16:11,1,5,.200,0,0,,0,0,,0,3,3,1,0,0,2,1,2,-1.9,-4,2.0
43,2016-02-10,25-158,LAC,@,BOS,L (-5),0,24:16,4,5,.800,2,2,1.000,2,4,.500,1,3,4,0,1,0,1,3,12,9.7,+2,2.0
44,2016-02-21,25-169,MEM,@,TOR,L (-13),0,22:22,6,10,.600,0,0,,4,4,1.000,0,3,3,2,1,0,1,1,16,13.3,-12,2.0
45,2016-02-24,25-172,MEM,,LAL,W (+9),0,23:17,3,7,.429,0,0,,2,4,.500,0,4,4,1,0,0,1,3,8,3.2,-11,2.0
46,2016-02-26,25-174,MEM,@,LAL,W (+17),0,25:38,7,15,.467,0,2,.000,0,0,,2,5,7,3,1,0,1,3,14,10.1,+5,2.0
47,2016-02-27,25-175,MEM,@,PHO,L (-5),0,27:11,4,8,.500,0,0,,4,4,1.000,0,4,4,3,0,0,1,3,12,9.1,-2,2.0
48,2016-02-29,25-177,MEM,@,DEN,W (+7),0,20:39,6,9,.667,0,1,.000,2,2,1.000,0,3,3,2,1,0,1,0,14,12.4,-1,2.0
49,2016-03-02,25-179,MEM,,SAC,W (+6),0,15:43,3,7,.429,0,1,.000,1,1,1.000,1,2,3,3,1,0,4,2,7,2.9,+7,2.0
50,2016-03-04,25-181,MEM,,UTA,W (+6),0,24:36,8,11,.727,0,0,,0,0,,0,5,5,1,0,0,2,5,16,9.7,+15,2.0
51,2016-03-06,25-183,MEM,,PHO,L (-9),0,23:55,4,11,.364,1,3,.333,4,4,1.000,1,4,5,2,1,0,1,0,13,10.2,-7,2.0
52,2016-03-07,25-184,MEM,@,CLE,W (+3),0,27:33,8,15,.533,1,1,1.000,0,1,.000,0,7,7,3,1,1,3,2,17,11.4,-13,2.0
53,2016-03-09,25-186,MEM,@,BOS,L (-20),0,21:23,1,8,.125,0,1,.000,0,0,,0,2,2,3,0,0,2,2,2,-3.3,-18,2.0
54,2016-03-11,25-188,MEM,,NOP,W (+7),0,37:48,12,20,.600,1,2,.500,8,12,.667,0,7,7,4,2,1,1,3,33,27.6,+17,2.0
55,2016-03-12,25-189,MEM,@,ATL,L (-12),0,29:58,7,12,.583,0,2,.000,4,4,1.000,0,8,8,6,0,0,1,1,18,17.6,-5,2.0
56,2016-03-16,25-193,MEM,,MIN,L (-6),0,35:49,8,18,.444,0,2,.000,8,9,.889,4,7,11,7,0,0,1,4,24,21.4,+11,2.0
57,2016-03-17,25-194,MEM,@,MIL,L (-10),1,38:28,8,21,.381,0,1,.000,3,3,1.000,1,6,7,6,1,0,3,4,19,10.6,-7,2.0
58,2016-03-19,25-196,MEM,,LAC,W (+11),1,27:36,4,9,.444,0,0,,4,5,.800,1,2,3,1,2,1,1,2,12,9.8,+27,2.0
59,2016-03-21,25-198,MEM,@,PHO,W (+6),0,22:08,6,8,.750,0,1,.000,4,4,1.000,1,1,2,0,0,0,4,2,16,9.0,+5,2.0
60,2016-03-22,25-199,MEM,@,LAL,L (-7),0,21:22,5,12,.417,1,1,1.000,5,5,1.000,2,4,6,0,2,0,2,1,16,11.8,-7,2.0
61,2016-03-25,25-202,MEM,@,SAS,L (-6),0,27:32,8,15,.533,1,2,.500,0,1,.000,0,1,1,3,3,0,0,4,17,13.1,0,2.0
62,2016-03-28,25-205,MEM,,SAS,L (-14),0,21:03,2,8,.250,0,1,.000,0,0,,3,1,4,3,0,0,6,1,4,-2.7,-17,2.0
63,2016-03-30,25-207,MEM,,DEN,L (-4),0,25:37,4,10,.400,0,1,.000,4,7,.571,2,1,3,1,0,1,1,2,12,6.7,+12,2.0
64,2016-04-01,25-209,MEM,,TOR,L (-4),0,28:57,5,15,.333,0,1,.000,2,2,1.000,0,3,3,4,0,1,2,1,12,5.5,+10,2.0
65,2016-04-03,25-211,MEM,@,ORL,L (-12),0,22:45,4,11,.364,0,0,,3,4,.750,0,4,4,3,0,1,1,1,11,7.1,-4,2.0
66,2016-04-08,25-216,MEM,@,DAL,L (-10),0,24:32,5,10,.500,0,1,.000,0,0,,1,5,6,5,0,0,2,4,10,7.1,-4,2.0
67,2016-04-09,25-217,MEM,,GSW,L (-1),1,38:15,6,13,.462,1,2,.500,0,0,,1,1,2,0,1,0,2,1,13,5.9,0,2.0
68,2016-04-12,25-220,MEM,@,LAC,L (-26),0,22:26,4,11,.364,2,2,1.000,1,2,.500,1,2,3,3,0,0,1,2,11,6.1,-11,2.0
69,2016-04-13,25-221,MEM,@,GSW,L (-21),0,35:26,8,14,.571,3,3,1.000,3,3,1.000,0,2,2,4,2,0,1,2,22,19.0,-18,2.0
