G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-238,BOS,,PHI,W (+17),0,21:03,6,8,.750,0,2,.000,0,0,,0,7,7,2,1,1,1,3,12,11.8,+5,4.0
2,2015-10-30,23-240,BOS,,TOR,L (-10),0,14:14,3,3,1.000,0,0,,0,1,.000,0,3,3,1,1,1,1,6,6,4.6,-3,4.0
3,2015-11-01,23-242,BOS,,SAS,L (-8),0,23:31,4,12,.333,2,4,.500,0,0,,4,4,8,2,1,0,1,3,10,7.4,-10,4.0
4,2015-11-04,23-245,BOS,@,IND,L (-2),1,27:18,3,10,.300,1,3,.333,2,2,1.000,6,5,11,2,2,2,1,3,9,11.5,+2,4.0
5,2015-11-06,23-247,BOS,,WAS,W (+20),1,21:39,9,13,.692,3,4,.750,0,0,,3,5,8,3,1,2,2,2,21,20.8,+9,4.0
6,2015-11-10,23-251,BOS,@,MIL,W (+16),1,20:01,5,10,.500,1,2,.500,0,0,,5,5,10,3,1,1,0,2,11,14.0,-5,4.0
7,2015-11-11,23-252,BOS,,IND,L (-11),1,33:01,5,10,.500,1,3,.333,0,0,,3,8,11,2,1,0,4,3,11,7.7,-4,4.0
8,2015-11-13,23-254,BOS,,ATL,W (+13),1,23:59,5,11,.455,0,1,.000,0,0,,3,7,10,2,1,1,1,2,10,9.8,+11,4.0
9,2015-11-15,23-256,BOS,@,OKC,W (+15),1,31:23,3,11,.273,0,3,.000,2,3,.667,5,10,15,3,4,1,3,3,8,10.2,+5,4.0
10,2015-11-16,23-257,BOS,@,HOU,W (+16),1,25:26,4,9,.444,1,2,.500,0,0,,4,2,6,3,0,1,0,1,9,10.1,+20,4.0
11,2015-11-18,23-259,BOS,,DAL,L (-4),1,30:26,7,19,.368,1,3,.333,3,4,.750,4,8,12,3,1,0,1,3,18,13.2,0,4.0
12,2015-11-20,23-261,BOS,,BRK,W (+25),1,19:16,3,6,.500,0,0,,2,2,1.000,0,4,4,3,1,0,0,1,8,8.9,+21,4.0
13,2015-11-22,23-263,BOS,@,BRK,L (-10),1,30:18,3,10,.300,1,3,.333,2,2,1.000,4,6,10,3,0,0,2,3,9,6.7,-10,4.0
