G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-040,PHO,,DAL,L (-16),0,17:38,2,10,.200,1,5,.200,0,1,.000,1,4,5,1,0,0,1,2,5,-0.8,+4,4.0
2,2015-10-30,30-042,PHO,,POR,W (+18),0,2:24,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-1,4.0
3,2015-10-31,30-043,PHO,@,POR,W (+11),0,4:03,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+2,4.0
4,2015-11-02,30-045,PHO,@,LAC,L (-6),0,4:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1,4.0
5,2015-11-04,30-047,PHO,,SAC,W (+21),0,6:19,1,1,1.000,1,1,1.000,0,0,,0,2,2,2,1,0,0,0,3,5.7,-3,4.0
6,2015-11-06,30-049,PHO,,DET,L (-8),0,8:43,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,-11,4.0
7,2015-11-08,30-051,PHO,@,OKC,L (-21),0,6:21,1,3,.333,1,2,.500,0,0,,1,0,1,0,0,0,0,1,3,1.6,+3,4.0
8,2015-11-12,30-055,PHO,,LAC,W (+14),0,18:19,2,7,.286,2,6,.333,0,0,,0,1,1,3,1,0,0,2,6,4.5,+2,4.0
9,2015-11-14,30-057,PHO,,DEN,W (+24),0,29:11,3,10,.300,3,7,.429,2,2,1.000,2,7,9,3,0,0,2,0,11,8.8,+11,4.0
10,2015-11-16,30-059,PHO,,LAL,W (+19),0,26:58,4,10,.400,3,8,.375,0,0,,2,2,4,1,1,1,0,1,11,9.6,+13,4.0
11,2015-11-18,30-061,PHO,,CHI,L (-6),0,13:01,2,5,.400,2,5,.400,0,0,,0,3,3,1,0,0,0,0,6,4.9,+13,4.0
12,2015-11-20,30-063,PHO,@,DEN,W (+7),0,20:45,6,10,.600,3,6,.500,0,0,,2,3,5,3,0,1,2,3,15,12.3,+2,4.0
13,2015-11-22,30-065,PHO,@,NOP,L (-6),0,23:49,4,10,.400,3,7,.429,0,0,,0,2,2,1,0,1,1,1,11,6.2,-1,4.0
14,2015-11-23,30-066,PHO,@,SAS,L (-14),0,22:30,3,7,.429,3,4,.750,0,0,,2,4,6,1,2,1,1,0,9,10.3,-4,4.0
15,2015-11-25,30-068,PHO,,NOP,L (-6),0,21:11,2,9,.222,1,5,.200,2,2,1.000,0,1,1,0,0,0,0,2,7,1.0,-9,4.0
16,2015-11-27,30-070,PHO,,GSW,L (-19),0,21:01,3,9,.333,2,5,.400,2,2,1.000,0,2,2,1,1,2,0,1,10,8.2,-1,4.0
17,2015-11-29,30-072,PHO,@,TOR,W (+5),0,18:19,7,9,.778,6,7,.857,0,0,,1,1,2,1,0,0,0,0,20,18.2,-4,4.0
18,2015-12-01,30-074,PHO,@,BRK,L (-3),0,19:07,4,9,.444,4,9,.444,0,0,,0,5,5,0,0,0,0,3,12,7.6,-2,4.0
19,2015-12-02,30-075,PHO,@,DET,L (-5),0,39:05,7,13,.538,4,7,.571,0,0,,0,4,4,1,1,0,2,3,18,11.4,+6,4.0
20,2015-12-04,30-077,PHO,@,WAS,L (-3),0,7:28,0,2,.000,0,1,.000,2,3,.667,1,1,2,1,0,0,1,0,2,0.9,-9,4.0
21,2015-12-06,30-079,PHO,@,MEM,L (-2),0,24:26,5,10,.500,3,8,.375,1,2,.500,0,6,6,0,1,0,0,3,14,10.2,-13,4.0
22,2015-12-07,30-080,PHO,@,CHI,W (+2),0,31:26,7,12,.583,4,6,.667,2,2,1.000,1,3,4,2,0,2,1,0,20,17.8,+12,4.0
23,2015-12-09,30-082,PHO,,ORL,W (+3),0,28:29,5,10,.500,4,8,.500,1,2,.500,0,5,5,3,0,0,2,3,15,10.0,0,4.0
24,2015-12-11,30-084,PHO,,POR,L (-10),0,24:56,5,12,.417,4,10,.400,1,2,.500,0,6,6,2,0,0,2,1,15,9.0,+6,4.0
25,2015-12-13,30-086,PHO,,MIN,W (+7),0,20:13,4,7,.571,0,2,.000,0,1,.000,0,2,2,0,0,0,1,1,8,3.5,+2,4.0
26,2015-12-14,30-087,PHO,@,DAL,L (-10),0,15:29,0,5,.000,0,3,.000,0,0,,0,4,4,0,0,0,1,1,0,-3.7,-22,4.0
27,2015-12-16,30-089,PHO,@,GSW,L (-25),0,24:05,9,13,.692,3,5,.600,3,3,1.000,1,3,4,2,0,0,2,2,24,18.7,-6,4.0
28,2015-12-18,30-091,PHO,,NOP,W (+16),0,2:53,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-8,4.0
29,2015-12-20,30-093,PHO,,MIL,L (-6),0,10:15,1,8,.125,1,6,.167,0,0,,0,4,4,1,0,0,1,1,3,-1.7,0,4.0
30,2015-12-21,30-094,PHO,@,UTA,L (-21),0,20:35,5,6,.833,3,4,.750,4,4,1.000,0,7,7,0,0,0,1,3,17,14.7,+1,4.0
31,2015-12-23,30-096,PHO,,DEN,L (-8),0,9:53,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,2,1,3,-1.1,-1,4.0
32,2015-12-26,30-099,PHO,,PHI,L (-7),0,15:48,2,8,.250,0,3,.000,5,8,.625,0,2,2,1,0,0,2,2,9,1.5,-19,4.0
33,2015-12-28,30-101,PHO,,CLE,L (-4),0,11:52,2,7,.286,1,4,.250,0,0,,0,1,1,1,0,0,1,1,5,0.5,+8,4.0
34,2015-12-30,30-103,PHO,@,SAS,L (-33),0,10:04,3,6,.500,2,4,.500,1,3,.333,1,1,2,0,1,0,1,4,9,4.6,-8,4.0
35,2015-12-31,30-104,PHO,@,OKC,L (-4),0,23:19,6,11,.545,3,7,.429,0,0,,2,1,3,2,1,1,2,0,15,12.5,-5,4.0
36,2016-01-02,30-106,PHO,@,SAC,L (-23),0,26:46,6,12,.500,1,4,.250,0,0,,1,1,2,2,0,2,0,2,13,10.0,-12,4.0
37,2016-01-03,30-107,PHO,@,LAL,L (-20),0,23:12,6,14,.429,3,9,.333,1,2,.500,2,6,8,1,0,0,2,2,16,9.3,+19,4.0
38,2016-01-06,30-110,PHO,,CHO,W (+9),0,24:03,6,17,.353,5,12,.417,2,2,1.000,1,7,8,3,1,0,0,1,19,15.0,+15,4.0
39,2016-01-08,30-112,PHO,,MIA,L (-8),0,18:27,5,8,.625,3,6,.500,0,0,,1,1,2,1,1,0,1,2,13,10.3,-15,4.0
40,2016-01-12,30-116,PHO,@,IND,L (-19),0,29:33,7,13,.538,5,8,.625,0,0,,1,4,5,2,0,0,2,4,19,12.4,+1,4.0
41,2016-01-15,30-119,PHO,@,BOS,L (-14),0,21:12,5,13,.385,4,7,.571,8,9,.889,1,1,2,1,0,0,0,2,22,15.4,+11,4.0
42,2016-01-17,30-121,PHO,@,MIN,L (-30),0,14:23,1,7,.143,0,3,.000,0,0,,0,1,1,2,0,0,0,2,2,-1.6,-13,4.0
43,2016-01-19,30-123,PHO,,IND,L (-3),0,16:38,2,7,.286,1,4,.250,2,3,.667,1,3,4,0,0,0,3,1,7,0.7,-7,4.0
44,2016-01-23,30-127,PHO,,ATL,W (+3),0,14:31,2,5,.400,2,5,.400,0,0,,0,3,3,0,2,0,1,2,6,4.4,+1,4.0
45,2016-01-26,30-130,PHO,@,PHI,L (-10),0,16:12,3,8,.375,1,6,.167,2,3,.667,0,1,1,1,0,1,0,0,9,5.9,+1,4.0
46,2016-01-29,30-133,PHO,@,NYK,L (-18),0,16:32,2,7,.286,0,5,.000,0,0,,0,0,0,1,0,1,0,2,4,0.5,+2,4.0
47,2016-01-31,30-135,PHO,@,DAL,L (-13),1,20:35,3,11,.273,2,6,.333,6,6,1.000,1,0,1,0,0,1,2,4,14,5.3,-14,4.0
48,2016-02-02,30-137,PHO,,TOR,L (-7),0,24:18,2,8,.250,2,7,.286,0,0,,0,2,2,2,0,0,0,2,6,2.4,-9,4.0
49,2016-02-04,30-139,PHO,,HOU,L (-6),0,19:14,5,12,.417,3,8,.375,2,2,1.000,2,2,4,0,0,0,0,4,15,9.0,+10,4.0
50,2016-02-06,30-141,PHO,,UTA,L (-9),0,19:32,5,9,.556,3,5,.600,2,4,.500,0,2,2,0,0,1,1,1,15,9.8,-1,4.0
