G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,38-043,HOU,,DEN,L (-20),0,10:49,0,1,.000,0,1,.000,0,0,,0,1,1,2,1,0,0,0,0,2.0,-1,2.0
2,2015-11-01,38-047,HOU,@,MIA,L (-20),0,5:02,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,1.3,+4,2.0
3,2015-11-04,38-050,HOU,,ORL,W (+5),0,9:12,1,1,1.000,0,0,,0,0,,0,2,2,3,0,0,0,1,2,4.0,-7,2.0
4,2015-11-06,38-052,HOU,@,SAC,W (+6),0,13:16,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,1,0,2,-0.4,-25,2.0
5,2015-11-07,38-053,HOU,@,LAC,W (+4),0,12:58,1,5,.200,0,3,.000,0,0,,0,0,0,1,1,0,0,0,2,0.6,+10,2.0
6,2015-11-11,38-057,HOU,,BRK,L (-8),0,8:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,2.0
7,2015-11-13,38-059,HOU,@,DEN,L (-9),0,16:10,3,6,.500,3,6,.500,0,0,,0,0,0,0,1,0,3,2,9,3.2,-4,2.0
8,2015-11-14,38-060,HOU,,DAL,L (-12),0,26:18,6,10,.600,5,9,.556,2,2,1.000,0,0,0,1,0,0,1,5,19,12.1,+7,2.0
9,2015-11-16,38-062,HOU,,BOS,L (-16),0,18:15,1,4,.250,0,2,.000,1,1,1.000,0,1,1,3,0,1,3,3,3,-0.5,-18,2.0
10,2015-11-18,38-064,HOU,,POR,W (+5),1,28:54,2,3,.667,1,2,.500,0,0,,2,2,4,3,1,0,2,5,5,4.8,+9,2.0
11,2015-11-20,38-066,HOU,@,MEM,L (-12),1,21:11,1,5,.200,0,3,.000,0,0,,0,3,3,1,0,1,2,4,2,-2.4,-1,2.0
12,2015-11-21,38-067,HOU,,NYK,L (-5),1,31:02,4,11,.364,3,8,.375,0,0,,0,0,0,1,1,0,0,4,11,5.0,-3,2.0
13,2015-11-25,38-071,HOU,,MEM,L (-9),1,29:08,4,9,.444,3,8,.375,2,2,1.000,0,2,2,3,2,1,2,4,13,10.1,+4,2.0
14,2015-11-27,38-073,HOU,,PHI,W (+2),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,2.0
15,2015-11-29,38-075,HOU,@,NYK,W (+5),0,20:12,2,4,.500,2,4,.500,1,2,.500,0,0,0,0,3,0,1,3,7,5.4,-13,2.0
