G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,26-263,BOS,,PHI,W (+17),0,29:09,10,19,.526,1,6,.167,6,7,.857,1,1,2,7,3,0,3,1,27,22.8,+19,1.0
2,2015-10-30,26-265,BOS,,TOR,L (-10),0,29:07,7,16,.438,1,4,.250,10,11,.909,0,1,1,7,2,0,3,5,25,18.4,+4,1.0
3,2015-11-01,26-267,BOS,,SAS,L (-8),0,26:35,4,18,.222,1,5,.200,6,6,1.000,0,1,1,5,1,0,2,1,15,6.4,-15,1.0
4,2015-11-04,26-270,BOS,@,IND,L (-2),1,35:46,9,19,.474,4,7,.571,5,5,1.000,1,0,1,7,2,0,5,1,27,19.5,+1,1.0
5,2015-11-06,26-272,BOS,,WAS,W (+20),1,25:45,5,15,.333,1,3,.333,5,6,.833,0,1,1,8,2,0,3,0,16,12.0,+9,1.0
6,2015-11-10,26-276,BOS,@,MIL,W (+16),1,34:12,6,20,.300,1,10,.100,7,8,.875,1,1,2,1,1,0,3,0,20,7.7,-12,1.0
7,2015-11-11,26-277,BOS,,IND,L (-11),1,29:52,4,13,.308,1,4,.250,5,7,.714,0,3,3,4,0,0,2,2,14,6.6,-8,1.0
8,2015-11-13,26-279,BOS,,ATL,W (+13),1,34:00,8,18,.444,4,9,.444,3,4,.750,0,5,5,10,2,0,2,3,23,20.5,+22,1.0
9,2015-11-15,26-281,BOS,@,OKC,W (+15),1,33:33,8,18,.444,3,9,.333,1,1,1.000,1,1,2,8,0,0,2,2,20,14.4,+15,1.0
10,2015-11-16,26-282,BOS,@,HOU,W (+16),1,23:51,9,12,.750,4,7,.571,1,1,1.000,1,2,3,6,2,0,1,0,23,24.7,0,1.0
11,2015-11-18,26-284,BOS,,DAL,L (-4),1,32:46,7,16,.438,1,8,.125,4,6,.667,0,1,1,6,2,0,2,3,19,13.1,+10,1.0
12,2015-11-20,26-286,BOS,,BRK,W (+25),1,27:51,7,15,.467,4,9,.444,0,1,.000,0,1,1,9,1,0,3,0,18,14.5,+28,1.0
13,2015-11-22,26-288,BOS,@,BRK,L (-10),1,30:34,8,19,.421,2,8,.250,9,11,.818,0,2,2,6,1,0,3,5,27,16.9,-6,1.0
14,2015-11-24,26-290,BOS,@,ATL,L (-24),1,26:54,3,11,.273,2,5,.400,6,6,1.000,0,0,0,2,3,0,5,4,14,5.3,-17,1.0
15,2015-11-25,26-291,BOS,,PHI,W (+4),1,38:30,11,21,.524,4,7,.571,4,4,1.000,0,4,4,6,1,0,3,1,30,22.7,+17,1.0
16,2015-11-27,26-293,BOS,,WAS,W (+33),1,31:16,9,21,.429,3,10,.300,0,0,,1,3,4,3,2,0,2,1,21,13.2,+17,1.0
17,2015-11-29,26-295,BOS,@,ORL,L (-19),1,32:17,7,18,.389,1,6,.167,5,5,1.000,0,1,1,7,2,0,3,2,20,13.6,-8,1.0
18,2015-11-30,26-296,BOS,@,MIA,W (+10),1,32:01,5,17,.294,1,5,.200,5,6,.833,0,1,1,9,1,0,0,1,16,12.9,-9,1.0
19,2015-12-03,26-299,BOS,@,SAC,W (+17),1,34:09,8,14,.571,3,6,.500,2,2,1.000,0,6,6,9,4,0,1,2,21,24.7,+26,1.0
20,2015-12-05,26-301,BOS,@,SAS,L (-3),1,35:39,7,17,.412,1,6,.167,8,9,.889,0,4,4,8,2,0,2,1,23,19.9,+9,1.0
21,2015-12-07,26-303,BOS,@,NOP,W (+18),1,30:03,9,13,.692,4,4,1.000,0,0,,0,2,2,5,1,0,1,2,22,19.8,+19,1.0
22,2015-12-09,26-305,BOS,,CHI,W (+5),1,31:17,5,15,.333,2,5,.400,8,8,1.000,0,5,5,5,0,0,2,0,20,14.5,-7,1.0
23,2015-12-11,26-307,BOS,,GSW,L (-5),1,46:01,7,22,.318,2,8,.250,2,2,1.000,2,4,6,10,0,0,6,3,18,7.8,-9,1.0
24,2015-12-12,26-308,BOS,@,CHO,W (+5),1,38:31,8,16,.500,2,5,.400,3,3,1.000,1,4,5,13,0,0,2,2,21,21.2,+16,1.0
