G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-27,24-228,CLE,@,CHI,L (-2),0,24:55,1,4,.250,0,0,,0,0,,2,10,12,0,1,0,1,4,2,2.4,-6,4.0
2,2015-10-28,24-229,CLE,@,MEM,W (+30),0,19:59,2,2,1.000,0,0,,1,2,.500,3,5,8,1,0,0,2,4,5,4.7,+19,4.0
3,2015-10-30,24-231,CLE,,MIA,W (+10),0,26:03,6,9,.667,0,0,,1,2,.500,2,7,9,1,0,1,0,1,13,13.2,+14,4.0
4,2015-11-02,24-234,CLE,@,PHI,W (+7),0,26:18,4,7,.571,0,0,,0,2,.000,0,9,9,1,0,3,0,2,8,8.6,+5,4.0
5,2015-11-04,24-236,CLE,,NYK,W (+10),0,25:36,4,6,.667,0,0,,2,2,1.000,4,9,13,1,0,1,1,1,10,12.9,+15,4.0
6,2015-11-06,24-238,CLE,,PHI,W (+6),0,23:07,1,1,1.000,0,0,,1,2,.500,2,9,11,0,0,0,0,2,3,5.6,-3,4.0
7,2015-11-08,24-240,CLE,,IND,W (+4),0,30:27,7,8,.875,0,0,,2,4,.500,3,5,8,1,2,0,0,3,16,17.5,+6,4.0
8,2015-11-10,24-242,CLE,,UTA,W (+4),0,27:34,2,5,.400,0,0,,4,5,.800,4,3,7,0,0,3,1,2,8,8.9,+5,4.0
9,2015-11-13,24-245,CLE,@,NYK,W (+6),0,20:31,1,4,.250,0,0,,2,6,.333,2,8,10,1,1,0,1,1,4,4.1,+9,4.0
10,2015-11-14,24-246,CLE,@,MIL,L (-3),0,25:30,3,4,.750,0,0,,0,0,,0,4,4,0,0,0,0,3,6,4.4,-7,4.0
11,2015-11-17,24-249,CLE,@,DET,L (-5),0,20:58,2,5,.400,0,0,,0,0,,1,8,9,0,1,0,0,1,4,5.0,-3,4.0
12,2015-11-19,24-251,CLE,,MIL,W (+15),0,25:38,5,7,.714,0,0,,2,3,.667,4,7,11,1,1,0,2,4,12,11.7,+2,4.0
13,2015-11-21,24-253,CLE,,ATL,W (+12),1,40:18,4,9,.444,0,0,,1,2,.500,6,10,16,5,0,2,2,2,9,13.2,+9,4.0
14,2015-11-23,24-255,CLE,,ORL,W (+14),1,34:19,3,4,.750,0,0,,3,4,.750,3,11,14,1,0,0,1,4,9,10.5,+23,4.0
