G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-149,DET,,UTA,W (+5),0,19:10,0,3,.000,0,1,.000,0,3,.000,1,5,6,2,0,0,0,1,0,-0.1,+3,4.0
2,2015-10-30,30-151,DET,,CHI,W (+4),0,30:12,4,9,.444,3,8,.375,0,0,,0,3,3,0,2,0,0,1,11,8.8,+2,4.0
3,2015-11-03,30-155,DET,,IND,L (-12),0,13:24,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,1,0,-2.5,-12,4.0
4,2015-11-06,30-158,DET,@,PHO,W (+8),0,25:05,1,5,.200,1,5,.200,1,2,.500,0,6,6,0,0,0,0,2,4,1.5,+4,4.0
5,2015-11-08,30-160,DET,@,POR,W (+17),0,21:56,2,4,.500,2,3,.667,0,0,,0,0,0,0,1,1,0,3,6,4.5,+21,4.0
6,2015-11-09,30-161,DET,@,GSW,L (-14),0,14:16,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-11,4.0
7,2015-11-11,30-163,DET,@,SAC,L (-9),0,23:46,3,5,.600,2,4,.500,0,0,,0,4,4,4,0,1,1,1,8,9.0,-6,4.0
8,2015-11-14,30-166,DET,@,LAC,L (-5),0,18:27,1,3,.333,1,3,.333,2,2,1.000,0,4,4,1,1,0,0,2,5,5.4,-7,4.0
9,2015-11-15,30-167,DET,@,LAL,L (-12),0,19:09,1,6,.167,1,5,.200,0,0,,1,0,1,1,0,0,0,3,3,-0.6,-6,4.0
10,2015-11-17,30-169,DET,,CLE,W (+5),0,19:18,0,2,.000,0,2,.000,0,0,,2,1,3,1,0,0,0,0,0,1.0,-6,4.0
11,2015-11-20,30-172,DET,@,MIN,W (+10),0,20:04,0,7,.000,0,5,.000,0,0,,0,2,2,0,1,0,0,2,0,-4.1,0,4.0
12,2015-11-21,30-173,DET,,WAS,L (-2),0,15:29,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,-15,4.0
13,2015-11-23,30-175,DET,@,MIL,L (-21),0,23:53,4,8,.500,3,6,.500,2,2,1.000,1,3,4,0,1,1,1,4,13,9.7,-2,4.0
14,2015-11-25,30-177,DET,,MIA,W (+23),0,25:05,4,8,.500,4,6,.667,0,0,,2,3,5,2,0,0,0,1,12,11.3,+1,4.0
15,2015-11-27,30-179,DET,@,OKC,L (-16),0,19:38,2,4,.500,2,4,.500,0,0,,1,2,3,0,0,1,0,1,6,5.6,-1,4.0
16,2015-11-29,30-181,DET,@,BRK,L (-4),0,21:57,0,6,.000,0,5,.000,0,0,,1,4,5,1,1,0,0,0,0,-0.6,-10,4.0
