G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-176,PHO,,DAL,L (-16),1,9:10,1,3,.333,0,1,.000,0,2,.000,1,0,1,0,0,0,0,2,2,-0.6,-13,3.0
2,2015-10-30,30-178,PHO,,POR,W (+18),1,23:45,2,6,.333,0,3,.000,0,0,,0,4,4,1,2,0,2,2,4,1.7,+15,3.0
3,2015-10-31,30-179,PHO,@,POR,W (+11),1,30:59,2,4,.500,0,2,.000,0,0,,2,4,6,0,0,0,0,1,4,4.2,+5,3.0
4,2015-11-02,30-181,PHO,@,LAC,L (-6),1,26:37,1,2,.500,1,1,1.000,3,4,.750,1,2,3,2,1,0,0,2,6,7.5,0,3.0
5,2015-11-04,30-183,PHO,,SAC,W (+21),1,20:35,3,4,.750,3,4,.750,1,3,.333,0,0,0,2,1,0,2,2,10,7.2,+8,3.0
6,2015-11-06,30-185,PHO,,DET,L (-8),1,33:45,2,4,.500,1,2,.500,0,0,,2,8,10,2,1,0,1,2,5,7.4,+4,3.0
7,2015-11-08,30-187,PHO,@,OKC,L (-21),1,21:26,1,5,.200,1,2,.500,0,0,,1,3,4,1,1,0,1,1,3,1.8,-24,3.0
8,2015-11-12,30-191,PHO,,LAC,W (+14),1,31:08,3,7,.429,1,4,.250,0,0,,2,4,6,0,3,0,0,2,7,8.1,+21,3.0
9,2015-11-14,30-193,PHO,,DEN,W (+24),1,24:02,2,5,.400,0,2,.000,0,0,,0,6,6,4,0,0,1,1,4,4.5,+31,3.0
10,2015-11-16,30-195,PHO,,LAL,W (+19),1,23:43,3,7,.429,1,4,.250,4,4,1.000,3,4,7,1,1,0,0,4,11,10.7,+3,3.0
11,2015-11-18,30-197,PHO,,CHI,L (-6),1,33:52,8,15,.533,1,4,.250,3,3,1.000,4,3,7,0,0,0,0,2,20,15.6,-17,3.0
12,2015-11-20,30-199,PHO,@,DEN,W (+7),1,24:55,1,4,.250,0,0,,4,4,1.000,1,3,4,2,1,0,2,3,6,4.4,+7,3.0
13,2015-11-22,30-201,PHO,@,NOP,L (-6),1,40:14,4,11,.364,2,4,.500,2,2,1.000,3,5,8,0,1,1,0,4,12,9.6,+4,3.0
14,2015-11-23,30-202,PHO,@,SAS,L (-14),1,29:38,0,5,.000,0,2,.000,0,0,,1,1,2,1,3,0,3,2,0,-2.6,-16,3.0
15,2015-11-25,30-204,PHO,,NOP,L (-6),1,24:32,2,5,.400,0,0,,0,0,,1,4,5,1,1,0,2,4,4,1.3,-7,3.0
16,2015-11-27,30-206,PHO,,GSW,L (-19),1,15:43,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,1,2,2,-1.2,-14,3.0
17,2015-11-29,30-208,PHO,@,TOR,W (+5),1,22:12,2,4,.500,0,1,.000,1,2,.500,1,4,5,0,1,0,2,3,5,2.3,+6,3.0
18,2015-12-01,30-210,PHO,@,BRK,L (-3),1,31:15,4,6,.667,1,3,.333,0,0,,1,2,3,1,1,0,1,0,9,8.4,-2,3.0
19,2015-12-02,30-211,PHO,@,DET,L (-5),1,39:01,1,3,.333,0,2,.000,1,2,.500,2,4,6,5,1,1,4,4,3,3.1,-14,3.0
20,2015-12-04,30-213,PHO,@,WAS,L (-3),1,37:21,3,6,.500,1,1,1.000,2,3,.667,4,9,13,1,1,0,3,6,9,7.4,+9,3.0
21,2015-12-06,30-215,PHO,@,MEM,L (-2),1,27:28,3,7,.429,0,4,.000,0,0,,4,5,9,2,1,0,3,0,6,6.0,+9,3.0
22,2015-12-07,30-216,PHO,@,CHI,W (+2),1,17:56,0,1,.000,0,0,,0,0,,0,1,1,0,2,0,4,1,0,-2.8,-12,3.0
23,2015-12-09,30-218,PHO,,ORL,W (+3),1,31:44,5,9,.556,1,3,.333,0,0,,3,5,8,0,1,1,1,2,11,10.2,+17,3.0
24,2015-12-11,30-220,PHO,,POR,L (-10),1,22:18,1,3,.333,0,1,.000,0,0,,1,3,4,2,1,1,0,1,2,4.6,-16,3.0
25,2015-12-13,30-222,PHO,,MIN,W (+7),1,33:50,1,6,.167,1,2,.500,0,0,,3,4,7,0,2,0,0,5,3,2.5,+14,3.0
26,2015-12-14,30-223,PHO,@,DAL,L (-10),1,24:00,3,9,.333,0,3,.000,0,0,,3,3,6,3,1,0,1,2,6,5.2,-18,3.0
27,2015-12-16,30-225,PHO,@,GSW,L (-25),1,19:29,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,2,0,-0.8,-27,3.0
28,2015-12-18,30-227,PHO,,NOP,W (+16),1,24:13,2,4,.500,1,1,1.000,1,2,.500,0,3,3,2,1,0,0,1,6,6.5,0,3.0
29,2015-12-20,30-229,PHO,,MIL,L (-6),1,24:47,4,4,1.000,2,2,1.000,2,3,.667,2,5,7,2,0,0,2,0,12,12.7,-5,3.0
30,2015-12-21,30-230,PHO,@,UTA,L (-21),0,25:16,0,4,.000,0,1,.000,0,0,,0,5,5,2,0,0,0,3,0,-1.1,+4,3.0
31,2015-12-23,30-232,PHO,,DEN,L (-8),0,27:34,3,5,.600,1,2,.500,1,2,.500,2,11,13,0,1,0,1,3,8,8.8,+12,3.0
32,2015-12-26,30-235,PHO,,PHI,L (-7),1,37:31,3,8,.375,1,1,1.000,3,3,1.000,1,6,7,1,2,0,0,1,10,10.4,-7,3.0
33,2015-12-28,30-237,PHO,,CLE,L (-4),1,38:18,6,11,.545,2,3,.667,0,0,,1,5,6,2,3,0,2,3,14,12.1,-14,3.0
34,2015-12-30,30-239,PHO,@,SAS,L (-33),1,24:34,1,2,.500,1,2,.500,2,2,1.000,0,2,2,4,1,0,0,1,5,8.0,-7,3.0
35,2015-12-31,30-240,PHO,@,OKC,L (-4),1,41:32,10,14,.714,2,4,.500,0,0,,2,5,7,3,3,0,1,4,22,21.6,+4,3.0
36,2016-01-02,30-242,PHO,@,SAC,L (-23),1,28:09,1,5,.200,1,2,.500,2,2,1.000,2,2,4,2,1,3,0,2,5,7.6,-25,3.0
37,2016-01-03,30-243,PHO,@,LAL,L (-20),1,32:19,2,7,.286,1,3,.333,0,0,,3,5,8,0,1,0,0,2,5,4.7,-33,3.0
38,2016-01-06,30-246,PHO,,CHO,W (+9),1,31:01,4,8,.500,2,3,.667,0,0,,0,5,5,2,4,0,2,2,10,10.1,+4,3.0
