G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-29,19-219,IND,,MEM,L (-9),0,17:58,4,6,.667,0,0,,0,2,.000,1,3,4,0,2,1,2,4,8,5.3,+3,5.0
2,2015-10-31,19-221,IND,,UTA,L (-21),0,22:41,4,8,.500,0,0,,2,2,1.000,1,3,4,0,0,1,1,1,10,6.9,-5,5.0
3,2015-11-03,19-224,IND,@,DET,W (+12),0,15:29,3,4,.750,0,0,,0,0,,0,4,4,0,1,3,0,3,6,7.5,+2,5.0
4,2015-11-04,19-225,IND,,BOS,W (+2),0,18:29,2,6,.333,0,0,,3,4,.750,3,1,4,1,0,1,0,1,7,6.6,0,5.0
5,2015-11-06,19-227,IND,,MIA,W (+3),0,12:45,1,4,.250,0,0,,0,0,,0,2,2,0,0,0,1,3,2,-2.0,-22,5.0
6,2015-11-08,19-229,IND,@,CLE,L (-4),0,18:17,3,4,.750,0,0,,0,0,,0,1,1,0,0,1,0,2,6,4.6,-7,5.0
7,2015-11-09,19-230,IND,,ORL,W (+13),0,19:48,4,6,.667,0,0,,2,2,1.000,0,4,4,0,0,0,2,2,10,5.8,+4,5.0
8,2015-11-11,19-232,IND,@,BOS,W (+11),0,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,5.0
9,2015-12-30,19-281,IND,@,CHI,L (-2),0,21:30,2,8,.250,0,0,,4,6,.667,1,4,5,1,0,3,0,4,8,5.5,-5,5.0
10,2015-12-31,19-282,IND,,MIL,L (-4),0,17:08,2,6,.333,0,0,,4,6,.667,2,7,9,0,0,0,1,2,8,5.5,-3,5.0
11,2016-01-02,19-284,IND,,DET,W (+12),0,10:19,1,5,.200,0,0,,2,2,1.000,1,3,4,0,0,2,1,2,4,2.1,+3,5.0
12,2016-01-04,19-286,IND,@,MIA,L (-3),0,6:46,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,-0.5,0,5.0
13,2016-01-06,19-288,IND,@,ORL,W (+9),0,12:31,3,3,1.000,0,0,,0,0,,1,4,5,0,0,1,1,1,6,6.3,-2,5.0
14,2016-01-08,19-290,IND,@,NOP,W (+5),0,10:40,2,3,.667,0,0,,1,2,.500,1,2,3,1,0,1,0,1,5,5.6,-8,5.0
15,2016-01-10,19-292,IND,@,HOU,L (-4),0,12:47,2,3,.667,0,0,,0,0,,1,1,2,1,0,1,0,1,4,4.7,-2,5.0
16,2016-01-12,19-294,IND,,PHO,W (+19),0,2:27,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,3.0,0,5.0
17,2016-01-13,19-295,IND,@,BOS,L (-9),0,10:22,3,5,.600,0,0,,3,5,.600,0,5,5,0,0,0,0,1,9,7.0,+1,5.0
18,2016-01-15,19-297,IND,,WAS,L (-14),0,18:15,4,8,.500,0,0,,2,2,1.000,1,2,3,1,0,0,1,1,10,6.6,+5,5.0
19,2016-01-17,19-299,IND,@,DEN,L (-3),0,28:45,11,13,.846,0,0,,3,6,.500,3,4,7,2,1,2,1,3,25,24.0,-11,5.0
