G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,28-285,MIL,,NYK,L (-25),0,29:19,4,10,.400,2,4,.500,8,8,1.000,1,6,7,5,0,0,2,2,18,15.8,-16,1.0
2,2015-10-30,28-287,MIL,,WAS,L (-5),0,16:36,0,3,.000,0,1,.000,0,0,,0,2,2,5,0,0,2,4,0,-1.6,-10,1.0
3,2015-11-01,28-289,MIL,@,TOR,L (-19),0,25:27,2,7,.286,0,4,.000,5,5,1.000,0,3,3,4,1,0,3,2,9,5.8,-10,1.0
4,2015-11-02,28-290,MIL,@,BRK,W (+7),0,26:42,0,8,.000,0,5,.000,0,0,,1,0,1,8,1,0,1,1,0,0.3,-5,1.0
5,2015-11-04,28-292,MIL,,PHI,W (+4),0,22:00,4,12,.333,1,4,.250,2,3,.667,1,0,1,5,1,0,1,5,11,6.0,+20,1.0
6,2015-11-06,28-294,MIL,@,NYK,W (+7),0,30:33,3,8,.375,1,4,.250,1,1,1.000,0,4,4,5,1,0,1,2,8,7.5,+8,1.0
7,2015-11-07,28-295,MIL,,BRK,W (+8),0,28:14,0,10,.000,0,7,.000,1,1,1.000,0,2,2,3,1,0,2,1,1,-4.7,+5,1.0
8,2015-11-10,28-298,MIL,,BOS,L (-16),0,18:36,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,3,2,2,-1.8,-20,1.0
9,2015-11-11,28-299,MIL,@,DEN,L (-1),0,32:50,6,14,.429,3,8,.375,0,0,,0,2,2,9,1,0,2,1,15,13.1,+5,1.0
10,2015-11-14,28-302,MIL,,CLE,W (+3),0,23:50,4,8,.500,2,5,.400,3,5,.600,0,3,3,4,0,0,1,2,13,10.1,+4,1.0
11,2015-11-17,28-305,MIL,@,WAS,L (-29),0,19:38,5,7,.714,2,3,.667,0,0,,0,2,2,3,0,0,0,2,12,11.0,-10,1.0
12,2015-11-19,28-307,MIL,@,CLE,L (-15),0,21:16,0,3,.000,0,1,.000,0,0,,0,1,1,5,1,0,3,3,0,-1.5,-10,1.0
13,2015-11-21,28-309,MIL,@,IND,L (-37),0,14:58,2,2,1.000,0,0,,0,0,,0,1,1,3,0,0,4,2,4,1.0,-22,1.0
14,2015-11-23,28-311,MIL,,DET,W (+21),0,21:55,4,8,.500,1,2,.500,1,1,1.000,1,3,4,3,0,0,2,1,10,7.3,+8,1.0
15,2015-11-25,28-313,MIL,,SAC,L (-11),0,15:47,3,4,.750,2,3,.667,1,1,1.000,0,2,2,7,0,0,3,1,9,9.5,+5,1.0
16,2015-11-27,28-315,MIL,@,ORL,L (-24),0,13:16,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,0,2,2,-1.6,-11,1.0
17,2016-03-30,29-074,MIL,,PHO,W (+11),0,13:05,0,2,.000,0,1,.000,0,0,,0,3,3,3,1,0,1,1,0,1.2,-2,1.0
18,2016-04-01,29-076,MIL,,ORL,W (+3),0,11:52,0,5,.000,0,4,.000,0,0,,0,1,1,4,1,0,3,1,0,-2.8,-10,1.0
19,2016-04-03,29-078,MIL,,CHI,L (-4),0,5:54,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-11,1.0
20,2016-04-08,29-083,MIL,@,BOS,L (-15),0,15:11,2,3,.667,1,2,.500,0,1,.000,0,0,0,1,0,0,2,2,5,1.2,-17,1.0
21,2016-04-10,29-085,MIL,@,PHI,W (+1),0,13:44,0,2,.000,0,2,.000,0,0,,0,2,2,4,0,0,1,0,0,1.0,+9,1.0
22,2016-04-11,29-086,MIL,@,ORL,L (-9),0,16:47,3,7,.429,2,5,.400,0,0,,1,2,3,3,0,0,2,3,8,4.5,+4,1.0
23,2016-04-13,29-088,MIL,,IND,L (-5),0,22:25,1,5,.200,1,4,.250,0,0,,0,1,1,4,1,0,1,2,3,2.2,-8,1.0
