G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,19-073,MIL,,NYK,L (-25),0,12:41,3,5,.600,1,2,.500,0,0,,1,1,2,0,0,1,1,0,7,5.4,-13,2.0
2,2015-11-01,19-077,MIL,@,TOR,L (-19),0,3:33,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,0,2.0
3,2015-11-04,19-080,MIL,,PHI,W (+4),0,16:33,1,3,.333,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3,2.3,+1,2.0
4,2015-11-07,19-083,MIL,,BRK,W (+8),0,1:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,0.3,-7,2.0
5,2015-11-10,19-086,MIL,,BOS,L (-16),0,6:25,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,1.3,-9,2.0
6,2015-11-11,19-087,MIL,@,DEN,L (-1),0,9:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4,2.0
7,2015-11-17,19-093,MIL,@,WAS,L (-29),0,11:14,1,4,.250,1,2,.500,2,2,1.000,0,0,0,0,0,0,1,2,5,0.8,-10,2.0
8,2015-11-21,19-097,MIL,@,IND,L (-37),0,5:10,3,4,.750,1,2,.500,0,0,,0,1,1,1,0,0,0,0,7,6.4,-5,2.0
9,2015-11-23,19-099,MIL,,DET,W (+21),0,4:13,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,1,1,0,0,0.3,-3,2.0
10,2015-11-27,19-103,MIL,@,ORL,L (-24),0,2:58,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.2,0,2.0
11,2015-11-30,19-106,MIL,,DEN,W (+18),0,7:23,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,1,0,0,0,-0.4,-1,2.0
12,2015-12-02,19-108,MIL,@,SAS,L (-25),0,17:20,2,9,.222,2,5,.400,0,0,,1,3,4,1,1,0,2,3,6,0.6,-7,2.0
13,2015-12-04,19-110,MIL,@,DET,L (-7),0,10:34,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,3,0,-1.6,+2,2.0
14,2015-12-05,19-111,MIL,,NYK,W (+15),0,3:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,2.0
15,2015-12-07,19-113,MIL,,POR,W (+2),0,8:38,0,2,.000,0,0,,0,0,,1,2,3,1,2,0,1,1,0,1.2,-2,2.0
16,2015-12-09,19-115,MIL,,LAC,L (-14),0,17:27,0,2,.000,0,1,.000,0,0,,0,5,5,1,1,0,0,1,0,1.4,+9,2.0
17,2015-12-11,19-117,MIL,@,TOR,L (-7),0,5:11,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,2,2,0.5,-3,2.0
18,2015-12-12,19-118,MIL,,GSW,W (+13),0,9:13,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,1,0,0.2,-4,2.0
19,2015-12-15,19-121,MIL,@,LAL,L (-18),0,6:01,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+3,2.0
20,2015-12-18,19-124,MIL,@,GSW,L (-9),0,10:58,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,2.4,-4,2.0
21,2015-12-20,19-126,MIL,@,PHO,W (+6),0,17:09,2,6,.333,2,2,1.000,0,0,,0,0,0,0,0,0,1,1,6,1.2,-2,2.0
22,2015-12-23,19-129,MIL,,PHI,W (+13),0,15:07,1,5,.200,1,4,.250,0,0,,1,1,2,0,0,0,0,1,3,0.5,-9,2.0
23,2015-12-26,19-132,MIL,,TOR,L (-21),0,9:59,1,3,.333,1,2,.500,0,0,,0,2,2,2,0,0,0,0,3,3.3,-13,2.0
24,2015-12-28,19-134,MIL,@,DAL,L (-10),0,14:38,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,0,0,0,0.2,+4,2.0
25,2015-12-29,19-135,MIL,@,OKC,L (-8),0,3:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-5,2.0
26,2015-12-31,19-137,MIL,@,IND,W (+4),0,6:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-3,2.0
27,2016-01-02,19-139,MIL,@,MIN,W (+10),0,15:49,2,5,.400,1,3,.333,0,0,,0,3,3,0,0,1,0,0,5,3.9,+20,2.0
28,2016-01-04,19-141,MIL,,SAS,L (-25),0,16:23,1,3,.333,0,1,.000,0,0,,0,2,2,2,0,0,3,1,2,-1.1,-16,2.0
29,2016-01-05,19-142,MIL,@,CHI,L (-11),0,6:13,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+3,2.0
