G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-065,DAL,@,PHO,W (+16),0,14:39,4,5,.800,2,3,.667,0,0,,0,1,1,0,0,0,0,3,10,7.2,+4,4.0
2,2015-10-29,31-066,DAL,@,LAC,L (-16),0,23:00,3,11,.273,0,6,.000,1,2,.500,0,5,5,0,0,0,0,4,7,0.0,-4,4.0
3,2015-11-01,31-069,DAL,@,LAL,W (+10),0,11:56,1,6,.167,1,4,.250,0,0,,0,2,2,1,0,1,0,2,3,0.4,+3,4.0
4,2015-11-03,31-071,DAL,,TOR,L (-11),0,4:55,2,4,.500,0,2,.000,0,0,,1,1,2,0,0,0,0,2,4,2.2,-7,4.0
5,2015-11-05,31-073,DAL,,CHO,L (-14),0,12:50,3,8,.375,1,5,.200,0,0,,1,6,7,0,1,0,2,1,7,3.7,-4,4.0
6,2015-11-10,31-078,DAL,@,NOP,L (-15),0,26:28,6,14,.429,1,4,.250,2,2,1.000,0,9,9,2,0,1,1,1,15,11.0,-9,4.0
7,2015-11-11,31-079,DAL,,LAC,W (+10),0,12:03,2,4,.500,0,2,.000,0,0,,0,3,3,1,0,0,0,0,4,3.6,0,4.0
8,2015-11-13,31-081,DAL,,LAL,W (+8),0,14:20,2,6,.333,2,6,.333,0,0,,0,3,3,1,0,0,1,0,6,3.2,+8,4.0
9,2015-11-14,31-082,DAL,@,HOU,W (+12),1,25:25,8,16,.500,3,7,.429,0,0,,2,3,5,1,0,3,2,4,19,12.5,+4,4.0
10,2015-11-16,31-084,DAL,@,PHI,W (+6),0,8:15,1,5,.200,1,2,.500,0,0,,2,1,3,0,0,0,0,2,3,0.8,+14,4.0
11,2015-11-20,31-088,DAL,,UTA,W (+9),0,2:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+4,4.0
12,2015-11-22,31-090,DAL,@,OKC,L (-3),0,3:47,2,2,1.000,2,2,1.000,0,0,,0,0,0,1,0,0,0,1,6,5.7,+1,4.0
13,2015-11-24,31-092,DAL,@,MEM,L (-14),0,9:25,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,-0.4,-7,4.0
14,2015-11-25,31-093,DAL,@,SAS,L (-5),0,11:56,3,7,.429,0,3,.000,0,0,,1,4,5,0,0,0,1,2,6,2.4,-2,4.0
15,2015-11-28,31-096,DAL,,DEN,W (+11),0,6:44,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,0.2,-2,4.0
16,2015-11-30,31-098,DAL,@,SAC,L (-14),0,9:28,3,4,.750,1,2,.500,0,0,,0,2,2,0,1,0,1,1,7,5.6,-7,4.0
17,2015-12-01,31-099,DAL,@,POR,W (+3),0,17:32,4,13,.308,2,8,.250,0,0,,0,3,3,0,2,0,0,1,10,5.0,+7,4.0
18,2015-12-04,31-102,DAL,,HOU,L (-4),0,7:16,1,1,1.000,0,0,,0,0,,0,1,1,0,0,2,1,0,2,2.4,-15,4.0
19,2015-12-06,31-104,DAL,@,WAS,W (+12),0,14:22,3,4,.750,1,2,.500,3,3,1.000,0,4,4,0,0,1,2,3,10,7.1,-6,4.0
20,2015-12-07,31-105,DAL,@,NYK,W (+7),0,4:02,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,3.7,0,4.0
21,2015-12-09,31-107,DAL,,ATL,L (-3),0,4:34,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+1,4.0
22,2015-12-12,31-110,DAL,,WAS,L (-3),0,6:05,1,6,.167,0,3,.000,0,0,,1,1,2,0,0,0,1,0,2,-1.8,-10,4.0
23,2015-12-16,31-114,DAL,@,IND,L (-26),0,15:03,4,8,.500,1,3,.333,0,0,,1,3,4,0,0,0,1,1,9,5.2,-10,4.0
24,2015-12-18,31-116,DAL,,MEM,W (+9),0,11:41,4,7,.571,2,5,.400,0,0,,0,1,1,2,0,0,1,0,10,7.4,-6,4.0
25,2015-12-22,31-120,DAL,@,TOR,L (-4),0,11:54,4,10,.400,1,6,.167,0,0,,0,2,2,3,2,0,0,2,9,7.5,+9,4.0
26,2015-12-23,31-121,DAL,@,BRK,W (+1),0,24:48,5,11,.455,2,6,.333,2,2,1.000,0,4,4,0,1,0,0,4,14,8.9,-4,4.0
27,2015-12-26,31-124,DAL,,CHI,W (+7),0,3:31,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,3,0,-1.9,-8,4.0
28,2015-12-28,31-126,DAL,,MIL,W (+10),0,6:54,3,5,.600,1,1,1.000,0,0,,1,2,3,0,0,0,0,1,7,5.6,0,4.0
29,2015-12-30,31-128,DAL,,GSW,W (+23),0,12:24,2,7,.286,1,3,.333,0,0,,0,4,4,0,1,2,0,2,5,3.7,+2,4.0
30,2016-01-01,31-130,DAL,@,MIA,L (-24),0,20:49,4,11,.364,1,6,.167,0,0,,0,2,2,0,0,0,2,2,9,0.7,-7,4.0
31,2016-01-02,31-131,DAL,,NOP,L (-7),0,6:28,0,4,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0,-2.2,0,4.0
32,2016-01-06,31-135,DAL,@,NOP,W (+9),1,21:27,1,10,.100,0,5,.000,0,0,,1,5,6,0,0,0,0,2,2,-3.2,-8,4.0
33,2016-01-08,31-137,DAL,@,MIL,L (-1),0,3:24,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3,4.0
34,2016-01-13,31-142,DAL,@,OKC,L (-19),1,14:04,3,7,.429,1,4,.250,0,0,,0,1,1,0,1,0,0,0,7,4.6,-11,4.0
35,2016-01-15,31-144,DAL,@,CHI,W (+6),0,2:49,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-6,4.0
36,2016-01-17,31-146,DAL,@,SAS,L (-29),0,17:18,1,5,.200,0,3,.000,2,3,.667,0,4,4,1,0,0,2,1,4,0.0,-14,4.0
37,2016-01-20,31-149,DAL,,MIN,W (+12),1,27:54,5,14,.357,0,4,.000,4,4,1.000,1,5,6,1,1,1,1,1,14,9.4,-7,4.0
38,2016-01-24,31-153,DAL,@,HOU,L (-11),0,4:52,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,3,0,-2.3,+4,4.0
39,2016-01-27,31-156,DAL,@,GSW,L (-20),0,19:37,3,9,.333,2,6,.333,0,0,,1,5,6,1,0,0,1,3,8,3.6,-10,4.0
40,2016-01-29,31-158,DAL,,BRK,W (+12),0,7:25,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,0,0,3,1.9,+8,4.0
41,2016-01-31,31-160,DAL,,PHO,W (+13),0,10:19,1,3,.333,1,3,.333,0,0,,3,1,4,0,1,0,1,2,3,2.9,-14,4.0
42,2016-02-01,31-161,DAL,@,ATL,L (-15),0,10:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,4.0
43,2016-02-05,31-165,DAL,,SAS,L (-26),0,22:39,5,10,.500,1,2,.500,2,2,1.000,0,6,6,3,0,0,3,2,13,8.1,+9,4.0
44,2016-02-06,31-166,DAL,@,MEM,W (+4),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
45,2016-02-19,31-179,DAL,@,ORL,L (-6),0,11:44,4,8,.500,3,6,.500,0,0,,0,3,3,0,0,0,1,0,11,6.9,-1,4.0
46,2016-02-21,31-181,DAL,,PHI,W (+26),0,7:45,2,6,.333,0,2,.000,0,0,,1,1,2,0,0,0,0,0,4,1.6,+1,4.0
47,2016-02-24,31-184,DAL,,OKC,L (-13),0,1:24,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,4.0
48,2016-02-28,31-188,DAL,,MIN,W (+27),0,13:16,2,4,.500,0,2,.000,3,3,1.000,0,4,4,0,1,0,0,3,7,6.0,+1,4.0
49,2016-03-01,31-190,DAL,,ORL,W (+13),0,2:06,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-6,4.0
50,2016-03-06,31-195,DAL,@,DEN,L (-2),0,1:30,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,0.3,+2,4.0
51,2016-03-07,31-196,DAL,,LAC,L (-19),0,7:39,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,+6,4.0
52,2016-03-09,31-198,DAL,,DET,L (-6),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,4.0
53,2016-03-18,31-207,DAL,,GSW,L (-18),0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,4.0
54,2016-03-20,31-209,DAL,,POR,W (+12),0,12:32,2,6,.333,0,2,.000,2,2,1.000,1,1,2,0,0,1,0,2,6,3.5,+9,4.0
55,2016-03-23,31-212,DAL,@,POR,L (-6),0,9:15,1,3,.333,0,1,.000,1,1,1.000,2,2,4,0,0,1,2,2,3,1.2,-7,4.0
56,2016-03-25,31-214,DAL,@,GSW,L (-8),0,23:42,6,13,.462,4,8,.500,0,0,,1,4,5,0,1,1,1,0,16,11.9,-1,4.0
57,2016-03-27,31-216,DAL,@,SAC,L (-22),0,9:01,2,5,.400,1,2,.500,0,0,,1,2,3,0,0,0,1,1,5,2.2,-8,4.0
58,2016-04-01,31-221,DAL,@,DET,W (+9),0,5:37,0,3,.000,0,2,.000,0,0,,0,2,2,1,1,0,0,0,0,0.2,+12,4.0
59,2016-04-06,31-226,DAL,,HOU,W (+2),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,4.0
60,2016-04-08,31-228,DAL,,MEM,W (+10),0,2:14,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-2,4.0
61,2016-04-10,31-230,DAL,@,LAC,L (-7),0,13:00,4,11,.364,3,6,.500,0,0,,1,4,5,2,1,0,0,2,11,8.4,+10,4.0
62,2016-04-13,31-233,DAL,,SAS,L (-5),0,15:02,3,5,.600,3,5,.600,0,0,,0,2,2,0,1,0,1,2,9,6.5,-4,4.0
