G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,20-065,POR,,NOP,W (+18),0,13:46,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-2.2,-11,4.0
2,2015-10-30,20-067,POR,@,PHO,L (-18),0,21:02,1,2,.500,0,0,,0,0,,2,4,6,1,0,1,0,2,2,4.2,-3,4.0
3,2015-10-31,20-068,POR,,PHO,L (-11),0,6:29,0,1,.000,0,0,,0,0,,1,3,4,1,0,0,0,0,0,1.6,+2,4.0
4,2015-11-02,20-070,POR,@,MIN,W (+5),0,19:07,1,3,.333,0,1,.000,3,4,.750,0,3,3,0,0,0,2,3,5,0.6,+8,4.0
5,2015-11-04,20-072,POR,@,UTA,W (+16),0,13:18,0,3,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,1,3,1,-3.7,+4,4.0
6,2015-11-05,20-073,POR,,MEM,W (+19),0,11:06,1,4,.250,0,2,.000,0,0,,0,3,3,0,0,2,2,1,2,-0.5,-11,4.0
7,2015-11-08,20-076,POR,,DET,L (-17),0,9:56,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,1,4,3.3,+9,4.0
8,2015-11-09,20-077,POR,@,DEN,L (-4),0,12:53,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-1.5,-15,4.0
9,2015-11-11,20-079,POR,,SAS,L (-12),0,7:27,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.2,-8,4.0
10,2015-11-13,20-081,POR,@,MEM,L (-1),0,6:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-6,4.0
11,2015-11-15,20-083,POR,@,CHO,L (-12),1,23:55,3,6,.500,0,1,.000,3,4,.750,3,3,6,1,0,0,2,3,9,6.1,-6,4.0
12,2015-11-16,20-084,POR,@,SAS,L (-13),0,22:25,1,2,.500,1,1,1.000,0,0,,0,6,6,1,0,0,0,3,3,3.3,-5,4.0
13,2015-11-18,20-086,POR,@,HOU,L (-5),1,12:44,2,4,.500,0,0,,0,0,,2,4,6,0,0,0,1,4,4,2.0,+3,4.0
14,2015-11-20,20-088,POR,,LAC,W (+11),1,17:31,1,2,.500,0,0,,2,2,1.000,0,3,3,0,1,0,2,2,4,2.1,0,4.0
15,2015-11-22,20-090,POR,@,LAL,W (+14),1,16:33,0,3,.000,0,1,.000,0,0,,0,3,3,0,0,2,1,0,0,-0.8,+3,4.0
16,2015-11-24,20-092,POR,,CHI,L (-5),1,12:22,3,7,.429,1,2,.500,0,0,,2,1,3,0,0,1,0,3,7,4.5,-4,4.0
17,2015-11-28,20-096,POR,,LAL,W (+12),1,19:32,2,2,1.000,0,0,,0,0,,1,4,5,1,1,0,1,1,4,5.6,+8,4.0
18,2015-11-30,20-098,POR,@,LAC,L (-15),1,12:55,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,4,2,-1.7,-16,4.0
19,2015-12-01,20-099,POR,,DAL,L (-3),1,5:45,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-15,4.0
20,2015-12-03,20-101,POR,,IND,W (+12),1,17:31,3,3,1.000,0,0,,0,0,,2,2,4,0,0,0,1,1,6,5.7,-6,4.0
21,2015-12-05,20-103,POR,@,MIN,W (+6),1,15:05,2,4,.500,0,0,,0,0,,0,3,3,1,1,0,2,0,4,2.6,+9,4.0
22,2015-12-07,20-105,POR,@,MIL,L (-2),1,14:10,3,5,.600,0,0,,0,0,,6,1,7,1,0,0,1,2,6,7.1,-6,4.0
23,2015-12-08,20-106,POR,@,CLE,L (-5),1,11:08,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,2,2,2.5,+9,4.0
24,2015-12-11,20-109,POR,@,PHO,W (+10),1,16:52,1,1,1.000,0,0,,0,0,,1,4,5,1,0,0,0,1,2,3.9,+9,4.0
25,2015-12-12,20-110,POR,,NYK,L (-2),1,17:25,2,2,1.000,1,1,1.000,2,2,1.000,4,1,5,2,2,0,1,2,7,11.1,+11,4.0
26,2015-12-14,20-112,POR,,NOP,W (+4),1,17:10,1,5,.200,0,0,,0,0,,2,3,5,1,1,1,0,3,2,2.4,+2,4.0
27,2015-12-16,20-114,POR,@,OKC,L (-16),1,26:06,0,2,.000,0,0,,2,2,1.000,4,3,7,0,0,0,0,3,2,3.1,-10,4.0
28,2015-12-18,20-116,POR,@,ORL,L (-8),1,12:25,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,2.3,-10,4.0
29,2015-12-20,20-118,POR,@,MIA,L (-7),1,11:00,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,1,3,2,-1.3,-12,4.0
