G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,31-234,NYK,@,MIL,W (+25),1,28:45,4,6,.667,1,2,.500,2,3,.667,1,5,6,3,4,0,0,1,11,15.9,+16,2.0
2,2015-10-29,31-235,NYK,,ATL,L (-11),1,25:10,2,8,.250,2,6,.333,0,0,,2,0,2,2,0,1,2,3,6,1.5,-18,2.0
3,2015-10-31,31-237,NYK,@,WAS,W (+7),1,26:11,2,10,.200,0,4,.000,0,0,,1,5,6,4,1,0,1,2,4,2.0,+6,2.0
4,2015-11-02,31-239,NYK,,SAS,L (-10),1,20:29,1,7,.143,0,2,.000,0,0,,2,2,4,3,0,0,2,0,2,-0.4,-10,2.0
5,2015-11-04,31-241,NYK,@,CLE,L (-10),1,21:50,4,10,.400,1,5,.200,0,0,,0,4,4,0,0,0,2,0,9,2.8,+7,2.0
6,2015-11-06,31-243,NYK,,MIL,L (-7),1,26:34,1,5,.200,0,3,.000,0,0,,0,4,4,3,0,0,3,3,2,-2.0,-17,2.0
7,2015-11-08,31-245,NYK,,LAL,W (+4),1,14:47,2,7,.286,1,4,.250,0,0,,0,2,2,1,1,0,0,0,5,3.2,-8,2.0
8,2015-11-10,31-247,NYK,@,TOR,W (+2),1,20:35,2,6,.333,0,1,.000,0,0,,2,4,6,2,1,0,0,3,4,4.4,+7,2.0
9,2015-11-15,31-252,NYK,,NOP,W (+8),0,6:11,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,+2,2.0
10,2015-11-17,31-254,NYK,,CHO,W (+8),0,2:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,-3,2.0
11,2015-11-20,31-257,NYK,@,OKC,W (+3),0,4:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,0,2.0
12,2015-11-23,31-260,NYK,@,MIA,L (-17),0,3:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-10,2.0
13,2015-11-25,31-262,NYK,@,ORL,L (-9),0,13:48,0,3,.000,0,3,.000,2,2,1.000,0,1,1,0,0,1,1,4,2,-1.7,-3,2.0
14,2015-12-02,31-269,NYK,,PHI,W (+12),0,6:17,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,0,0,-1.8,-7,2.0
15,2015-12-09,31-276,NYK,@,UTA,L (-21),0,26:41,3,5,.600,2,2,1.000,2,4,.500,0,1,1,7,3,0,2,3,10,11.9,+20,2.0
16,2015-12-10,31-277,NYK,@,SAC,L (-2),0,18:24,3,7,.429,2,6,.333,0,0,,0,2,2,0,0,0,0,2,8,4.1,+8,2.0
17,2015-12-12,31-279,NYK,@,POR,W (+2),0,5:58,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,1,3,2,0.9,-2,2.0
