G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,33-284,MIA,,CHO,W (+10),1,29:00,7,16,.438,0,0,,6,6,1.000,1,2,3,5,0,1,1,2,20,15.3,-2,2.0
2,2015-10-30,33-286,MIA,@,CLE,L (-10),1,30:25,8,15,.533,1,2,.500,8,8,1.000,0,4,4,3,2,1,7,4,25,15.1,+4,2.0
3,2015-11-01,33-288,MIA,,HOU,W (+20),1,32:50,6,16,.375,2,3,.667,6,6,1.000,0,2,2,8,2,0,1,1,20,18.0,+15,2.0
4,2015-11-03,33-290,MIA,,ATL,L (-6),1,27:09,8,15,.533,1,3,.333,4,6,.667,1,0,1,3,0,1,4,1,21,12.0,-6,2.0
5,2015-11-05,33-292,MIA,@,MIN,W (+12),1,31:11,11,19,.579,1,2,.500,2,5,.400,1,4,5,2,3,0,2,1,25,18.8,+23,2.0
6,2015-11-06,33-293,MIA,@,IND,L (-3),1,29:42,4,15,.267,0,4,.000,1,2,.500,1,0,1,6,1,1,0,2,9,5.5,-24,2.0
7,2015-11-08,33-295,MIA,,TOR,W (+20),1,24:56,4,13,.308,1,1,1.000,3,4,.750,1,2,3,2,0,1,1,1,12,6.1,+3,2.0
8,2015-11-10,33-297,MIA,,LAL,W (+13),1,24:44,5,14,.357,0,1,.000,2,3,.667,0,2,2,6,0,1,1,2,12,7.5,+23,2.0
9,2015-11-17,33-304,MIA,,MIN,L (-12),1,31:54,5,13,.385,0,1,.000,0,0,,1,1,2,6,1,0,5,1,10,3.7,-2,2.0
10,2015-11-19,33-306,MIA,,SAC,W (+7),1,31:17,10,23,.435,0,2,.000,4,6,.667,1,4,5,6,2,0,0,1,24,18.8,0,2.0
11,2015-11-21,33-308,MIA,,PHI,W (+5),1,36:01,8,17,.471,0,1,.000,11,13,.846,2,5,7,4,3,1,1,3,27,24.7,+20,2.0
12,2015-11-23,33-310,MIA,,NYK,W (+17),1,29:48,6,16,.375,0,1,.000,4,4,1.000,2,2,4,5,0,0,2,3,16,9.5,+3,2.0
13,2015-11-25,33-312,MIA,@,DET,L (-23),1,23:26,1,9,.111,0,0,,0,1,.000,0,2,2,2,1,2,2,0,2,-1.9,-26,2.0
14,2015-11-27,33-314,MIA,@,NYK,W (+19),1,28:56,7,17,.412,0,0,,3,3,1.000,2,3,5,3,0,0,3,0,17,9.3,+12,2.0
15,2015-11-30,33-317,MIA,,BOS,L (-10),1,31:32,12,24,.500,0,1,.000,6,6,1.000,3,1,4,4,5,0,6,3,30,21.0,-7,2.0
16,2015-12-03,33-320,MIA,,OKC,W (+2),1,33:08,11,21,.524,0,0,,6,9,.667,0,4,4,4,1,0,2,1,28,19.1,-3,2.0
17,2015-12-05,33-322,MIA,,CLE,W (+15),1,28:53,8,14,.571,0,0,,3,5,.600,1,4,5,4,1,0,1,2,19,15.5,+6,2.0
18,2015-12-07,33-324,MIA,,WAS,L (-11),1,31:36,12,15,.800,0,0,,2,2,1.000,0,7,7,9,1,0,5,3,26,23.5,-1,2.0
19,2015-12-09,33-326,MIA,@,CHO,L (-18),1,24:46,5,11,.455,0,0,,1,2,.500,1,1,2,4,0,1,1,0,11,8.4,-17,2.0
20,2015-12-11,33-328,MIA,@,IND,L (-13),1,34:06,10,23,.435,0,0,,0,0,,0,5,5,5,0,0,2,0,20,10.9,-12,2.0
21,2015-12-13,33-330,MIA,,MEM,W (+3),1,30:13,7,16,.438,0,0,,0,0,,1,3,4,2,0,0,2,3,14,5.4,-7,2.0
22,2015-12-14,33-331,MIA,@,ATL,W (+12),1,29:03,3,16,.188,0,1,.000,1,1,1.000,2,4,6,6,0,0,1,0,7,2.8,+6,2.0
23,2015-12-16,33-333,MIA,@,BRK,W (+6),1,30:09,13,17,.765,1,1,1.000,1,2,.500,1,4,5,2,0,3,3,0,28,23.3,-1,2.0
24,2015-12-18,33-335,MIA,,TOR,L (-14),1,31:28,8,16,.500,0,2,.000,5,5,1.000,2,4,6,5,0,0,8,0,21,11.1,-6,2.0
25,2015-12-20,33-337,MIA,,POR,W (+7),1,27:22,6,11,.545,0,0,,6,9,.667,1,1,2,7,2,0,2,3,18,16.2,0,2.0
26,2015-12-22,33-339,MIA,,DET,L (-1),1,28:53,8,21,.381,0,0,,3,4,.750,2,3,5,1,1,0,0,0,19,11.1,-3,2.0
27,2015-12-25,33-342,MIA,,NOP,W (+6),1,36:48,7,20,.350,0,2,.000,5,9,.556,1,5,6,4,1,0,3,2,19,8.4,-3,2.0
28,2015-12-26,33-343,MIA,@,ORL,W (+7),1,29:53,7,12,.583,0,0,,10,10,1.000,1,1,2,6,2,1,1,1,24,24.9,+7,2.0
29,2015-12-28,33-345,MIA,,BRK,L (-6),1,30:19,7,11,.636,0,1,.000,10,12,.833,0,2,2,6,1,0,3,4,24,19.5,0,2.0
30,2015-12-29,33-346,MIA,@,MEM,L (-9),1,37:25,9,18,.500,0,0,,1,5,.200,3,2,5,5,3,0,2,1,19,15.2,-8,2.0
31,2016-01-01,33-349,MIA,,DAL,W (+24),0,18:47,5,6,.833,0,0,,0,0,,0,2,2,7,1,0,2,1,10,11.9,+5,2.0
32,2016-01-03,33-351,MIA,@,WAS,W (+22),1,24:35,3,10,.300,0,0,,2,2,1.000,1,3,4,3,1,0,1,0,8,5.9,+20,2.0
33,2016-01-04,33-352,MIA,,IND,W (+3),1,37:49,9,22,.409,0,0,,9,10,.900,3,5,8,3,0,1,0,3,27,20.0,0,2.0
34,2016-01-06,33-354,MIA,,NYK,L (-8),1,30:30,8,16,.500,0,0,,2,2,1.000,3,3,6,6,0,0,4,2,18,12.4,-5,2.0
35,2016-01-08,33-356,MIA,@,PHO,W (+8),1,33:09,9,14,.643,0,0,,9,10,.900,1,1,2,2,1,2,5,1,27,19.8,+5,2.0
36,2016-01-09,33-357,MIA,@,UTA,L (-15),1,32:36,3,17,.176,0,0,,2,5,.400,3,2,5,4,1,0,4,0,8,-1.4,-14,2.0
37,2016-01-11,33-359,MIA,@,GSW,L (-8),1,32:39,6,20,.300,0,0,,8,8,1.000,4,3,7,11,0,1,0,2,20,19.7,+2,2.0
38,2016-01-13,33-361,MIA,@,LAC,L (-14),1,30:22,6,10,.600,0,0,,4,9,.444,2,6,8,4,0,0,7,1,16,8.0,-9,2.0
39,2016-01-17,34-000,MIA,@,OKC,L (-25),1,28:51,9,15,.600,0,1,.000,4,4,1.000,0,2,2,3,0,0,4,1,22,13.4,-22,2.0
40,2016-01-19,34-002,MIA,,MIL,L (-12),1,21:10,1,6,.167,0,1,.000,0,0,,1,1,2,4,0,0,5,1,2,-3.4,-21,2.0
41,2016-01-22,34-005,MIA,@,TOR,L (-20),1,36:37,10,20,.500,0,0,,2,6,.333,1,2,3,4,1,0,4,1,22,11.1,-17,2.0
