G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,23-322,OKC,,SAS,W (+6),0,21:24,4,8,.500,0,2,.000,0,0,,1,3,4,2,0,0,3,2,8,3.2,+15,2.0
2,2015-10-30,23-324,OKC,@,ORL,W (+3),0,28:34,1,6,.167,1,3,.333,0,0,,0,7,7,2,0,1,3,3,3,-0.8,+24,2.0
3,2015-11-01,23-326,OKC,,DEN,W (+24),0,23:55,3,8,.375,1,2,.500,3,3,1.000,0,1,1,4,1,0,0,0,10,9.7,+9,2.0
4,2015-11-02,23-327,OKC,@,HOU,L (-5),0,32:23,3,8,.375,1,1,1.000,2,4,.500,1,3,4,1,1,0,1,5,9,4.1,0,2.0
5,2015-11-04,23-329,OKC,,TOR,L (-5),0,23:56,3,8,.375,1,3,.333,0,0,,3,3,6,1,2,0,1,2,7,6.5,-11,2.0
6,2015-11-05,23-330,OKC,@,CHI,L (-6),0,27:17,2,3,.667,0,0,,0,0,,1,4,5,1,0,0,1,3,4,3.1,-8,2.0
7,2015-11-08,23-333,OKC,,PHO,W (+21),0,24:45,6,9,.667,2,3,.667,5,6,.833,0,0,0,2,3,1,0,3,19,18.6,+7,2.0
8,2015-11-10,23-335,OKC,@,WAS,W (+24),0,23:23,7,10,.700,4,5,.800,7,7,1.000,0,2,2,1,0,0,2,1,25,19.7,+6,2.0
9,2015-11-13,23-338,OKC,,PHI,W (+17),0,29:14,4,13,.308,1,3,.333,5,5,1.000,1,2,3,2,0,0,0,1,14,8.8,+11,2.0
10,2015-11-15,23-340,OKC,,BOS,L (-15),0,29:00,3,11,.273,1,2,.500,0,0,,0,2,2,0,1,0,3,4,7,-2.5,-20,2.0
11,2015-11-16,23-341,OKC,@,MEM,L (-8),0,37:43,6,14,.429,1,3,.333,1,2,.500,1,6,7,2,1,0,3,2,14,7.3,-14,2.0
12,2015-11-18,23-343,OKC,,NOP,W (+7),0,30:32,2,10,.200,0,1,.000,0,0,,0,4,4,2,1,0,2,2,4,-1.4,+1,2.0
13,2015-11-20,23-345,OKC,,NYK,L (-3),1,30:02,6,15,.400,0,6,.000,4,5,.800,2,2,4,1,3,0,4,0,16,9.2,0,2.0
14,2015-11-22,23-347,OKC,,DAL,W (+3),1,29:13,5,12,.417,2,4,.500,2,2,1.000,0,2,2,2,1,0,1,2,14,8.8,-8,2.0
15,2015-11-23,23-348,OKC,@,UTA,W (+22),0,28:31,5,9,.556,1,2,.500,1,2,.500,0,3,3,6,4,1,2,2,12,14.3,+34,2.0
16,2015-11-25,23-350,OKC,,BRK,W (+11),0,27:23,6,13,.462,2,6,.333,2,2,1.000,0,3,3,2,1,0,2,2,16,9.8,+13,2.0
17,2015-11-27,23-352,OKC,,DET,W (+16),0,27:04,4,13,.308,0,4,.000,0,0,,1,3,4,3,1,0,2,2,8,2.4,+17,2.0
18,2015-11-30,23-355,OKC,@,ATL,L (-6),0,31:18,0,7,.000,0,1,.000,1,2,.500,1,5,6,3,2,0,0,4,1,0.4,+6,2.0
19,2015-12-03,23-358,OKC,@,MIA,L (-2),0,26:42,6,9,.667,1,2,.500,0,0,,0,3,3,2,1,0,0,1,13,12.0,-5,2.0
20,2015-12-06,23-361,OKC,,SAC,W (+3),0,26:47,2,12,.167,2,4,.500,4,4,1.000,0,1,1,2,0,0,1,1,10,2.7,-4,2.0
21,2015-12-08,23-363,OKC,@,MEM,W (+37),0,25:54,4,8,.500,1,3,.333,3,3,1.000,0,0,0,1,1,0,3,0,12,6.7,+23,2.0
22,2015-12-10,24-000,OKC,,ATL,W (+13),0,30:35,4,14,.286,1,4,.250,0,0,,1,0,1,1,0,0,1,3,9,0.0,+13,2.0
23,2015-12-11,24-001,OKC,@,UTA,W (+4),0,29:39,5,9,.556,0,2,.000,0,0,,2,2,4,1,0,0,1,1,10,7.0,-2,2.0
24,2015-12-13,24-003,OKC,,UTA,W (+6),0,39:17,5,12,.417,3,6,.500,0,0,,2,1,3,4,0,0,1,1,13,9.7,-3,2.0
25,2015-12-16,24-006,OKC,,POR,W (+16),0,27:57,6,10,.600,1,2,.500,5,7,.714,0,6,6,1,1,0,3,2,18,12.3,+8,2.0
26,2015-12-17,24-007,OKC,@,CLE,L (-4),0,21:00,1,7,.143,0,3,.000,2,4,.500,0,2,2,0,1,0,0,4,4,-1.3,-11,2.0
27,2015-12-19,24-009,OKC,,LAL,W (+40),0,17:05,5,8,.625,0,1,.000,1,2,.500,0,6,6,2,1,0,1,1,11,9.8,+19,2.0
28,2015-12-21,24-011,OKC,@,LAC,W (+1),0,34:37,4,7,.571,1,3,.333,0,0,,0,2,2,3,0,0,2,1,9,6.0,+7,2.0
29,2015-12-23,24-013,OKC,@,LAL,W (+35),0,16:24,1,8,.125,0,3,.000,0,0,,0,1,1,1,0,0,2,2,2,-5.0,-7,2.0
30,2015-12-25,24-015,OKC,,CHI,L (-9),0,18:50,1,6,.167,0,0,,0,0,,0,0,0,2,1,0,1,0,2,-0.4,+9,2.0
31,2015-12-27,24-017,OKC,,DEN,W (+10),0,18:55,2,5,.400,0,1,.000,0,0,,2,3,5,0,1,0,0,2,4,3.8,+11,2.0
32,2015-12-29,24-019,OKC,,MIL,W (+8),0,23:39,1,6,.167,0,1,.000,0,0,,0,2,2,1,0,0,1,3,2,-2.7,-3,2.0
33,2015-12-31,24-021,OKC,,PHO,W (+4),0,28:10,3,6,.500,0,2,.000,0,0,,1,5,6,3,2,1,3,4,6,5.4,0,2.0
34,2016-01-02,24-023,OKC,@,CHO,W (+19),0,24:54,4,10,.400,1,3,.333,1,3,.333,2,2,4,5,0,0,1,1,10,7.9,-1,2.0
35,2016-01-04,24-025,OKC,,SAC,L (-12),0,19:27,1,7,.143,0,3,.000,3,4,.750,0,2,2,1,1,0,1,1,5,1.0,-20,2.0
36,2016-01-06,24-027,OKC,,MEM,W (+18),0,31:20,6,9,.667,2,3,.667,1,2,.500,0,1,1,3,0,0,1,0,15,12.1,+18,2.0
37,2016-01-08,24-029,OKC,@,LAL,W (+4),0,21:08,1,7,.143,0,1,.000,0,0,,0,2,2,3,2,1,2,0,2,0.9,+1,2.0
38,2016-01-10,24-031,OKC,@,POR,L (-5),0,21:37,2,2,1.000,0,0,,2,4,.500,0,0,0,1,0,0,3,0,6,2.3,0,2.0
39,2016-01-12,24-033,OKC,@,MIN,W (+5),0,31:43,2,8,.250,1,1,1.000,0,0,,0,4,4,4,3,0,1,3,5,5.0,-1,2.0
40,2016-01-13,24-034,OKC,,DAL,W (+19),0,24:40,6,13,.462,3,6,.500,3,5,.600,1,0,1,5,0,0,4,2,18,9.9,+1,2.0
41,2016-01-15,24-036,OKC,,MIN,W (+20),0,28:23,8,14,.571,2,5,.400,2,4,.500,0,1,1,1,1,0,1,1,20,13.2,-2,2.0
42,2016-01-17,24-038,OKC,,MIA,W (+25),0,28:42,6,11,.545,1,2,.500,5,5,1.000,0,1,1,1,1,1,1,1,18,14.0,+12,2.0
43,2016-01-19,24-040,OKC,@,DEN,W (+6),0,23:04,2,10,.200,1,4,.250,0,0,,0,0,0,2,1,0,3,2,5,-2.6,+9,2.0
44,2016-01-20,24-041,OKC,,CHO,W (+14),0,27:45,2,9,.222,1,3,.333,0,0,,0,3,3,3,1,0,4,3,5,-1.7,+3,2.0
45,2016-01-22,24-043,OKC,@,DAL,W (+3),0,35:16,5,10,.500,3,6,.500,0,2,.000,0,4,4,1,0,1,0,2,13,9.0,+3,2.0
46,2016-01-24,24-045,OKC,@,BRK,L (-10),0,32:45,3,10,.300,2,5,.400,1,2,.500,0,0,0,1,2,0,1,2,9,3.7,-1,2.0
47,2016-01-26,24-047,OKC,@,NYK,W (+6),1,42:31,6,10,.600,2,3,.667,0,0,,0,3,3,1,0,0,2,3,14,7.8,-4,2.0
