G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-052,WAS,@,ORL,W (+1),1,39:23,9,18,.500,2,6,.333,2,6,.333,1,6,7,6,3,5,6,3,22,17.4,+10,1.0
2,2015-10-30,25-054,WAS,@,MIL,W (+5),1,33:53,4,10,.400,1,4,.250,10,10,1.000,0,1,1,10,2,1,5,1,19,18.2,+3,1.0
3,2015-10-31,25-055,WAS,,NYK,L (-7),1,35:45,8,17,.471,2,4,.500,7,11,.636,2,1,3,4,1,2,3,3,25,17.4,-9,1.0
4,2015-11-04,25-059,WAS,,SAS,W (+3),1,35:20,6,16,.375,1,5,.200,4,5,.800,0,2,2,13,4,1,1,3,17,20.0,+14,1.0
5,2015-11-06,25-061,WAS,@,BOS,L (-20),1,28:28,6,17,.353,0,3,.000,1,1,1.000,2,3,5,8,3,3,8,4,13,6.9,+4,1.0
6,2015-11-07,25-062,WAS,@,ATL,L (-15),1,36:16,6,16,.375,2,6,.333,5,5,1.000,1,1,2,11,2,1,7,2,19,13.8,-5,1.0
7,2015-11-10,25-065,WAS,,OKC,L (-24),1,25:04,4,13,.308,0,2,.000,1,1,1.000,0,2,2,5,2,0,0,2,9,6.8,-19,1.0
8,2015-11-14,25-069,WAS,,ORL,W (+9),1,34:31,5,14,.357,1,5,.200,4,6,.667,0,3,3,11,1,1,4,2,15,11.9,+8,1.0
9,2015-11-17,25-072,WAS,,MIL,W (+29),1,31:17,7,10,.700,2,5,.400,3,6,.500,0,6,6,9,0,0,5,1,19,16.3,+30,1.0
10,2015-11-21,25-076,WAS,@,DET,W (+2),1,27:04,4,11,.364,0,2,.000,0,0,,0,2,2,7,2,0,2,3,8,6.2,-20,1.0
11,2015-11-24,25-079,WAS,,IND,L (-17),1,30:32,5,9,.556,3,4,.750,5,5,1.000,0,4,4,5,0,0,8,3,18,9.2,-24,1.0
12,2015-11-25,25-080,WAS,@,CHO,L (-14),1,35:33,6,18,.333,2,7,.286,0,0,,3,2,5,6,6,0,5,2,14,10.9,-2,1.0
13,2015-11-27,25-082,WAS,@,BOS,L (-33),1,29:16,4,11,.364,0,2,.000,2,3,.667,1,3,4,6,0,0,3,1,10,5.9,-27,1.0
14,2015-11-28,25-083,WAS,,TOR,L (-2),1,39:09,6,25,.240,1,4,.250,5,8,.625,1,2,3,5,3,0,3,2,18,5.7,-2,1.0
