G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-112,PHO,,DAL,L (-16),0,15:15,0,2,.000,0,1,.000,0,0,,0,3,3,2,1,0,1,1,0,0.5,+8,2.0
2,2015-10-30,29-114,PHO,,POR,W (+18),0,16:48,1,2,.500,0,1,.000,1,1,1.000,0,3,3,0,0,0,4,0,3,-1.1,+1,2.0
3,2015-10-31,29-115,PHO,@,POR,W (+11),0,6:12,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,1.0,0,2.0
4,2015-11-02,29-117,PHO,@,LAC,L (-6),0,7:33,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-8,2.0
5,2015-11-04,29-119,PHO,,SAC,W (+21),0,6:53,1,1,1.000,0,0,,2,2,1.000,1,2,3,1,0,0,1,1,4,4.3,+5,2.0
6,2015-11-06,29-121,PHO,,DET,L (-8),0,5:42,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-2.2,-2,2.0
7,2015-11-12,29-127,PHO,,LAC,W (+14),0,5:47,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,1.4,-2,2.0
8,2015-11-14,29-129,PHO,,DEN,W (+24),0,8:20,0,1,.000,0,0,,0,2,.000,0,1,1,3,0,0,1,0,0,-0.1,-5,2.0
9,2015-11-23,29-138,PHO,@,SAS,L (-14),0,1:28,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,1.0,+3,2.0
10,2015-11-27,29-142,PHO,,GSW,L (-19),0,10:57,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.2,+5,2.0
11,2015-12-14,29-159,PHO,@,DAL,L (-10),0,12:30,2,3,.667,2,2,1.000,3,4,.750,0,0,0,1,0,0,2,3,9,4.8,+7,2.0
12,2015-12-16,29-161,PHO,@,GSW,L (-25),0,6:20,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,+12,2.0
13,2015-12-26,29-171,PHO,,PHI,L (-7),0,17:14,1,4,.250,1,1,1.000,0,0,,0,0,0,3,1,0,1,2,3,1.9,-3,2.0
14,2015-12-28,29-173,PHO,,CLE,L (-4),0,10:45,1,2,.500,0,0,,0,0,,2,1,3,2,0,0,1,1,2,2.7,+2,2.0
15,2015-12-30,29-175,PHO,@,SAS,L (-33),0,13:35,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,0,1,1,0,-2.9,-17,2.0
16,2016-01-02,29-178,PHO,@,SAC,L (-23),0,8:20,2,2,1.000,2,2,1.000,0,0,,0,0,0,1,0,0,1,1,6,4.7,-1,2.0
17,2016-01-03,29-179,PHO,@,LAL,L (-20),0,3:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-9,2.0
18,2016-01-12,29-188,PHO,@,IND,L (-19),0,2:27,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0,2.0
19,2016-01-15,29-191,PHO,@,BOS,L (-14),0,23:37,4,6,.667,1,1,1.000,1,2,.500,1,5,6,5,2,0,3,2,10,10.9,0,2.0
20,2016-01-17,29-193,PHO,@,MIN,L (-30),0,16:24,1,2,.500,0,0,,0,0,,0,0,0,3,1,0,2,1,2,1.7,-14,2.0
