G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,35-060,SAS,@,OKC,L (-6),0,18:00,4,7,.571,0,0,,0,0,,1,1,2,1,0,0,1,1,8,5.0,+3,4.0
2,2015-10-30,35-062,SAS,,BRK,W (+27),0,14:03,1,4,.250,0,0,,0,0,,0,3,3,0,0,0,2,2,2,-2.3,-5,4.0
3,2015-11-01,35-064,SAS,@,BOS,W (+8),0,8:44,1,1,1.000,0,0,,0,0,,2,0,2,0,0,0,2,2,2,0.3,-5,4.0
4,2015-11-02,35-065,SAS,@,NYK,W (+10),0,7:18,1,1,1.000,0,0,,0,0,,1,1,2,3,1,0,1,0,2,4.8,+12,4.0
5,2015-11-04,35-067,SAS,@,WAS,L (-3),0,11:53,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,2,2,1.2,-4,4.0
6,2015-11-07,35-070,SAS,,CHO,W (+20),0,28:43,4,7,.571,0,1,.000,1,2,.500,1,8,9,6,0,0,1,2,9,10.8,+14,4.0
7,2015-11-09,35-072,SAS,@,SAC,W (+18),0,19:21,4,5,.800,0,0,,0,0,,0,6,6,2,1,0,2,3,8,7.1,-2,4.0
8,2015-11-11,35-074,SAS,@,POR,W (+12),0,12:30,2,5,.400,0,0,,0,0,,0,3,3,2,0,1,2,2,4,1.5,+7,4.0
9,2015-11-14,35-077,SAS,,PHI,W (+9),0,17:14,4,8,.500,0,0,,2,2,1.000,1,3,4,5,0,1,2,3,10,8.6,-6,4.0
10,2015-11-16,35-079,SAS,,POR,W (+13),0,9:59,1,4,.250,0,0,,0,0,,1,3,4,4,0,1,0,2,2,3.9,+8,4.0
11,2015-11-18,35-081,SAS,,DEN,W (+11),0,16:15,4,5,.800,0,0,,1,1,1.000,0,3,3,2,0,0,2,1,9,7.0,+2,4.0
12,2015-11-20,35-083,SAS,@,NOP,L (-14),0,11:10,2,2,1.000,0,0,,1,2,.500,1,1,2,0,0,1,0,2,5,4.9,-8,4.0
13,2015-11-21,35-084,SAS,,MEM,W (+10),1,24:32,3,5,.600,0,0,,2,4,.500,0,5,5,1,0,1,3,4,8,3.2,+3,4.0
14,2015-11-23,35-086,SAS,,PHO,W (+14),1,21:58,2,7,.286,0,0,,1,1,1.000,1,2,3,1,3,0,1,1,5,4.5,+15,4.0
15,2015-11-25,35-088,SAS,,DAL,W (+5),0,11:39,3,3,1.000,1,1,1.000,1,2,.500,0,2,2,0,0,0,1,2,8,5.5,-4,4.0
16,2015-11-27,35-090,SAS,@,DEN,W (+11),0,19:12,0,4,.000,0,0,,2,2,1.000,1,5,6,1,2,0,2,0,2,2.1,+8,4.0
17,2015-11-28,35-091,SAS,,ATL,W (+20),0,8:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+9,4.0
18,2015-11-30,35-093,SAS,@,CHI,L (-3),0,15:25,1,5,.200,0,0,,0,0,,1,2,3,1,0,1,0,3,2,0.4,-17,4.0
19,2015-12-02,35-095,SAS,,MIL,W (+25),0,18:09,2,6,.333,0,0,,0,0,,1,7,8,2,2,2,0,0,4,8.2,+21,4.0
20,2015-12-03,35-096,SAS,@,MEM,W (+20),0,7:21,3,5,.600,0,0,,0,0,,1,0,1,0,1,0,1,2,6,3.6,+7,4.0
21,2015-12-05,35-098,SAS,,BOS,W (+3),0,14:26,4,4,1.000,0,0,,2,3,.667,2,4,6,1,0,1,1,2,10,10.6,+6,4.0
22,2015-12-07,35-100,SAS,@,PHI,W (+51),0,8:59,3,3,1.000,0,0,,0,0,,2,2,4,3,2,0,0,1,6,10.8,+21,4.0
23,2015-12-09,35-102,SAS,@,TOR,L (-3),0,16:55,4,6,.667,0,0,,2,3,.667,0,3,3,1,0,0,2,2,10,5.8,+7,4.0
24,2015-12-11,35-104,SAS,,LAL,W (+22),0,17:44,2,4,.500,0,0,,0,0,,0,3,3,2,1,0,1,3,4,3.1,-4,4.0
25,2015-12-12,35-105,SAS,@,ATL,W (+25),0,11:32,1,1,1.000,0,0,,0,0,,0,3,3,1,1,0,1,1,2,2.9,-6,4.0
26,2015-12-14,35-107,SAS,,UTA,W (+37),0,15:46,2,6,.333,0,0,,4,5,.800,1,2,3,1,0,0,2,2,8,3.4,+11,4.0
