G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-12-02,24-337,LAC,,IND,L (-12),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,2.0
2,2016-01-13,25-014,LAC,,MIA,W (+14),0,2:39,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-3,2.0
3,2016-01-21,25-022,LAC,@,CLE,L (-13),0,2:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,2.0
4,2016-01-22,25-023,LAC,@,NYK,W (+28),0,6:10,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,0,2.0
5,2016-01-24,25-025,LAC,@,TOR,L (-18),0,4:58,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-0.4,+3,2.0
6,2016-01-29,25-030,LAC,,LAL,W (+12),0,1:39,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-1,2.0
7,2016-01-31,25-032,LAC,,CHI,W (+27),0,2:37,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,+6,2.0
8,2016-02-05,25-037,LAC,@,ORL,W (+14),0,1:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,2.0
9,2016-02-18,25-050,LAC,,SAS,W (+19),0,9:16,0,0,,0,0,,2,3,.667,0,0,0,1,0,0,0,2,2,1.5,-3,2.0
10,2016-02-20,25-052,LAC,,GSW,L (-3),0,4:47,2,4,.500,2,4,.500,0,0,,0,1,1,0,1,0,0,1,6,4.9,+13,2.0
11,2016-02-22,25-054,LAC,,PHO,W (+40),0,10:28,2,7,.286,1,3,.333,0,0,,0,0,0,1,2,0,1,0,5,2.6,+12,2.0
12,2016-02-24,25-056,LAC,,DEN,L (-6),0,2:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,2.0
13,2016-02-26,25-058,LAC,@,SAC,W (+10),0,10:48,0,4,.000,0,2,.000,0,0,,0,0,0,1,0,1,0,1,0,-1.8,-1,2.0
14,2016-03-19,25-080,LAC,@,MEM,L (-11),0,1:04,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,2.3,+1,2.0
15,2016-03-28,25-089,LAC,,BOS,W (+24),0,5:14,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,1,2,3.0,0,2.0
16,2016-03-30,25-091,LAC,@,MIN,W (+20),0,7:02,1,6,.167,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,-1.6,-11,2.0
17,2016-03-31,25-092,LAC,@,OKC,L (-2),0,8:01,1,1,1.000,0,0,,3,3,1.000,0,0,0,1,1,0,0,0,5,6.4,+2,2.0
18,2016-04-05,25-097,LAC,,LAL,W (+22),0,7:06,2,3,.667,0,0,,1,2,.500,0,0,0,0,1,0,1,1,5,2.9,+3,2.0
19,2016-04-06,25-098,LAC,@,LAL,W (+10),0,25:07,2,9,.222,2,5,.400,0,0,,0,1,1,2,3,0,0,1,6,4.8,+4,2.0
20,2016-04-08,25-100,LAC,@,UTA,W (+3),0,18:06,0,2,.000,0,1,.000,2,2,1.000,1,2,3,0,1,0,0,2,2,2.1,-14,2.0
21,2016-04-10,25-102,LAC,,DAL,W (+7),0,0:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3,2.0
22,2016-04-12,25-104,LAC,,MEM,W (+26),0,5:20,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,6,5.4,+5,2.0
23,2016-04-13,25-105,LAC,@,PHO,L (-9),0,28:51,8,13,.615,3,6,.500,0,0,,0,3,3,1,0,1,0,3,19,14.2,+4,2.0
