G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,24-156,NYK,@,MIL,W (+25),0,21:19,8,17,.471,1,3,.333,7,9,.778,4,3,7,1,0,1,2,1,24,17.2,+20,4.0
2,2015-10-29,24-157,NYK,,ATL,L (-11),0,18:07,3,9,.333,0,3,.000,3,4,.750,0,2,2,0,1,0,1,0,9,4.1,-2,4.0
3,2015-10-31,24-159,NYK,@,WAS,W (+7),0,15:22,2,5,.400,1,2,.500,2,4,.500,0,1,1,1,1,0,1,2,7,3.7,+2,4.0
4,2015-11-02,24-161,NYK,,SAS,L (-10),0,10:30,3,7,.429,0,1,.000,0,0,,0,2,2,0,0,1,1,0,6,2.6,-12,4.0
5,2015-11-04,24-163,NYK,@,CLE,L (-10),0,10:56,2,4,.500,1,1,1.000,2,2,1.000,0,2,2,0,0,0,1,1,7,4.2,+1,4.0
6,2015-11-06,24-165,NYK,,MIL,L (-7),0,20:06,4,11,.364,0,3,.000,7,8,.875,1,0,1,0,1,0,0,1,15,9.8,-4,4.0
7,2015-11-08,24-167,NYK,,LAL,W (+4),0,15:08,1,4,.250,0,0,,4,6,.667,0,1,1,1,0,0,1,0,6,2.8,-3,4.0
8,2015-11-10,24-169,NYK,@,TOR,W (+2),0,7:45,1,3,.333,1,2,.500,2,2,1.000,0,2,2,3,1,0,0,0,5,7.0,-2,4.0
9,2015-11-11,24-170,NYK,@,CHO,L (-2),0,4:02,0,1,.000,0,0,,0,0,,0,0,0,0,2,0,2,1,0,-1.1,-12,4.0
10,2015-11-13,24-172,NYK,,CLE,L (-6),0,16:20,1,6,.167,0,2,.000,3,6,.500,1,6,7,1,2,1,0,1,5,5.5,-7,4.0
11,2015-11-15,24-174,NYK,,NOP,W (+8),0,5:59,0,2,.000,0,0,,0,0,,1,1,2,2,1,0,0,1,0,1.6,+2,4.0
12,2015-11-17,24-176,NYK,,CHO,W (+8),0,5:42,1,3,.333,0,0,,2,2,1.000,0,0,0,0,0,1,0,1,4,2.6,-15,4.0
