G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,29-131,CHO,@,MIA,L (-10),1,37:52,4,10,.400,0,5,.000,2,2,1.000,2,8,10,3,0,0,1,1,10,9.1,+4,4.0
2,2015-10-30,29-133,CHO,@,ATL,L (-3),1,35:36,5,11,.455,3,5,.600,0,0,,3,9,12,3,0,1,2,2,13,12.1,+6,4.0
3,2015-11-01,29-135,CHO,,ATL,L (-2),1,32:58,5,10,.500,5,8,.625,0,0,,0,5,5,1,0,3,2,0,15,12.3,+4,4.0
4,2015-11-03,29-137,CHO,,CHI,W (+25),1,25:02,2,6,.333,0,2,.000,0,0,,2,8,10,3,0,0,0,0,4,6.5,+22,4.0
5,2015-11-05,29-139,CHO,@,DAL,W (+14),1,32:09,6,11,.545,3,5,.600,2,3,.667,2,10,12,2,0,1,1,3,17,15.6,+16,4.0
6,2015-11-07,29-141,CHO,@,SAS,L (-20),1,26:55,4,7,.571,1,2,.500,0,0,,0,4,4,0,1,0,0,1,9,7.5,+7,4.0
7,2015-11-10,29-144,CHO,@,MIN,W (+9),1,35:25,2,6,.333,1,4,.250,2,2,1.000,1,9,10,0,2,2,2,4,7,6.8,+3,4.0
8,2015-11-11,29-145,CHO,,NYK,W (+2),1,29:01,3,6,.500,1,3,.333,1,2,.500,1,1,2,1,1,3,0,1,8,9.0,-10,4.0
9,2015-11-13,29-147,CHO,@,CHI,L (-5),1,34:55,5,11,.455,3,6,.500,1,1,1.000,1,4,5,2,1,1,1,3,14,11.1,-8,4.0
10,2015-11-15,29-149,CHO,,POR,W (+12),1,34:28,3,8,.375,0,3,.000,1,2,.500,0,8,8,2,1,2,1,2,7,6.6,+9,4.0
11,2015-11-17,29-151,CHO,@,NYK,L (-8),1,29:52,1,4,.250,0,2,.000,0,0,,0,1,1,1,1,1,0,2,2,1.5,-2,4.0
12,2015-11-18,29-152,CHO,,BRK,W (+5),1,35:55,4,9,.444,2,5,.400,4,4,1.000,4,5,9,2,1,1,1,1,14,15.3,+4,4.0
13,2015-11-20,29-154,CHO,,PHI,W (+25),1,28:31,3,7,.429,2,3,.667,3,3,1.000,3,6,9,0,1,2,1,2,11,11.8,+18,4.0
14,2015-11-23,29-157,CHO,,SAC,W (+5),1,19:26,4,6,.667,1,2,.500,0,0,,1,1,2,0,1,0,1,4,9,5.8,-17,4.0
15,2015-11-25,29-159,CHO,,WAS,W (+14),1,32:57,5,7,.714,2,3,.667,2,2,1.000,4,7,11,0,1,1,2,0,14,15.7,+11,4.0
16,2015-11-27,29-161,CHO,,CLE,L (-5),1,33:23,3,8,.375,2,6,.333,2,2,1.000,1,1,2,3,0,2,0,5,10,8.1,+8,4.0
17,2015-11-29,29-163,CHO,,MIL,W (+5),1,37:13,4,10,.400,3,7,.429,1,1,1.000,1,6,7,2,0,1,0,0,12,11.2,0,4.0
18,2015-12-02,29-166,CHO,,GSW,L (-17),1,30:09,2,9,.222,0,4,.000,2,2,1.000,3,3,6,1,1,1,0,0,6,5.9,-17,4.0
19,2015-12-05,29-169,CHO,@,CHI,W (+6),1,30:48,3,12,.250,1,6,.167,0,0,,2,7,9,3,2,0,0,2,7,6.6,+5,4.0
20,2015-12-07,29-171,CHO,,DET,W (+20),1,27:43,6,8,.750,2,4,.500,0,0,,5,7,12,0,0,0,0,1,14,16.0,+14,4.0
