G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,19-216,MIA,,CHO,W (+10),0,25:30,2,2,1.000,1,1,1.000,0,0,,0,7,7,2,0,0,2,4,5,4.3,+26,3.0
2,2015-10-30,19-218,MIA,@,CLE,L (-10),0,18:48,1,4,.250,0,2,.000,0,0,,0,4,4,1,0,0,0,2,2,0.7,-16,3.0
3,2015-11-01,19-220,MIA,,HOU,W (+20),0,30:40,4,8,.500,2,2,1.000,0,0,,2,1,3,2,2,0,1,2,10,9.3,+24,3.0
4,2015-11-03,19-222,MIA,,ATL,L (-6),0,22:30,2,7,.286,0,3,.000,0,0,,1,3,4,0,0,0,3,2,4,-2.3,-5,3.0
5,2015-11-05,19-224,MIA,@,MIN,W (+12),0,35:44,3,7,.429,0,2,.000,1,1,1.000,1,2,3,2,1,1,1,1,7,6.3,+12,3.0
6,2015-11-06,19-225,MIA,@,IND,L (-3),0,30:52,6,10,.600,0,1,.000,1,1,1.000,2,6,8,1,0,0,0,5,13,10.3,+10,3.0
7,2015-11-08,19-227,MIA,,TOR,W (+20),0,32:12,3,8,.375,0,1,.000,3,4,.750,1,4,5,1,1,0,2,2,9,5.0,+20,3.0
8,2015-11-10,19-229,MIA,,LAL,W (+13),0,31:58,4,8,.500,0,2,.000,0,0,,2,1,3,3,1,1,1,0,8,8.5,0,3.0
9,2015-11-12,19-231,MIA,,UTA,W (+1),0,27:17,3,9,.333,0,1,.000,1,2,.500,1,4,5,1,0,0,0,4,7,2.5,-5,3.0
10,2015-11-17,19-236,MIA,,MIN,L (-12),0,31:21,1,2,.500,1,2,.500,5,10,.500,1,10,11,1,1,0,6,5,8,2.4,-6,3.0
11,2015-11-19,19-238,MIA,,SAC,W (+7),0,27:05,3,9,.333,0,4,.000,0,0,,1,0,1,1,2,0,3,2,6,0.5,+11,3.0
12,2015-11-21,19-240,MIA,,PHI,W (+5),0,23:25,4,4,1.000,1,1,1.000,2,3,.667,1,4,5,1,0,0,3,3,11,7.8,-1,3.0
13,2015-11-23,19-242,MIA,,NYK,W (+17),0,30:37,3,6,.500,1,1,1.000,0,0,,0,6,6,3,0,1,0,5,7,6.6,+28,3.0
14,2015-11-25,19-244,MIA,@,DET,L (-23),0,29:08,1,3,.333,0,0,,1,2,.500,1,7,8,1,0,0,1,2,3,2.6,-10,3.0
15,2015-11-27,19-246,MIA,@,NYK,W (+19),0,34:38,3,7,.429,1,3,.333,2,2,1.000,1,6,7,1,1,0,0,3,9,8.3,+12,3.0
16,2015-11-30,19-249,MIA,,BOS,L (-10),0,29:28,1,4,.250,0,0,,2,3,.667,2,4,6,4,0,0,4,2,4,1.8,-13,3.0
17,2015-12-03,19-252,MIA,,OKC,W (+2),0,33:32,1,3,.333,0,2,.000,0,2,.000,0,4,4,3,2,0,1,3,2,2.6,-3,3.0
18,2015-12-05,19-254,MIA,,CLE,W (+15),0,17:30,1,4,.250,0,1,.000,1,2,.500,0,1,1,0,0,0,1,5,3,-2.5,-3,3.0
19,2015-12-07,19-256,MIA,,WAS,L (-11),0,33:14,1,5,.200,0,3,.000,0,0,,1,5,6,0,1,0,3,3,2,-2.1,-20,3.0
20,2015-12-09,19-258,MIA,@,CHO,L (-18),0,25:59,3,7,.429,1,3,.333,0,2,.000,2,6,8,1,1,0,0,2,7,6.6,-1,3.0
21,2015-12-11,19-260,MIA,@,IND,L (-13),0,29:01,2,6,.333,0,2,.000,0,0,,1,3,4,0,0,1,4,1,4,-1.5,-3,3.0
22,2015-12-13,19-262,MIA,,MEM,W (+3),0,25:40,2,6,.333,2,5,.400,2,2,1.000,0,2,2,3,2,1,1,1,8,8.6,+3,3.0
23,2015-12-14,19-263,MIA,@,ATL,W (+12),0,12:43,0,2,.000,0,2,.000,0,0,,0,3,3,1,0,0,3,2,0,-3.6,+4,3.0
24,2015-12-16,19-265,MIA,@,BRK,W (+6),0,33:20,4,5,.800,3,3,1.000,0,0,,1,7,8,0,0,1,0,1,11,12.2,+8,3.0
25,2015-12-18,19-267,MIA,,TOR,L (-14),0,18:21,0,2,.000,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,3,2,0.0,-6,3.0
26,2015-12-20,19-269,MIA,,POR,W (+7),0,24:41,1,3,.333,0,2,.000,1,1,1.000,0,3,3,1,3,1,0,0,3,6.6,-3,3.0
27,2015-12-22,19-271,MIA,,DET,L (-1),0,24:49,1,2,.500,0,1,.000,0,0,,0,1,1,0,3,0,1,1,2,2.9,+1,3.0
28,2015-12-25,19-274,MIA,,NOP,W (+6),0,29:57,3,6,.500,1,3,.333,2,3,.667,1,5,6,0,1,1,1,3,9,7.3,-8,3.0
29,2015-12-26,19-275,MIA,@,ORL,W (+7),0,21:07,0,2,.000,0,1,.000,4,4,1.000,1,2,3,4,0,0,1,0,4,5.7,-2,3.0
30,2016-01-03,19-283,MIA,@,WAS,W (+22),0,17:43,0,4,.000,0,2,.000,0,0,,0,3,3,2,2,1,3,2,0,-1.6,+15,3.0
31,2016-01-04,19-284,MIA,,IND,W (+3),0,35:39,2,6,.333,0,2,.000,3,4,.750,2,4,6,0,0,1,1,3,7,4.3,+15,3.0
32,2016-01-06,19-286,MIA,,NYK,L (-8),0,21:29,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,1,0,2,2,0.5,-2,3.0
33,2016-01-08,19-288,MIA,@,PHO,W (+8),0,22:41,2,4,.500,0,1,.000,0,0,,2,8,10,0,1,0,0,1,4,6.4,-2,3.0
34,2016-01-09,19-289,MIA,@,UTA,L (-15),0,20:21,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,1,2,0,0,-4.1,-3,3.0
35,2016-01-11,19-291,MIA,@,GSW,L (-8),1,25:33,3,8,.375,1,3,.333,0,0,,0,3,3,1,1,1,0,3,7,4.7,-7,3.0
36,2016-01-13,19-293,MIA,@,LAC,L (-14),1,18:50,2,6,.333,0,2,.000,0,0,,0,3,3,1,0,0,1,0,4,1.2,-3,3.0
37,2016-01-15,19-295,MIA,@,DEN,W (+3),0,23:21,3,5,.600,2,2,1.000,0,0,,0,4,4,1,1,1,3,3,8,5.1,0,3.0
38,2016-01-17,19-297,MIA,@,OKC,L (-25),0,27:02,0,4,.000,0,1,.000,0,0,,1,4,5,1,0,1,1,1,0,-0.9,-13,3.0
39,2016-01-19,19-299,MIA,,MIL,L (-12),0,25:41,1,5,.200,0,3,.000,0,0,,0,3,3,1,0,0,0,0,2,0.5,-1,3.0
