G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-31,25-238,UTA,@,IND,W (+21),0,1:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,5.0
2,2015-11-13,25-251,UTA,@,ORL,L (-9),0,24:22,4,7,.571,0,0,,0,0,,4,3,7,0,1,2,0,2,8,10.0,+11,5.0
3,2015-11-15,25-253,UTA,@,ATL,W (+1),0,6:07,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,0,5.0
4,2015-11-18,25-256,UTA,,TOR,W (+4),0,7:52,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,1,1,2,1.3,-4,5.0
5,2015-11-20,25-258,UTA,@,DAL,L (-9),0,1:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3,5.0
6,2015-11-23,25-261,UTA,,OKC,L (-22),0,14:14,1,2,.500,0,0,,2,4,.500,2,3,5,0,1,1,1,1,4,4.8,+1,5.0
7,2015-11-25,25-263,UTA,@,LAC,W (+11),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,5.0
8,2015-11-28,25-266,UTA,,NOP,W (+14),0,7:07,0,2,.000,0,0,,0,2,.000,2,1,3,1,2,1,1,3,0,0.7,+6,5.0
9,2015-12-03,25-271,UTA,,ORL,L (-9),0,10:00,2,3,.667,0,0,,0,0,,1,2,3,0,0,3,0,1,4,5.7,+3,5.0
10,2015-12-05,25-273,UTA,,IND,W (+3),0,9:28,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,2,1,2,-0.1,0,5.0
11,2015-12-08,25-276,UTA,@,SAC,L (-8),0,13:15,0,3,.000,0,0,,0,0,,3,2,5,0,0,0,0,1,0,0.2,+8,5.0
12,2015-12-09,25-277,UTA,,NYK,W (+21),0,19:53,4,5,.800,0,0,,0,0,,3,6,9,2,0,1,3,1,8,8.7,+10,5.0
13,2015-12-11,25-279,UTA,,OKC,L (-4),0,11:21,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,6,4.4,+7,5.0
14,2015-12-13,25-281,UTA,@,OKC,L (-6),0,10:25,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,3,2,2.1,+12,5.0
15,2015-12-14,25-282,UTA,@,SAS,L (-37),0,20:18,3,5,.600,0,0,,3,4,.750,1,4,5,0,1,2,2,3,9,7.4,+2,5.0
16,2015-12-16,25-284,UTA,,NOP,L (-10),1,17:22,1,3,.333,0,0,,2,2,1.000,0,3,3,0,1,1,0,3,4,3.7,+4,5.0
17,2015-12-18,25-286,UTA,,DEN,W (+9),0,8:48,0,0,,0,0,,0,0,,0,1,1,0,0,1,2,3,0,-2.2,+7,5.0
18,2015-12-21,25-289,UTA,,PHO,W (+21),0,10:32,0,2,.000,0,0,,0,0,,0,4,4,0,0,2,0,1,0,0.8,-4,5.0
19,2015-12-23,25-291,UTA,@,GSW,L (-18),0,13:13,3,3,1.000,0,0,,3,4,.750,1,3,4,2,1,0,0,1,9,11.3,+3,5.0
20,2015-12-26,25-294,UTA,,LAC,L (-5),1,18:32,2,5,.400,0,0,,2,2,1.000,0,7,7,0,1,2,0,1,6,7.4,-1,5.0
21,2015-12-28,25-296,UTA,,PHI,W (+4),1,23:38,4,7,.571,0,0,,3,4,.750,5,7,12,1,2,2,3,2,11,13.2,+3,5.0
22,2015-12-30,25-298,UTA,@,MIN,L (-14),1,28:51,5,10,.500,0,0,,3,5,.600,3,6,9,1,1,2,1,5,13,11.2,-11,5.0
23,2015-12-31,25-299,UTA,,POR,W (+13),1,34:51,4,7,.571,0,0,,2,3,.667,2,1,3,1,1,4,1,3,10,10.3,+19,5.0
24,2016-01-02,25-301,UTA,,MEM,W (+5),1,32:04,5,9,.556,0,0,,2,4,.500,3,7,10,2,1,4,3,6,12,10.9,-4,5.0
25,2016-01-04,25-303,UTA,,HOU,L (-2),1,34:54,2,8,.250,0,0,,4,6,.667,5,6,11,0,3,3,1,2,8,11.0,+1,5.0
26,2016-01-06,25-305,UTA,@,SAS,L (-25),1,23:44,4,6,.667,0,0,,2,3,.667,4,3,7,2,1,1,0,0,10,13.8,-21,5.0
27,2016-01-07,25-306,UTA,@,HOU,L (-9),1,17:10,3,4,.750,0,0,,2,2,1.000,1,3,4,1,0,2,0,0,8,10.1,-6,5.0
28,2016-01-09,25-308,UTA,,MIA,W (+15),0,19:31,4,5,.800,0,0,,0,0,,1,2,3,1,0,1,1,1,8,7.4,+5,5.0
29,2016-01-10,25-309,UTA,@,LAL,W (+12),0,17:42,1,1,1.000,0,0,,4,4,1.000,2,5,7,1,1,1,2,5,6,7.0,+6,5.0
30,2016-01-13,25-312,UTA,@,POR,L (-14),0,21:10,1,6,.167,0,0,,0,0,,1,5,6,0,0,3,0,1,2,2.1,+2,5.0
31,2016-01-14,25-313,UTA,,SAC,L (-2),0,3:31,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,0.9,-3,5.0
