G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,28-023,MEM,,CLE,L (-30),0,16:41,2,5,.400,0,0,,4,4,1.000,1,1,2,0,0,1,2,1,8,4.6,-22,4.0
2,2015-10-29,28-024,MEM,@,IND,W (+9),0,15:24,4,4,1.000,0,0,,1,2,.500,0,1,1,0,0,2,0,1,9,8.7,-4,4.0
3,2015-10-31,28-026,MEM,,BRK,W (+10),0,16:21,3,5,.600,0,0,,0,0,,3,2,5,0,0,0,1,0,6,5.4,-4,4.0
4,2015-11-02,28-028,MEM,@,GSW,L (-50),0,19:49,3,6,.500,0,0,,1,2,.500,0,6,6,1,0,2,0,2,7,6.7,-12,4.0
5,2015-11-03,28-029,MEM,@,SAC,W (+14),0,27:41,4,5,.800,0,0,,2,7,.286,1,5,6,3,0,4,1,3,10,11.0,+2,4.0
6,2015-11-05,28-031,MEM,@,POR,L (-19),0,17:39,2,4,.500,0,0,,2,3,.667,1,3,4,0,0,1,0,1,6,5.5,-4,4.0
7,2015-11-07,28-033,MEM,@,UTA,L (-10),0,6:05,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-0.1,-8,4.0
8,2016-02-19,28-137,MEM,,MIN,W (+5),0,16:54,3,4,.750,0,0,,0,0,,1,1,2,0,1,0,0,1,6,6.0,-8,4.0
9,2016-02-21,28-139,MEM,@,TOR,L (-13),0,20:38,1,2,.500,0,0,,0,0,,1,1,2,1,0,1,3,2,2,-0.4,-4,4.0
10,2016-02-24,28-142,MEM,,LAL,W (+9),0,21:58,7,10,.700,0,0,,1,4,.250,4,2,6,1,0,2,2,3,15,11.9,-3,4.0
11,2016-02-26,28-144,MEM,@,LAL,W (+17),1,18:21,3,3,1.000,0,0,,2,2,1.000,2,3,5,0,0,2,0,3,8,9.6,+12,4.0
12,2016-02-27,28-145,MEM,@,PHO,L (-5),1,14:36,3,3,1.000,0,0,,0,0,,0,4,4,0,3,0,1,3,6,7.1,-2,4.0
