G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,25-284,BOS,,PHI,W (+17),1,10:39,2,4,.500,0,0,,2,2,1.000,0,1,1,0,0,1,1,3,6,2.8,-6,5.0
2,2015-10-30,25-286,BOS,,TOR,L (-10),1,16:29,4,8,.500,0,0,,2,2,1.000,0,0,0,1,0,0,0,3,10,5.5,-7,5.0
3,2015-11-01,25-288,BOS,,SAS,L (-8),1,6:28,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-1.4,-3,5.0
4,2015-11-04,25-291,BOS,@,IND,L (-2),0,3:29,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0.0,-1,5.0
5,2015-11-06,25-293,BOS,,WAS,W (+20),0,4:32,3,4,.750,0,0,,1,2,.500,1,1,2,0,0,0,0,2,7,5.2,-4,5.0
6,2015-11-13,25-300,BOS,,ATL,W (+13),0,6:17,2,2,1.000,0,0,,1,1,1.000,0,2,2,1,0,0,1,0,5,4.7,+4,5.0
7,2015-11-16,25-303,BOS,@,HOU,W (+16),0,13:41,3,6,.500,0,0,,3,4,.750,1,4,5,0,1,0,2,2,9,5.7,-18,5.0
8,2015-11-20,25-307,BOS,,BRK,W (+25),0,9:26,3,5,.600,0,0,,0,0,,1,3,4,1,0,0,0,0,6,6.0,+2,5.0
9,2015-11-22,25-309,BOS,@,BRK,L (-10),0,7:01,2,2,1.000,0,0,,1,2,.500,1,0,1,1,0,0,0,1,5,5.0,+9,5.0
10,2015-11-24,25-311,BOS,@,ATL,L (-24),0,5:24,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-3,5.0
11,2015-11-25,25-312,BOS,,PHI,W (+4),0,5:52,0,0,,0,0,,2,2,1.000,0,1,1,0,0,1,0,2,2,2.2,-4,5.0
12,2015-11-27,25-314,BOS,,WAS,W (+33),0,5:56,0,3,.000,0,0,,1,1,1.000,0,1,1,0,1,0,1,1,1,-1.2,+6,5.0
13,2015-12-03,25-320,BOS,@,SAC,W (+17),0,11:38,1,2,.500,0,0,,3,4,.750,0,3,3,0,0,0,1,4,5,1.9,+5,5.0
14,2015-12-05,25-322,BOS,@,SAS,L (-3),0,6:23,2,3,.667,0,0,,0,1,.000,1,0,1,0,0,0,1,1,4,1.6,-10,5.0
15,2015-12-07,25-324,BOS,@,NOP,W (+18),0,7:26,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,1,0,4,3.1,-5,5.0
16,2015-12-15,25-332,BOS,,CLE,L (-12),0,3:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3,5.0
17,2015-12-16,25-333,BOS,@,DET,L (-3),0,9:30,5,7,.714,0,0,,2,4,.500,1,2,3,1,0,0,2,4,12,6.7,+4,5.0
18,2015-12-21,25-338,BOS,,MIN,W (+14),0,16:53,7,10,.700,0,0,,0,0,,2,6,8,0,0,1,3,6,14,8.3,+13,5.0
19,2015-12-23,25-340,BOS,@,CHO,W (+13),0,11:40,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,0,0,2,0.3,+1,5.0
20,2015-12-26,25-343,BOS,@,DET,W (+6),0,14:46,3,7,.429,0,0,,1,2,.500,1,3,4,0,0,0,2,2,7,1.7,+7,5.0
21,2015-12-27,25-344,BOS,,NYK,W (+9),0,4:37,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,+2,5.0
